service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1712WR-D2-Sunday-01,0,0,0,0,0,0,1,20171217,20180311
1712WR-D2-Weekday-13,1,1,1,1,1,0,0,20171218,20180316
1712WR-D2-Weekday-13--1101100,1,1,0,1,1,0,0,20171218,20180316
1712WR-D2-Weekday-13--0010000,0,0,1,0,0,0,0,20171218,20180316
1712WR-D2-Weekday-13--0000100,0,0,0,0,1,0,0,20171218,20180316
1712WR-D2-Saturday-01,0,0,0,0,0,1,0,20171223,20180317
1712WR-D2WACKY-Weekday-01,1,1,1,1,1,0,0,20171218,20180316
1712WR-D2WACKY-Weekday-01-HEBRon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D2WACKY-Weekday-01-OAKLon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D3-Weekday-14,1,1,1,1,1,0,0,20171218,20180316
1712WR-D3-Weekday-14--1101100,1,1,0,1,1,0,0,20171218,20180316
1712WR-D3-Weekday-14--0010000,0,0,1,0,0,0,0,20171218,20180316
1712WR-D3WACKY-Weekday-01,1,1,1,1,1,0,0,20171218,20180316
1712WR-D3WACKY-Weekday-01-,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4-Sunday-01,0,0,0,0,0,0,1,20171217,20180311
1712WR-D4-Sunday-01-1,0,0,0,0,0,1,0,20171216,20180310
1712WR-D4-Weekday-13,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4-Weekday-13-1,1,1,1,1,0,0,1,20171217,20180315
1712WR-D4-Weekday-13--1010100,1,0,1,0,1,0,0,20171218,20180316
1712WR-D4-Weekday-13--0101000,0,1,0,1,0,0,0,20171218,20180316
1712WR-D4-Weekday-13--1101100,1,1,0,1,1,0,0,20171218,20180316
1712WR-D4-Weekday-13--0010000,0,0,1,0,0,0,0,20171218,20180316
1712WR-D4-Weekday-13--0000100,0,0,0,0,1,0,0,20171218,20180316
1712WR-D4-Saturday-01,0,0,0,0,0,1,0,20171223,20180317
1712WR-D4-Saturday-01-1,0,0,0,0,1,0,0,20171222,20180316
1712WR-D4-Weekday-21,1,1,1,1,1,0,0,20171226,20180126
1712WR-D4-Weekday-21-1,1,1,1,1,0,0,1,20171225,20180125
1712WR-D4-Weekday-21--1010100,1,0,1,0,1,0,0,20171226,20180126
1712WR-D4-Weekday-21--0101000,0,1,0,1,0,0,0,20171226,20180126
1712WR-D4-Weekday-21--1101100,1,1,0,1,1,0,0,20171226,20180126
1712WR-D4-Weekday-21--0010000,0,0,1,0,0,0,0,20171226,20180126
1712WR-D4-Weekday-21--0000100,0,0,0,0,1,0,0,20171226,20180126
1712WR-D4WACKY-Weekday-01,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-MONTon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-BHOKon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-SKYLon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-ALAHon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-ECINon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-OAKLon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D4WACKY-Weekday-01-WESTon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6-Sunday-02,0,0,0,0,0,0,1,20171217,20180311
1712WR-D6-Sunday-02-1,0,0,0,0,0,1,0,20171216,20180310
1712WR-D6-Weekday-13,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6-Weekday-13-1,1,1,1,1,0,0,1,20171217,20180315
1712WR-D6-Weekday-13--1101100,1,1,0,1,1,0,0,20171218,20180316
1712WR-D6-Weekday-13--1110100,1,1,1,0,1,0,0,20171218,20180316
1712WR-D6-Weekday-13--1111000,1,1,1,1,0,0,0,20171218,20180316
1712WR-D6-Weekday-13--1011100,1,0,1,1,1,0,0,20171218,20180316
1712WR-D6-Weekday-13--1100100,1,1,0,0,1,0,0,20171218,20180316
1712WR-D6-Weekday-13--0001000,0,0,0,1,0,0,0,20171218,20180316
1712WR-D6-Weekday-13--0010000,0,0,1,0,0,0,0,20171218,20180316
1712WR-D6-Weekday-13--0000100,0,0,0,0,1,0,0,20171218,20180316
1712WR-D6-Weekday-13--0100000,0,1,0,0,0,0,0,20171218,20180316
1712WR-D6-Weekday-13--0011000,0,0,1,1,0,0,0,20171218,20180316
1712WR-D6-Saturday-02,0,0,0,0,0,1,0,20171223,20180317
1712WR-D6-Saturday-02-1,0,0,0,0,1,0,0,20171222,20180316
1712WR-D6WACKY-Weekday-01,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-THRTon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-AMERon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-MISSon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-CENTon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-HOPKon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-HORNon,1,1,1,1,1,0,0,20171218,20180316
1712WR-D6WACKY-Weekday-01-MTEDon,1,1,1,1,1,0,0,20171218,20180316
1712WR-DBDB1-Weekday-01,1,1,1,1,1,0,0,20171218,20180316
