trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"1","4:20:00","4:20:00","3400001","1",,"0","0",,1
"1","4:39:00","4:39:00","3400002","2",,"0","0",,1
"1","4:51:00","4:51:00","3400003","3",,"0","0",,1
"1","5:20:00","5:20:00","3400004","4",,"0","0",,1
"1","5:25:00","5:25:00","3400005","5",,"0","0",,1
"1","5:33:00","5:33:00","3400006","6",,"0","0",,1
"1","5:55:00","5:55:00","3400007","7",,"0","0",,1
"1","6:13:00","6:13:00","3400008","8",,"0","0",,1
"1","6:20:00","6:20:00","3400009","9",,"0","0",,1
"1","6:32:00","6:32:00","3400010","10",,"0","0",,1
"3","5:35:00","5:35:00","3400001","1",,"0","0",,1
"3","5:54:00","5:54:00","3400002","2",,"0","0",,1
"3","6:06:00","6:06:00","3400003","3",,"0","0",,1
"3","6:35:00","6:35:00","3400004","4",,"0","0",,1
"3","6:40:00","6:40:00","3400005","5",,"0","0",,1
"3","6:48:00","6:48:00","3400006","6",,"0","0",,1
"3","7:10:00","7:10:00","3400007","7",,"0","0",,1
"3","7:28:00","7:28:00","3400008","8",,"0","0",,1
"3","7:35:00","7:35:00","3400009","9",,"0","0",,1
"3","7:47:00","7:47:00","3400010","10",,"0","0",,1
"5","6:40:00","6:40:00","3400001","1",,"0","0",,1
"5","6:59:00","6:59:00","3400002","2",,"0","0",,1
"5","7:11:00","7:11:00","3400003","3",,"0","0",,1
"5","7:40:00","7:40:00","3400004","4",,"0","0",,1
"5","7:45:00","7:45:00","3400005","5",,"0","0",,1
"5","7:53:00","7:53:00","3400006","6",,"0","0",,1
"5","8:15:00","8:15:00","3400007","7",,"0","0",,1
"5","8:33:00","8:33:00","3400008","8",,"0","0",,1
"5","8:40:00","8:40:00","3400009","9",,"0","0",,1
"5","8:52:00","8:52:00","3400010","10",,"0","0",,1
"7","7:05:00","7:05:00","3400001","1",,"0","0",,1
"7","7:24:00","7:24:00","3400002","2",,"0","0",,1
"7","7:36:00","7:36:00","3400003","3",,"0","0",,1
"7","8:05:00","8:05:00","3400004","4",,"0","0",,1
"7","8:10:00","8:10:00","3400005","5",,"0","0",,1
"7","8:18:00","8:18:00","3400006","6",,"0","0",,1
"7","8:40:00","8:40:00","3400007","7",,"0","0",,1
"7","8:58:00","8:58:00","3400008","8",,"0","0",,1
"7","9:05:00","9:05:00","3400009","9",,"0","0",,1
"7","9:17:00","9:17:00","3400010","10",,"0","0",,1
"4","15:35:00","15:35:00","3400010","1",,"0","0",,1
"4","15:40:00","15:40:00","3400009","2",,"0","0",,1
"4","15:49:00","15:49:00","3400008","3",,"0","0",,1
"4","16:05:00","16:05:00","3400007","4",,"0","0",,1
"4","16:28:00","16:28:00","3400006","5",,"0","0",,1
"4","16:37:00","16:37:00","3400005","6",,"0","0",,1
"4","16:42:00","16:42:00","3400004","7",,"0","0",,1
"4","17:11:00","17:11:00","3400003","8",,"0","0",,1
"4","17:23:00","17:23:00","3400002","9",,"0","0",,1
"4","17:47:00","17:47:00","3400001","10",,"0","0",,1
"6","16:35:00","16:35:00","3400010","1",,"0","0",,1
"6","16:40:00","16:40:00","3400009","2",,"0","0",,1
"6","16:49:00","16:49:00","3400008","3",,"0","0",,1
"6","17:05:00","17:05:00","3400007","4",,"0","0",,1
"6","17:28:00","17:28:00","3400006","5",,"0","0",,1
"6","17:37:00","17:37:00","3400005","6",,"0","0",,1
"6","17:42:00","17:42:00","3400004","7",,"0","0",,1
"6","18:11:00","18:11:00","3400003","8",,"0","0",,1
"6","18:23:00","18:23:00","3400002","9",,"0","0",,1
"6","18:47:00","18:47:00","3400001","10",,"0","0",,1
"8","17:35:00","17:35:00","3400010","1",,"0","0",,1
"8","17:40:00","17:40:00","3400009","2",,"0","0",,1
"8","17:49:00","17:49:00","3400008","3",,"0","0",,1
"8","18:05:00","18:05:00","3400007","4",,"0","0",,1
"8","18:28:00","18:28:00","3400006","5",,"0","0",,1
"8","18:37:00","18:37:00","3400005","6",,"0","0",,1
"8","18:42:00","18:42:00","3400004","7",,"0","0",,1
"8","19:11:00","19:11:00","3400003","8",,"0","0",,1
"8","19:23:00","19:23:00","3400002","9",,"0","0",,1
"8","19:47:00","19:47:00","3400001","10",,"0","0",,1
"10","18:38:00","18:38:00","3400010","1",,"0","0",,1
"10","18:43:00","18:43:00","3400009","2",,"0","0",,1
"10","18:52:00","18:52:00","3400008","3",,"0","0",,1
"10","19:08:00","19:08:00","3400007","4",,"0","0",,1
"10","19:31:00","19:31:00","3400006","5",,"0","0",,1
"10","19:40:00","19:40:00","3400005","6",,"0","0",,1
"10","19:45:00","19:45:00","3400004","7",,"0","0",,1
"10","20:14:00","20:14:00","3400003","8",,"0","0",,1
"10","20:26:00","20:26:00","3400002","9",,"0","0",,1
"10","20:50:00","20:50:00","3400001","10",,"0","0",,1
