from_stop_id,to_stop_id,transfer_type,min_transfer_time
ABE,ABE,0,
ABQ,ABQ,2,60
ACA,ACA,0,
ACD,ACD,0,
ADM,ADM,0,
AKY,AKY,0,
ALB,ALB,2,3600
ALC,ALC,0,
ALD,ALD,0,
ALI,ALI,0,
ALN,ALN,3,
ALP,ALP,0,
ALT,ALT,0,
ALX,ALX,2,3600
ALY,ALY,3,
AMS,AMS,0,
ANA,ANA,0,
ARB,ARB,2,3600
ARC,ARC,0,
ARD,ARD,0,
ARK,ARK,0,
ARN,ARN,0,
ASD,ASD,0,
ATA,ATA,0,
ATL,ATL,2,0
ATN,ATN,0,
AUS,AUS,3,
BAL,BAL,0,
BAM,BAM,0,
BAR,BAR,0,
BBS,BBS,0,
BBY,BBY,3,
BCV,BCV,0,
BDT,BDT,0,
BEL,BEL,3,
BEN,BEN,0,
BER,BER,0,
BFD,BFD,3,
BFX,BFX,3,
BHM,BHM,0,
BKY,BKY,0,
BLF,BLF,0,
BMT,BMT,0,
BNC,BNC,0,
BNG,BNG,0,
BNL,BNL,3,
BON,BON,3,
BOS,BOS,2,3600
BRA,BRA,0,
BRH,BRH,0,
BRK,BRK,0,
BRL,BRL,0,
BRO,BRO,0,
BRP,BRP,0,
BTL,BTL,3,
BUF,BUF,2,3600
BUL,BUL,0,
BUR,BUR,0,
BWI,BWI,2,1800
BYN,BYN,0,
CAM,CAM,0,
CBR,CBR,0,
CBS,CBS,3,
CBV,CBV,0,
CBZ,CBZ,0,
CDL,CDL,3,
CEN,CEN,3,
CHI,CHI,2,3600
CHM,CHM,3,
CHS,CHS,0,
CHW,CHW,0,
CIC,CIC,0,
CIN,CIN,0,
CLA,CLA,0,
CLB,CLB,0,
CLE,CLE,2,3600
CLF,CLF,0,
CLM,CLM,0,
CLP,CLP,0,
CLT,CLT,2,3600
CLV,CLV,0,
CML,CML,0,
CMO,CMO,3,
CNV,CNV,0,
COC,COC,0,
COI,COI,0,
COT,COT,0,
COV,COV,0,
COX,COX,3,
CPN,CPN,0,
CRF,CRF,0,
CRM,CRM,0,
CRN,CRN,0,
CRT,CRT,0,
CRV,CRV,0,
CSN,CSN,0,
CTL,CTL,0,
CUM,CUM,0,
CUT,CUT,0,
CVS,CVS,3,
CWH,CWH,0,
CWT,CWT,0,
CYN,CYN,2,3600
DAL,DAL,3,
DAN,DAN,0,
DAV,DAV,2,3600
DBP,DBP,0,
DDE,DDE,0,
DDG,DDG,0,
DEM,DEM,0,
DEN,DEN,3,
DER,DER,3,
DET,DET,3,
DFB,DFB,0,
DHM,DHM,0,
DIL,DIL,0,
DLB,DLB,0,
DLD,DLD,3,
DLK,DLK,0,
DNC,DNC,0,
DNK,DNK,0,
DOA,DOA,0,
DOV,DOV,0,
DOW,DOW,0,
DQN,DQN,0,
DRD,DRD,0,
DRT,DRT,0,
DUN,DUN,0,
DVI,DVI,0,
DVL,DVL,0,
DVP,DVP,0,
DWT,DWT,0,
DYE,DYE,0,
EDM,EDM,0,
EFG,EFG,0,
EKA,EKA,0,
EKG,EKG,0,
EKH,EKH,0,
ELK,ELK,0,
ELP,ELP,3,
ELT,ELT,0,
ELY,ELY,0,
EMY,EMY,3,
ENC,ENC,0,
EPH,EPH,0,
ERI,ERI,0,
ESG,ESG,0,
ESM,ESM,0,
ESX,ESX,0,
EUG,EUG,3,
EVR,EVR,3,
EWR,EWR,0,
EXR,EXR,2,2
EXT,EXT,0,
FAR,FAR,0,
FAY,FAY,0,
FBG,FBG,0,
FED,FED,0,
FIL,FIL,0,
FLG,FLG,3,
FLN,FLN,0,
FLO,FLO,0,
FMD,FMD,0,
FMG,FMG,0,
FMT,FMT,0,
FNO,FNO,3,
FRA,FRA,0,
FRE,FRE,0,
FRT,FRT,0,
FTA,FTA,0,
FTC,FTC,0,
FTL,FTL,0,
FTM,FTM,0,
FTN,FTN,0,
FTW,FTW,2,3600
FUL,FUL,2,3600
GAC,GAC,0,
GAS,GAS,0,
GBB,GBB,2,3600
GBO,GBO,0,
GBV,GBV,0,
GCK,GCK,0,
GDL,GDL,0,
GFD,GFD,0,
GFK,GFK,0,
GGW,GGW,0,
GJT,GJT,0,
GLE,GLE,2,0
GLM,GLM,0,
GLN,GLN,0,
GLP,GLP,0,
GLS,GLS,0,
GLY,GLY,0,
GNB,GNB,0,
GNF,GNF,0,
GNS,GNS,0,
GPK,GPK,0,
GRA,GRA,0,
GRI,GRI,0,
GRN,GRN,0,
GRO,GRO,3,
GRR,GRR,0,
GRV,GRV,2,10
GSC,GSC,3,
GSN,GSN,0,
GTA,GTA,0,
GUA,GUA,0,
GVB,GVB,0,
GWD,GWD,0,
HAM,HAM,0,
HAR,HAR,3,
HAS,HAS,0,
HAV,HAV,0,
HAY,HAY,0,
HAZ,HAZ,0,
HBG,HBG,0,
