trip_id,start_time,end_time,headway_secs,exact_times
t_76442_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76441_b_6526_tn_frequencies_trip,06:15:00,06:15:01,817,0
t_76439_b_6526_tn_frequencies_trip,18:00:00,23:30:01,3600,0
t_76438_b_6526_tn_frequencies_trip,07:00:00,11:00:01,3600,0
t_76437_b_6526_tn_frequencies_trip,06:16:00,06:16:01,817,0
t_76436_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76435_b_6526_tn_frequencies_trip,06:14:00,06:14:01,817,0
t_76434_b_6492_tn_frequencies_trip,16:00:00,24:30:01,3600,0
t_76434_b_6489_tn_frequencies_trip,16:00:00,24:30:01,3600,0
t_76434_b_6483_tn_frequencies_trip,16:00:00,24:30:01,3600,0
t_76434_b_6480_tn_frequencies_trip,16:00:00,24:30:01,3600,0
t_76434_b_5065_tn_frequencies_trip,16:00:00,24:30:01,3600,0
t_76433_b_6492_tn_frequencies_trip,06:00:00,12:00:01,3600,0
t_76433_b_6489_tn_frequencies_trip,06:00:00,12:00:01,3600,0
t_76433_b_6483_tn_frequencies_trip,06:00:00,12:00:01,3600,0
t_76433_b_6480_tn_frequencies_trip,06:00:00,12:00:01,3600,0
t_76433_b_5065_tn_frequencies_trip,06:00:00,12:00:01,3600,0
t_76432_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76431_b_6526_tn_frequencies_trip,06:17:00,06:17:01,817,0
t_76428_b_6526_tn_frequencies_trip,06:40:00,22:40:01,3600,0
t_76427_b_6486_tn_frequencies_trip,08:20:00,20:30:01,600,0
t_76426_b_6494_tn_frequencies_trip,06:20:00,26:30:01,600,0
t_76424_b_6493_tn_frequencies_trip,08:20:00,21:30:01,600,0
t_76424_b_6490_tn_frequencies_trip,08:20:00,21:30:01,600,0
t_76424_b_6485_tn_frequencies_trip,08:20:00,21:30:01,600,0
t_76423_b_6491_tn_frequencies_trip,07:20:00,21:30:01,600,0
t_76423_b_6481_tn_frequencies_trip,07:20:00,21:30:01,600,0
t_76422_b_6482_tn_frequencies_trip,07:20:00,24:30:01,600,0
t_76421_b_6488_tn_frequencies_trip,07:20:00,23:30:01,600,0
t_76421_b_6487_tn_frequencies_trip,07:20:00,23:30:01,600,0
t_76419_b_6492_tn_frequencies_trip,06:20:00,24:30:01,600,0
t_76419_b_6489_tn_frequencies_trip,06:20:00,24:30:01,600,0
t_76419_b_6483_tn_frequencies_trip,06:20:00,24:30:01,600,0
t_76419_b_6480_tn_frequencies_trip,06:20:00,24:30:01,600,0
t_76419_b_5065_tn_frequencies_trip,06:20:00,24:30:01,600,0
t_76418_b_6526_tn_frequencies_trip,06:20:00,23:30:01,600,0
t_76417_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76416_b_6526_tn_frequencies_trip,06:13:00,06:13:01,817,0
t_76415_b_6526_tn_frequencies_trip,16:40:00,23:40:01,1200,0
t_76414_b_6526_tn_frequencies_trip,11:55:00,15:55:01,2400,0
t_76413_b_6526_tn_frequencies_trip,06:15:00,11:15:01,1200,0
t_76412_b_6526_tn_frequencies_trip,06:45:00,23:15:01,1800,0
t_76410_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76409_b_6526_tn_frequencies_trip,06:15:00,06:15:01,817,0
t_76406_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1800,0
t_76405_b_6526_tn_frequencies_trip,06:13:00,06:13:01,817,0
t_76404_b_1140_tn_frequencies_trip,16:00:00,21:00:01,3600,0
t_76403_b_1140_tn_frequencies_trip,09:00:00,11:00:01,3600,0
t_76400_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76399_b_6526_tn_frequencies_trip,06:10:00,06:10:01,817,0
t_76398_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76397_b_6526_tn_frequencies_trip,06:15:00,06:15:01,817,0
t_76396_b_6526_tn_frequencies_trip,06:30:00,23:30:01,1200,0
t_76395_b_6526_tn_frequencies_trip,06:14:00,06:14:01,817,0
t_73739_b_6486_tn_frequencies_trip,18:00:00,20:30:01,3600,0
t_73738_b_6486_tn_frequencies_trip,08:15:00,11:15:01,1200,0
t_73737_b_6486_tn_frequencies_trip,08:40:00,19:40:01,3600,0
t_73700_b_6486_tn_frequencies_trip,16:35:00,20:35:01,1200,0
t_73685_b_6486_tn_frequencies_trip,08:30:00,20:30:01,1200,0
t_73684_b_6486_tn_frequencies_trip,08:15:00,08:15:01,817,0
t_73677_b_6486_tn_frequencies_trip,08:30:00,20:30:01,1200,0
t_73676_b_6486_tn_frequencies_trip,08:30:00,20:30:01,1200,0
t_73675_b_6486_tn_frequencies_trip,08:30:00,20:30:01,1800,0
t_73674_b_6486_tn_frequencies_trip,08:15:00,08:15:01,817,0
t_73673_b_6486_tn_frequencies_trip,08:14:00,08:14:01,817,0
t_73672_b_6486_tn_frequencies_trip,08:13:00,08:13:01,817,0
t_73637_b_6486_tn_frequencies_trip,16:00:00,20:30:01,3600,0
t_73636_b_6486_tn_frequencies_trip,08:00:00,12:00:01,3600,0
t_73498_b_6486_tn_frequencies_trip,08:16:00,08:16:01,817,0
t_73497_b_6486_tn_frequencies_trip,09:00:00,11:00:01,3600,0
t_73473_b_6493_tn_frequencies_trip,08:00:00,12:00:01,3600,0
t_73473_b_6490_tn_frequencies_trip,08:00:00,12:00:01,3600,0
t_73473_b_6485_tn_frequencies_trip,08:00:00,12:00:01,3600,0
t_73470_b_6492_tn_frequencies_trip,06:40:00,23:40:01,3600,0
t_73470_b_6489_tn_frequencies_trip,06:40:00,23:40:01,3600,0
t_73470_b_6483_tn_frequencies_trip,06:40:00,23:40:01,3600,0
t_73470_b_6480_tn_frequencies_trip,06:40:00,23:40:01,3600,0
t_73470_b_5065_tn_frequencies_trip,06:40:00,23:40:01,3600,0
t_73469_b_6491_tn_frequencies_trip,07:15:00,11:15:01,1200,0
t_73469_b_6481_tn_frequencies_trip,07:15:00,11:15:01,1200,0
t_73468_b_6488_tn_frequencies_trip,07:15:00,11:15:01,1200,0
t_73468_b_6487_tn_frequencies_trip,07:15:00,11:15:01,1200,0
t_73466_b_6488_tn_frequencies_trip,07:16:00,07:16:01,817,0
t_73466_b_6487_tn_frequencies_trip,07:16:00,07:16:01,817,0
t_73465_b_6492_tn_frequencies_trip,06:16:00,06:16:01,817,0
t_73465_b_6489_tn_frequencies_trip,06:16:00,06:16:01,817,0
t_73465_b_6483_tn_frequencies_trip,06:16:00,06:16:01,817,0
