trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_14362_b_1140_tn_0,16:21:00,16:21:00,780806,1,,0,0,0,1,0,,
t_14362_b_1140_tn_0,16:32:00,16:32:00,780773,2,,0,0,4419.48060875601,1,0,,
t_14362_b_1140_tn_0,16:39:00,16:39:00,778222,3,,0,0,6407.65345404177,1,0,,
t_14362_b_1140_tn_0,16:43:00,16:43:00,778220,4,,0,0,7354.73810671252,1,0,,
t_14362_b_1140_tn_0,16:50:00,16:50:00,778218,5,,0,0,11455.0028592122,1,0,,
t_14362_b_1140_tn_0,16:57:00,16:57:00,2388555,6,,0,0,14977.0254466705,1,0,,
t_14362_b_1140_tn_0,16:58:00,16:58:00,2388557,7,,0,0,16293.5529234638,1,0,,
t_14362_b_1140_tn_0,16:59:00,16:59:00,780157,8,,0,0,17082.1828186032,1,0,,
t_14362_b_1140_tn_0,17:09:00,17:09:00,778216,9,,0,0,17903.15571126,1,0,,
t_14363_b_1140_tn_0,07:00:00,07:00:00,778216,1,,0,0,0,0,0,,
t_14363_b_1140_tn_0,07:05:00,07:05:00,780774,2,,0,0,1395.3269549297,0,0,,
t_14363_b_1140_tn_0,07:06:00,07:06:00,2388556,3,,0,0,2231.31479575427,0,0,,
t_14363_b_1140_tn_0,07:07:00,07:07:00,2388558,4,,0,0,3252.60836695574,0,0,,
t_14363_b_1140_tn_0,07:14:00,07:14:00,778217,5,,0,0,6757.75286476358,0,0,,
t_14363_b_1140_tn_0,07:21:00,07:21:00,778219,6,,0,0,10793.9147442088,0,0,,
t_14363_b_1140_tn_0,07:25:00,07:25:00,778221,7,,0,0,11545.1111809585,0,0,,
t_14363_b_1140_tn_0,07:30:00,07:30:00,778223,8,,0,0,13732.4024825036,0,0,,
t_14363_b_1140_tn_0,07:37:00,07:37:00,780806,9,,0,0,18639.49970457,0,0,,
t_14366_b_1140_tn_0,17:05:00,17:05:00,780806,1,,0,0,0,1,0,,
t_14366_b_1140_tn_0,17:15:00,17:15:00,780773,2,,0,0,4419.48060875601,1,0,,
t_14366_b_1140_tn_0,17:23:00,17:23:00,778222,3,,0,0,6407.65345404177,1,0,,
t_14366_b_1140_tn_0,17:27:00,17:27:00,778220,4,,0,0,7354.73810671252,1,0,,
t_14366_b_1140_tn_0,17:34:00,17:34:00,778218,5,,0,0,11455.0028592122,1,0,,
t_14366_b_1140_tn_0,17:41:00,17:41:00,2388555,6,,0,0,14977.0254466705,1,0,,
t_14366_b_1140_tn_0,17:42:00,17:42:00,2388557,7,,0,0,16293.5529234638,1,0,,
t_14366_b_1140_tn_0,17:43:00,17:43:00,780157,8,,0,0,17082.1828186032,1,0,,
t_14366_b_1140_tn_0,17:47:00,17:47:00,778216,9,,0,0,17903.15571126,1,0,,
t_14368_b_1310_tn_0,20:00:00,20:00:00,780808,1,,0,0,0,0,0,,
t_14368_b_1310_tn_0,20:03:00,20:03:00,778154,2,,0,0,832.253782983117,0,0,,
t_14368_b_1310_tn_0,20:05:00,20:05:00,778201,3,,0,0,1432.32573414945,0,0,,
t_14368_b_1310_tn_0,20:12:00,20:12:00,778205,4,,0,0,4619.9473614795,0,0,,
t_14368_b_1310_tn_0,20:20:00,20:20:00,780771,5,,0,0,11109.6127291839,0,0,,
t_14368_b_1310_tn_0,20:35:00,20:35:00,787483,6,,0,0,14570.9923899814,0,0,,
t_14368_b_1310_tn_0,20:37:00,20:37:00,787484,7,,0,0,15511.4209240798,0,0,,
t_14368_b_1310_tn_0,21:00:00,21:00:00,780808,8,,0,0,25175.22377966,0,0,,
t_14370_b_1310_tn_0,18:00:00,18:00:00,780808,1,,0,0,0,0,0,,
t_14370_b_1310_tn_0,18:02:00,18:02:00,778154,2,,0,0,832.253782983117,0,0,,
t_14370_b_1310_tn_0,18:05:00,18:05:00,778201,3,,0,0,1432.32573414945,0,0,,
t_14370_b_1310_tn_0,18:12:00,18:12:00,778205,4,,0,0,4619.9473614795,0,0,,
t_14370_b_1310_tn_0,18:20:00,18:20:00,780771,5,,0,0,11109.6127291839,0,0,,
t_14370_b_1310_tn_0,18:35:00,18:35:00,787483,6,,0,0,14570.9923899814,0,0,,
t_14370_b_1310_tn_0,18:37:00,18:37:00,787484,7,,0,0,15511.4209240798,0,0,,
t_14370_b_1310_tn_0,19:00:00,19:00:00,780808,8,,0,0,25175.22377966,0,0,,
t_14371_b_1310_tn_0,22:00:00,22:00:00,780808,1,,0,0,0,0,0,,
t_14371_b_1310_tn_0,22:45:00,22:45:00,787483,2,,0,0,9194.19647576194,0,0,,
t_14371_b_1310_tn_0,22:47:00,22:47:00,787484,3,,0,0,10133.830323812,0,0,,
t_14371_b_1310_tn_0,23:00:00,23:00:00,780808,4,,0,0,19797.6331793,0,0,,
t_14372_b_1140_tn_0,06:28:00,06:28:00,778216,1,,0,0,0,1,0,,
t_14372_b_1140_tn_0,06:33:00,06:33:00,780774,2,,0,0,1395.3269549297,1,0,,
t_14372_b_1140_tn_0,06:34:00,06:34:00,2388556,3,,0,0,2231.31479575427,1,0,,
t_14372_b_1140_tn_0,06:35:00,06:35:00,2388558,4,,0,0,3252.60836695574,1,0,,
t_14372_b_1140_tn_0,06:42:00,06:42:00,778217,5,,0,0,6757.75286476358,1,0,,
