timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
1,1708,,20171223,20171230,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-12 (All days of week),,horizontal
2,1708,,20171231,20171231,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8 - 2 (All days of week),,horizontal
3,1708,,20180101,20180101,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 9-11 (All days of week),,horizontal
4,1708,,20180102,20180107,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-12 (All days of week),,horizontal
5,1708,,20180108,20180111,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 9-9 (All days of week),,horizontal
6,1708,,20180112,20180112,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 9-12 (All days of week),,horizontal
7,1708,,20180113,20180114,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-12 (All days of week),,horizontal
8,1708,,20180115,20180115,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-11 (All days of week),,horizontal
9,1708,,20180116,20180117,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 10-9 (All days of week),,horizontal
10,1708,,20180118,20180118,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 10-8 (All days of week),,horizontal
11,1708,,20180119,20180119,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 9-11 (All days of week),,horizontal
12,1708,,20180120,20180121,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-12 (All days of week),,horizontal
13,1708,,20180122,20180124,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 10-9 (All days of week),,horizontal
14,1708,,20180125,20180125,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 9-9 (All days of week),,horizontal
15,1708,,20180126,20180128,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 8-12 (All days of week),,horizontal
16,1708,,20180129,20180131,1,1,1,1,1,1,1,ALO/Ayres Orange Line,Disney Hours 10-9 (All days of week),,horizontal
17,1709,,20171223,20171230,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-12 (All days of week),,horizontal
18,1709,,20171231,20171231,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8 - 2 (All days of week),,horizontal
19,1709,,20180101,20180101,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 9-11 (All days of week),,horizontal
20,1709,,20180102,20180107,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-12 (All days of week),,horizontal
21,1709,,20180108,20180111,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 9-9 (All days of week),,horizontal
22,1709,,20180112,20180112,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 9-12 (All days of week),,horizontal
23,1709,,20180113,20180114,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-12 (All days of week),,horizontal
24,1709,,20180115,20180115,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-11 (All days of week),,horizontal
25,1709,,20180116,20180117,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 10-9 (All days of week),,horizontal
26,1709,,20180118,20180118,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 10-8 (All days of week),,horizontal
27,1709,,20180119,20180119,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 9-11 (All days of week),,horizontal
28,1709,,20180120,20180121,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-12 (All days of week),,horizontal
29,1709,,20180122,20180124,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 10-9 (All days of week),,horizontal
30,1709,,20180125,20180125,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 9-9 (All days of week),,horizontal
31,1709,,20180126,20180128,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 8-12 (All days of week),,horizontal
32,1709,,20180129,20180131,1,1,1,1,1,1,1,ARTIC Sports Complex Line,Disney Hours 10-9 (All days of week),,horizontal
33,1706,,20171223,20171230,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-12 (All days of week),,horizontal
34,1706,,20171231,20171231,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8 - 2 (All days of week),,horizontal
35,1706,,20180101,20180101,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 9-11 (All days of week),,horizontal
36,1706,,20180102,20180107,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-12 (All days of week),,horizontal
37,1706,,20180108,20180111,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 9-9 (All days of week),,horizontal
38,1706,,20180112,20180112,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 9-12 (All days of week),,horizontal
39,1706,,20180113,20180114,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-12 (All days of week),,horizontal
40,1706,,20180115,20180115,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-11 (All days of week),,horizontal
41,1706,,20180116,20180117,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 10-9 (All days of week),,horizontal
42,1706,,20180118,20180118,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 10-8 (All days of week),,horizontal
43,1706,,20180119,20180119,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 9-11 (All days of week),,horizontal
44,1706,,20180120,20180121,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-12 (All days of week),,horizontal
45,1706,,20180122,20180124,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 10-9 (All days of week),,horizontal
46,1706,,20180125,20180125,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 9-9 (All days of week),,horizontal
47,1706,,20180126,20180128,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 8-12 (All days of week),,horizontal
48,1706,,20180129,20180131,1,1,1,1,1,1,1,Ball Road Line,Disney Hours 10-9 (All days of week),,horizontal
49,1712,,20170101,20190101,1,1,1,1,1,1,1,Buena Park Line,Year Round Schedule (All days of week),,horizontal
50,1714,0,20170101,20190101,1,1,1,1,1,1,1,Canyon Line,Year Round Schedule (All days of week),Inbound,horizontal
51,1714,1,20170101,20190101,1,1,1,1,1,1,1,Canyon Line,Year Round Schedule (All days of week),Outbound,horizontal
52,2118,0,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),Northbound,horizontal
53,2118,1,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),Southbound,horizontal
54,2118,,20171226,20190101,1,1,1,1,1,1,1,Costa Mesa/South Coast Plaza Line,Line 22 Year Round (All days of week),,horizontal
55,1705,,20171223,20171230,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8-12 (All days of week),,horizontal
56,1705,,20171231,20171231,1,1,1,1,1,1,1,Downtown Packing District Line,Disney Hours 8 - 2 (All days of week),,horizontal
