from_stop_id,to_stop_id,transfer_type,min_transfer_time
780164,780164,1,
778148,778148,1,
778201,778201,1,
780782,780782,1,
780782,780783,1,
780782,780784,1,
780782,780793,1,
780782,780794,1,
780782,780795,1,
780782,780796,1,
780782,780797,1,
780782,780798,1,
780782,780799,1,
780782,780800,1,
780782,780801,1,
780782,780803,1,
780782,780804,1,
780782,780805,1,
780782,780806,1,
780782,780807,1,
780782,780808,1,
780783,780782,1,
780783,780783,1,
780783,780784,1,
780783,780793,1,
780783,780794,1,
780783,780795,1,
780783,780796,1,
780783,780797,1,
780783,780798,1,
780783,780799,1,
780783,780800,1,
780783,780801,1,
780783,780803,1,
780783,780804,1,
780783,780805,1,
780783,780806,1,
780783,780807,1,
780783,780808,1,
780784,780782,1,
780784,780783,1,
780784,780784,1,
780784,780793,1,
780784,780794,1,
780784,780795,1,
780784,780796,1,
780784,780797,1,
780784,780798,1,
780784,780799,1,
780784,780800,1,
780784,780801,1,
780784,780803,1,
780784,780804,1,
780784,780805,1,
780784,780806,1,
780784,780807,1,
780784,780808,1,
780793,780782,1,
780793,780783,1,
780793,780784,1,
780793,780793,1,
780793,780794,1,
780793,780795,1,
780793,780796,1,
780793,780797,1,
780793,780798,1,
780793,780799,1,
780793,780800,1,
780793,780801,1,
780793,780803,1,
780793,780804,1,
780793,780805,1,
780793,780806,1,
780793,780807,1,
780793,780808,1,
780794,780782,1,
780794,780783,1,
780794,780784,1,
780794,780793,1,
780794,780794,1,
780794,780795,1,
780794,780796,1,
780794,780797,1,
780794,780798,1,
780794,780799,1,
780794,780800,1,
780794,780801,1,
780794,780803,1,
780794,780804,1,
780794,780805,1,
780794,780806,1,
780794,780807,1,
780794,780808,1,
780795,780782,1,
780795,780783,1,
780795,780784,1,
780795,780793,1,
780795,780794,1,
780795,780795,1,
780795,780796,1,
780795,780797,1,
780795,780798,1,
780795,780799,1,
780795,780800,1,
780795,780801,1,
780795,780803,1,
780795,780804,1,
780795,780805,1,
780795,780806,1,
780795,780807,1,
780795,780808,1,
780796,780782,1,
780796,780783,1,
780796,780784,1,
780796,780793,1,
780796,780794,1,
780796,780795,1,
780796,780796,1,
780796,780797,1,
780796,780798,1,
780796,780799,1,
780796,780800,1,
780796,780801,1,
780796,780803,1,
780796,780804,1,
780796,780805,1,
780796,780806,1,
780796,780807,1,
780796,780808,1,
780797,780782,1,
780797,780783,1,
780797,780784,1,
780797,780793,1,
780797,780794,1,
780797,780795,1,
780797,780796,1,
780797,780797,1,
780797,780798,1,
780797,780799,1,
780797,780800,1,
780797,780801,1,
780797,780803,1,
780797,780804,1,
780797,780805,1,
780797,780806,1,
780797,780807,1,
780797,780808,1,
780798,780782,1,
780798,780783,1,
780798,780784,1,
780798,780793,1,
780798,780794,1,
780798,780795,1,
780798,780796,1,
780798,780797,1,
780798,780798,1,
780798,780799,1,
780798,780800,1,
780798,780801,1,
780798,780803,1,
780798,780804,1,
780798,780805,1,
780798,780806,1,
780798,780807,1,
780798,780808,1,
780799,780782,1,
780799,780783,1,
780799,780784,1,
780799,780793,1,
780799,780794,1,
780799,780795,1,
780799,780796,1,
780799,780797,1,
780799,780798,1,
780799,780799,1,
780799,780800,1,
780799,780801,1,
780799,780803,1,
780799,780804,1,
780799,780805,1,
780799,780806,1,
780799,780807,1,
780799,780808,1,
780800,780782,1,
780800,780783,1,
780800,780784,1,
780800,780793,1,
780800,780794,1,
780800,780795,1,
780800,780796,1,
780800,780797,1,
780800,780798,1,
780800,780799,1,
780800,780800,1,
780800,780801,1,
780800,780803,1,
780800,780804,1,
780800,780805,1,
780800,780806,1,
780800,780807,1,
780800,780808,1,
780801,780782,1,
780801,780783,1,
780801,780784,1,
780801,780793,1,
780801,780794,1,
780801,780795,1,
780801,780796,1,
780801,780797,1,
780801,780798,1,
780801,780799,1,
780801,780800,1,
780801,780801,1,
780801,780803,1,
780801,780804,1,
780801,780805,1,
780801,780806,1,
780801,780807,1,
780801,780808,1,
780803,780782,1,
780803,780783,1,
780803,780784,1,
780803,780793,1,
780803,780794,1,
780803,780795,1,
780803,780796,1,
780803,780797,1,
780803,780798,1,
780803,780799,1,
780803,780800,1,
780803,780801,1,
780803,780803,1,
780803,780804,1,
780803,780805,1,
780803,780806,1,
780803,780807,1,
780803,780808,1,
780804,780782,1,
780804,780783,1,
780804,780784,1,
780804,780793,1,
780804,780794,1,
780804,780795,1,
780804,780796,1,
780804,780797,1,
780804,780798,1,
780804,780799,1,
780804,780800,1,
780804,780801,1,
780804,780803,1,
780804,780804,1,
780804,780805,1,
780804,780806,1,
780804,780807,1,
780804,780808,1,
780805,780782,1,
780805,780783,1,
780805,780784,1,
780805,780793,1,
780805,780794,1,
780805,780795,1,
780805,780796,1,
780805,780797,1,
780805,780798,1,
780805,780799,1,
780805,780800,1,
780805,780801,1,
780805,780803,1,
780805,780804,1,
780805,780805,1,
780805,780806,1,
780805,780807,1,
780805,780808,1,
780806,780782,1,
780806,780783,1,
780806,780784,1,
780806,780793,1,
780806,780794,1,
780806,780795,1,
780806,780796,1,
780806,780797,1,
780806,780798,1,
780806,780799,1,
780806,780800,1,
780806,780801,1,
780806,780803,1,
780806,780804,1,
780806,780805,1,
780806,780806,1,
780806,780807,1,
780806,780808,1,
780807,780782,1,
780807,780783,1,
780807,780784,1,
780807,780793,1,
780807,780794,1,
780807,780795,1,
780807,780796,1,
780807,780797,1,
