route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_13,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_60,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_61,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_7,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_8,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_9,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_12,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73501_b_6494_tn_1,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_1,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_42,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_41,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_40,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_4,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_39,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_38,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_37,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_36,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_35,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_34,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_33,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_32,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_31,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_30,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_3,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_29,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_28,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_27,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_26,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_25,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_24,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_23,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_22,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_21,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_20,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_2,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_19,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_18,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_17,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_16,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_15,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_14,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_43,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_44,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_45,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_46,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_10,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_11,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_47,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_48,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_49,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_5,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_50,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_51,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_52,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_53,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_54,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_55,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_56,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_57,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_58,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_59,,Disneyland Resort,,,p_4052,,,
1696,c_1770_b_6494_d_127,t_73696_b_6494_tn_6,,Disneyland Resort,,,p_4052,,,
