from_stop_id,to_stop_id,transfer_type
10002,10002,0
10003,10003,0
10006,10006,0
10008,10008,0
10012,10012,0
10013,10013,0
10014,10014,0
10016,10016,0
10017,10017,0
10018,10018,0
10019,10019,0
10020,10020,0
10021,10021,0
10024,10024,0
10025,10025,0
10026,10026,0
10027,10027,0
10029,10029,0
10031,10031,0
10032,10032,0
10033,10033,0
10048,10048,0
10052,10052,0
10052,10053,0
10053,10052,0
10053,10053,0
10054,10054,0
10057,10057,0
10058,10058,0
10059,10059,0
10060,10060,0
10061,10061,0
10068,10068,0
10069,10069,0
10070,10071,0
10071,10070,0
10071,10071,0
10073,10073,0
10074,10074,0
10075,10075,0
10076,10076,0
10077,10077,0
10078,10078,0
10079,10079,0
10081,10081,0
10081,10083,0
10083,10081,0
10083,10083,0
10083,10085,0
10083,10088,0
10084,10084,0
10084,10087,0
10085,10083,0
10085,10085,0
10085,10088,0
10086,10086,0
10087,10084,0
10087,10087,0
10088,10083,0
10088,10085,0
10088,10088,0
10093,10093,0
10094,10094,0
10095,10095,0
10097,10097,0
10102,10102,0
10106,10106,0
10106,10107,0
10106,10110,0
10106,10111,0
10107,10106,0
10107,10107,0
10107,10111,0
10110,10106,0
10110,10110,0
10110,10111,0
10111,10106,0
10111,10107,0
10111,10110,0
10111,10111,0
10130,10130,0
10145,10145,0
10147,10147,0
10148,10148,0
10190,10190,0
10220,10220,0
10222,10223,0
10223,10222,0
10223,10223,0
10234,10234,0
10243,10243,0
10249,10249,0
10253,10253,0
10259,10259,0
10260,10260,0
10262,10262,0
10265,10265,0
10270,10270,0
10270,10272,0
10271,10271,0
10272,10270,0
10272,10272,0
10275,10275,0
10276,10276,0
10289,10289,0
10290,10290,0
10291,10291,0
10299,10299,0
10300,10300,0
10301,10301,0
10303,10303,0
10311,10311,0
10311,10317,0
10317,10311,0
10317,10317,0
10326,10326,0
10346,10346,0
10359,10359,0
10370,10370,0
10375,10375,0
10378,10378,0
10378,10387,0
10380,10380,0
10382,10382,0
10385,10385,0
10387,10378,0
10415,10415,0
10421,10421,0
10429,10429,0
10436,10436,0
10464,10464,0
10465,10465,0
10469,10469,0
10470,10470,0
10472,10472,0
10473,10473,0
10474,10474,0
10476,10476,0
10481,10481,0
10484,10484,0
10493,10493,0
10501,10501,0
10512,10512,0
10521,10521,0
10526,10526,0
10552,10552,0
