fare_id,price,currency_type,payment_method,transfers,transfer_duration
50,2.50,USD,1,,
51,2.55,USD,1,,
52,2.60,USD,1,,
53,2.65,USD,1,,
54,2.70,USD,1,,
56,2.80,USD,1,,
57,2.85,USD,1,,
58,2.90,USD,1,,
59,2.95,USD,1,,
60,3.00,USD,1,,
61,3.05,USD,1,,
62,3.10,USD,1,,
63,3.15,USD,1,,
64,3.20,USD,1,,
65,3.25,USD,1,,
66,3.30,USD,1,,
69,3.45,USD,1,,
70,3.50,USD,1,,
71,3.55,USD,1,,
72,3.60,USD,1,,
73,3.65,USD,1,,
74,3.70,USD,1,,
75,3.75,USD,1,,
76,3.80,USD,1,,
77,3.85,USD,1,,
78,3.90,USD,1,,
79,3.95,USD,1,,
80,4.00,USD,1,,
81,4.05,USD,1,,
82,4.10,USD,1,,
83,4.15,USD,1,,
84,4.20,USD,1,,
85,4.25,USD,1,,
86,4.30,USD,1,,
87,4.35,USD,1,,
88,4.40,USD,1,,
89,4.45,USD,1,,
90,4.50,USD,1,,
91,4.55,USD,1,,
92,4.60,USD,1,,
93,4.65,USD,1,,
94,4.70,USD,1,,
95,4.75,USD,1,,
96,4.80,USD,1,,
97,4.85,USD,1,,
98,4.90,USD,1,,
99,4.95,USD,1,,
100,5.00,USD,1,,
101,5.05,USD,1,,
102,5.10,USD,1,,
103,5.15,USD,1,,
104,5.20,USD,1,,
105,5.25,USD,1,,
106,5.30,USD,1,,
107,5.35,USD,1,,
108,5.40,USD,1,,
109,5.45,USD,1,,
110,5.50,USD,1,,
111,5.55,USD,1,,
112,5.60,USD,1,,
113,5.65,USD,1,,
114,5.70,USD,1,,
115,5.75,USD,1,,
116,5.80,USD,1,,
117,5.85,USD,1,,
118,5.90,USD,1,,
119,5.95,USD,1,,
120,6.00,USD,1,,
121,6.05,USD,1,,
122,6.10,USD,1,,
123,6.15,USD,1,,
124,6.20,USD,1,,
125,6.25,USD,1,,
126,6.30,USD,1,,
127,6.35,USD,1,,
128,6.40,USD,1,,
129,6.45,USD,1,,
130,6.50,USD,1,,
131,6.55,USD,1,,
132,6.60,USD,1,,
133,6.65,USD,1,,
134,6.70,USD,1,,
135,6.75,USD,1,,
136,6.80,USD,1,,
137,6.85,USD,1,,
138,6.90,USD,1,,
139,6.95,USD,1,,
140,7.00,USD,1,,
141,7.05,USD,1,,
142,7.10,USD,1,,
143,7.15,USD,1,,
144,7.20,USD,1,,
145,7.25,USD,1,,
146,7.30,USD,1,,
147,7.35,USD,1,,
148,7.40,USD,1,,
149,7.45,USD,1,,
150,7.50,USD,1,,
151,7.55,USD,1,,
152,7.60,USD,1,,
153,7.65,USD,1,,
154,7.70,USD,1,,
157,7.85,USD,1,,
158,7.90,USD,1,,
161,8.05,USD,1,,
162,8.10,USD,1,,
163,8.15,USD,1,,
167,8.35,USD,1,,
169,8.45,USD,1,,
170,8.50,USD,1,,
173,8.65,USD,1,,
178,8.90,USD,1,,
179,8.95,USD,1,,
180,9.00,USD,1,,
182,9.10,USD,1,,
183,9.15,USD,1,,
185,9.25,USD,1,,
186,9.30,USD,1,,
189,9.45,USD,1,,
190,9.50,USD,1,,
192,9.60,USD,1,,
193,9.65,USD,1,,
195,9.75,USD,1,,
197,9.85,USD,1,,
198,9.90,USD,1,,
199,9.95,USD,1,,
200,10.00,USD,1,,
202,10.10,USD,1,,
203,10.15,USD,1,,
204,10.20,USD,1,,
205,10.25,USD,1,,
206,10.30,USD,1,,
207,10.35,USD,1,,
208,10.40,USD,1,,
209,10.45,USD,1,,
211,10.55,USD,1,,
212,10.60,USD,1,,
214,10.70,USD,1,,
215,10.75,USD,1,,
216,10.80,USD,1,,
219,10.95,USD,1,,
220,11.00,USD,1,,
221,11.05,USD,1,,
222,11.10,USD,1,,
223,11.15,USD,1,,
225,11.25,USD,1,,
226,11.30,USD,1,,
227,11.35,USD,1,,
229,11.45,USD,1,,
231,11.55,USD,1,,
232,11.60,USD,1,,
233,11.65,USD,1,,
234,11.70,USD,1,,
238,11.90,USD,1,,
242,12.10,USD,1,,
245,12.25,USD,1,,
246,12.30,USD,1,,
249,12.45,USD,1,,
257,12.85,USD,1,,
258,12.90,USD,1,,
333,16.65,USD,1,,
