fare_id,route_id,origin_id,destination_id,contains_id
128,,SSAN,SSAN,
76,,SSAN,SBRN,
167,,SSAN,SFIA,
76,,SSAN,MLBR,
145,,SSAN,WDUB,
119,,SSAN,RICH,
114,,SSAN,DELN,
111,,SSAN,PLZA,
107,,SSAN,NBRK,
106,,SSAN,DBRK,
104,,SSAN,ASHB,
102,,SSAN,MCAR,
100,,SSAN,19TH,
100,,SSAN,12TH,
100,,SSAN,LAKE,
105,,SSAN,FTVL,
109,,SSAN,COLS,
115,,SSAN,SANL,
120,,SSAN,BAYF,
126,,SSAN,HAYW,
132,,SSAN,SHAY,
142,,SSAN,UCTY,
149,,SSAN,FRMT,
126,,SSAN,CAST,
148,,SSAN,DUBL,
157,,SSAN,PITT,
146,,SSAN,NCON,
76,,SSAN,COLM,
142,,SSAN,CONC,
134,,SSAN,PHIL,
131,,SSAN,WCRK,
123,,SSAN,LAFY,
116,,SSAN,ORIN,
104,,SSAN,ROCK,
98,,SSAN,WOAK,
90,,SSAN,EMBR,
90,,SSAN,MONT,
90,,SSAN,POWL,
90,,SSAN,CIVC,
87,,SSAN,16TH,
84,,SSAN,24TH,
79,,SSAN,GLEN,
76,,SSAN,BALB,
76,,SSAN,DALY,
233,,SSAN,OAKL,
158,,SSAN,WARM,
76,,SBRN,SSAN,
128,,SBRN,SBRN,
167,,SBRN,SFIA,
76,,SBRN,MLBR,
150,,SBRN,WDUB,
124,,SBRN,RICH,
120,,SBRN,DELN,
116,,SBRN,PLZA,
112,,SBRN,NBRK,
111,,SBRN,DBRK,
109,,SBRN,ASHB,
107,,SBRN,MCAR,
105,,SBRN,19TH,
105,,SBRN,12TH,
105,,SBRN,LAKE,
111,,SBRN,FTVL,
115,,SBRN,COLS,
121,,SBRN,SANL,
125,,SBRN,BAYF,
131,,SBRN,HAYW,
137,,SBRN,SHAY,
147,,SBRN,UCTY,
154,,SBRN,FRMT,
131,,SBRN,CAST,
154,,SBRN,DUBL,
162,,SBRN,PITT,
152,,SBRN,NCON,
76,,SBRN,COLM,
148,,SBRN,CONC,
139,,SBRN,PHIL,
136,,SBRN,WCRK,
129,,SBRN,LAFY,
121,,SBRN,ORIN,
110,,SBRN,ROCK,
103,,SBRN,WOAK,
98,,SBRN,EMBR,
98,,SBRN,MONT,
98,,SBRN,POWL,
98,,SBRN,CIVC,
95,,SBRN,16TH,
93,,SBRN,24TH,
88,,SBRN,GLEN,
85,,SBRN,BALB,
76,,SBRN,DALY,
238,,SBRN,OAKL,
163,,SBRN,WARM,
167,,SFIA,SSAN,
167,,SFIA,SBRN,
128,,SFIA,SFIA,
101,,SFIA,MLBR,
245,,SFIA,WDUB,
219,,SFIA,RICH,
214,,SFIA,DELN,
211,,SFIA,PLZA,
207,,SFIA,NBRK,
206,,SFIA,DBRK,
204,,SFIA,ASHB,
202,,SFIA,MCAR,
200,,SFIA,19TH,
200,,SFIA,12TH,
200,,SFIA,LAKE,
205,,SFIA,FTVL,
209,,SFIA,COLS,
215,,SFIA,SANL,
220,,SFIA,BAYF,
226,,SFIA,HAYW,
232,,SFIA,SHAY,
242,,SFIA,UCTY,
249,,SFIA,FRMT,
226,,SFIA,CAST,
249,,SFIA,DUBL,
257,,SFIA,PITT,
246,,SFIA,NCON,
173,,SFIA,COLM,
242,,SFIA,CONC,
234,,SFIA,PHIL,
231,,SFIA,WCRK,
223,,SFIA,LAFY,
216,,SFIA,ORIN,
204,,SFIA,ROCK,
198,,SFIA,WOAK,
193,,SFIA,EMBR,
193,,SFIA,MONT,
193,,SFIA,POWL,
193,,SFIA,CIVC,
192,,SFIA,16TH,
190,,SFIA,24TH,
185,,SFIA,GLEN,
182,,SFIA,BALB,
178,,SFIA,DALY,
333,,SFIA,OAKL,
258,,SFIA,WARM,
76,,MLBR,SSAN,
76,,MLBR,SBRN,
101,,MLBR,SFIA,
128,,MLBR,MLBR,
157,,MLBR,WDUB,
131,,MLBR,RICH,
126,,MLBR,DELN,
123,,MLBR,PLZA,
119,,MLBR,NBRK,
118,,MLBR,DBRK,
116,,MLBR,ASHB,
114,,MLBR,MCAR,
112,,MLBR,19TH,
112,,MLBR,12TH,
112,,MLBR,LAKE,
117,,MLBR,FTVL,
121,,MLBR,COLS,
127,,MLBR,SANL,
132,,MLBR,BAYF,
138,,MLBR,HAYW,
144,,MLBR,SHAY,
154,,MLBR,UCTY,
161,,MLBR,FRMT,
138,,MLBR,CAST,
161,,MLBR,DUBL,
169,,MLBR,PITT,
158,,MLBR,NCON,
87,,MLBR,COLM,
154,,MLBR,CONC,
146,,MLBR,PHIL,
143,,MLBR,WCRK,
135,,MLBR,LAFY,
128,,MLBR,ORIN,
116,,MLBR,ROCK,
110,,MLBR,WOAK,
105,,MLBR,EMBR,
105,,MLBR,MONT,
105,,MLBR,POWL,
105,,MLBR,CIVC,
104,,MLBR,16TH,
103,,MLBR,24TH,
98,,MLBR,GLEN,
95,,MLBR,BALB,
91,,MLBR,DALY,
245,,MLBR,OAKL,
170,,MLBR,WARM,
145,,WDUB,SSAN,
150,,WDUB,SBRN,
245,,WDUB,SFIA,
157,,WDUB,MLBR,
128,,WDUB,WDUB,
116,,WDUB,RICH,
111,,WDUB,DELN,
108,,WDUB,PLZA,
104,,WDUB,NBRK,
103,,WDUB,DBRK,
101,,WDUB,ASHB,
99,,WDUB,MCAR,
97,,WDUB,19TH,
97,,WDUB,12TH,
97,,WDUB,LAKE,
91,,WDUB,FTVL,
88,,WDUB,COLS,
82,,WDUB,SANL,
50,,WDUB,BAYF,
83,,WDUB,HAYW,
89,,WDUB,SHAY,
99,,WDUB,UCTY,
106,,WDUB,FRMT,
50,,WDUB,CAST,
50,,WDUB,DUBL,
150,,WDUB,PITT,
140,,WDUB,NCON,
141,,WDUB,COLM,
136,,WDUB,CONC,
127,,WDUB,PHIL,
124,,WDUB,WCRK,
117,,WDUB,LAFY,
109,,WDUB,ORIN,
99,,WDUB,ROCK,
99,,WDUB,WOAK,
132,,WDUB,EMBR,
132,,WDUB,MONT,
132,,WDUB,POWL,
132,,WDUB,CIVC,
134,,WDUB,16TH,
135,,WDUB,24TH,
138,,WDUB,GLEN,
139,,WDUB,BALB,
142,,WDUB,DALY,
211,,WDUB,OAKL,
114,,WDUB,WARM,
119,,RICH,SSAN,
124,,RICH,SBRN,
219,,RICH,SFIA,
131,,RICH,MLBR,
116,,RICH,WDUB,
128,,RICH,RICH,
50,,RICH,DELN,
50,,RICH,PLZA,
50,,RICH,NBRK,
50,,RICH,DBRK,
50,,RICH,ASHB,
65,,RICH,MCAR,
69,,RICH,19TH,
69,,RICH,12TH,
69,,RICH,LAKE,
76,,RICH,FTVL,
80,,RICH,COLS,
86,,RICH,SANL,
91,,RICH,BAYF,
96,,RICH,HAYW,
102,,RICH,SHAY,
112,,RICH,UCTY,
119,,RICH,FRMT,
96,,RICH,CAST,
119,,RICH,DUBL,
120,,RICH,PITT,
110,,RICH,NCON,
115,,RICH,COLM,
105,,RICH,CONC,
97,,RICH,PHIL,
94,,RICH,WCRK,
87,,RICH,LAFY,
79,,RICH,ORIN,
66,,RICH,ROCK,
72,,RICH,WOAK,
106,,RICH,EMBR,
106,,RICH,MONT,
106,,RICH,POWL,
106,,RICH,CIVC,
107,,RICH,16TH,
108,,RICH,24TH,
111,,RICH,GLEN,
113,,RICH,BALB,
115,,RICH,DALY,
203,,RICH,OAKL,
128,,RICH,WARM,
114,,DELN,SSAN,
120,,DELN,SBRN,
214,,DELN,SFIA,
126,,DELN,MLBR,
111,,DELN,WDUB,
50,,DELN,RICH,
128,,DELN,DELN,
50,,DELN,PLZA,
50,,DELN,NBRK,
50,,DELN,DBRK,
50,,DELN,ASHB,
58,,DELN,MCAR,
62,,DELN,19TH,
62,,DELN,12TH,
62,,DELN,LAKE,
71,,DELN,FTVL,
75,,DELN,COLS,
82,,DELN,SANL,
86,,DELN,BAYF,
92,,DELN,HAYW,
98,,DELN,SHAY,
108,,DELN,UCTY,
115,,DELN,FRMT,
92,,DELN,CAST,
115,,DELN,DUBL,
116,,DELN,PITT,
105,,DELN,NCON,
110,,DELN,COLM,
101,,DELN,CONC,
93,,DELN,PHIL,
90,,DELN,WCRK,
83,,DELN,LAFY,
75,,DELN,ORIN,
59,,DELN,ROCK,
66,,DELN,WOAK,
101,,DELN,EMBR,
101,,DELN,MONT,
101,,DELN,POWL,
101,,DELN,CIVC,
103,,DELN,16TH,
104,,DELN,24TH,
107,,DELN,GLEN,
108,,DELN,BALB,
111,,DELN,DALY,
199,,DELN,OAKL,
124,,DELN,WARM,
111,,PLZA,SSAN,
116,,PLZA,SBRN,
211,,PLZA,SFIA,
123,,PLZA,MLBR,
108,,PLZA,WDUB,
50,,PLZA,RICH,
50,,PLZA,DELN,
128,,PLZA,PLZA,
50,,PLZA,NBRK,
50,,PLZA,DBRK,
50,,PLZA,ASHB,
52,,PLZA,MCAR,
57,,PLZA,19TH,
57,,PLZA,12TH,
57,,PLZA,LAKE,
66,,PLZA,FTVL,
72,,PLZA,COLS,
78,,PLZA,SANL,
83,,PLZA,BAYF,
89,,PLZA,HAYW,
95,,PLZA,SHAY,
105,,PLZA,UCTY,
112,,PLZA,FRMT,
89,,PLZA,CAST,
111,,PLZA,DUBL,
113,,PLZA,PITT,
102,,PLZA,NCON,
107,,PLZA,COLM,
98,,PLZA,CONC,
90,,PLZA,PHIL,
87,,PLZA,WCRK,
79,,PLZA,LAFY,
70,,PLZA,ORIN,
53,,PLZA,ROCK,
60,,PLZA,WOAK,
98,,PLZA,EMBR,
98,,PLZA,MONT,
98,,PLZA,POWL,
98,,PLZA,CIVC,
100,,PLZA,16TH,
101,,PLZA,24TH,
104,,PLZA,GLEN,
105,,PLZA,BALB,
108,,PLZA,DALY,
195,,PLZA,OAKL,
121,,PLZA,WARM,
107,,NBRK,SSAN,
112,,NBRK,SBRN,
207,,NBRK,SFIA,
119,,NBRK,MLBR,
104,,NBRK,WDUB,
50,,NBRK,RICH,
50,,NBRK,DELN,
50,,NBRK,PLZA,
128,,NBRK,NBRK,
50,,NBRK,DBRK,
50,,NBRK,ASHB,
50,,NBRK,MCAR,
50,,NBRK,19TH,
50,,NBRK,12TH,
