trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:00:00,09:00:00,10071,0,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:00:00,09:00:00,10082,7,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:01:00,09:01:00,10081,13,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:01:00,09:01:00,10078,20,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:02:00,09:02:00,10072,26,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:03:00,09:03:00,10084,35,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:04:00,09:04:00,10099,49,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:05:00,09:05:00,10105,59,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:06:00,09:06:00,10108,70,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:08:00,09:08:00,10104,84,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:09:00,09:09:00,10109,96,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:11:00,09:11:00,10117,112,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:11:00,09:11:00,10118,119,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:12:00,09:12:00,10119,131,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:13:00,09:13:00,10120,140,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:14:00,09:14:00,10121,146,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:15:00,09:15:00,10123,157,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:15:00,09:15:00,10124,164,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:16:00,09:16:00,10122,171,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:17:00,09:17:00,10138,183,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:18:00,09:18:00,10139,196,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:19:00,09:19:00,10140,205,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:21:00,09:21:00,10142,219,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:21:00,09:21:00,10147,233,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:22:00,09:22:00,10146,250,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:23:00,09:23:00,10145,259,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:25:00,09:25:00,10141,300,0,0,
1224.1-10-0-416-0900-0937-2657-0-0-0-0_BC_5LB,09:26:00,09:26:00,10140,311,0,0,
