trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"WKND-AI-N-01","9:15:00","9:15:00","1091723","1",,"0","0","0.00000000",1
"WKND-AI-N-01","9:45:00","9:45:00","1091724","2",,"0","0","4805.07290810",1
"WKND-AI-N-01","10:10:00","10:10:00","1091722","3",,"0","0","13509.22183280",1
"WKDY-AI-S-01","10:20:00","10:20:00","1091722","1",,"0","0","0.00000000",1
"WKDY-AI-S-01","11:05:00","11:05:00","1091724","2",,"0","0","8434.42012610",1
"WKND-AI-S-01","10:20:00","10:20:00","1091722","1",,"0","0","0.00000000",1
"WKND-AI-S-01","11:05:00","11:05:00","1091724","2",,"0","0","8434.42012610",1
"WKDY-AI-S-02","11:55:00","11:55:00","1091722","1",,"0","0","0.00000000",1
"WKDY-AI-S-02","12:35:00","12:35:00","1091724","2",,"0","0","8434.42012610",1
"WKND-AI-S-02","11:55:00","11:55:00","1091722","1",,"0","0","0.00000000",1
"WKND-AI-S-02","12:35:00","12:35:00","1091724","2",,"0","0","8434.42012610",1
"WKDY-AI-S-03","14:05:00","14:05:00","1091722","1",,"0","0","0.00000000",1
"WKDY-AI-S-03","14:55:00","14:55:00","1091724","2",,"0","0","8434.42012610",1
"WKND-AI-S-03","14:05:00","14:05:00","1091722","1",,"0","0","0.00000000",1
"WKND-AI-S-03","14:55:00","14:55:00","1091724","2",,"0","0","8434.42012610",1
"WKDY-AI-S-04","16:05:00","16:05:00","1091722","1",,"0","0","0.00000000",1
"WKDY-AI-S-04","16:55:00","16:55:00","1091724","2",,"0","0","8434.42012610",1
"WKND-AI-S-04","16:25:00","16:25:00","1091722","1",,"0","0","0.00000000",1
"WKND-AI-S-04","17:30:00","17:30:00","1091724","2",,"0","0","8434.42012610",1
"WKDY-AI-N-01","9:45:00","9:45:00","1091724","1",,"0","0","0.00000000",1
"WKDY-AI-N-01","10:10:00","10:10:00","1091722","2",,"0","0","8745.03707210",1
"WKDY-AI-N-02","11:15:00","11:15:00","1091724","1",,"0","0","0.00000000",1
"WKDY-AI-N-02","11:45:00","11:45:00","1091722","2",,"0","0","8745.03707210",1
"WKND-AI-N-02","11:15:00","11:15:00","1091724","1",,"0","0","0.00000000",1
"WKND-AI-N-02","11:45:00","11:45:00","1091722","2",,"0","0","8745.03707210",1
"WKDY-AI-N-03","13:35:00","13:35:00","1091724","1",,"0","0","0.00000000",1
"WKDY-AI-N-03","13:55:00","13:55:00","1091722","2",,"0","0","8745.03707210",1
"WKND-AI-N-03","13:35:00","13:35:00","1091724","1",,"0","0","0.00000000",1
"WKND-AI-N-03","13:55:00","13:55:00","1091722","2",,"0","0","8745.03707210",1
"WKND-TI-N-01","9:15:00","9:15:00","1091723","1",,"0","0","0.00000000",1
"WKND-TI-N-01","9:45:00","9:45:00","1091724","2",,"0","0","5481.57005480",1
"WKND-TI-N-01","10:30:00","10:30:00","1091728","3",,"0","0","13517.96087760",1
"FR-TI-S-01","10:40:00","10:40:00","1091728","1",,"0","0","0.00000000",1
"FR-TI-S-01","11:05:00","11:05:00","1091724","2",,"0","0","8009.65727610",1
"WKND-TI-S-01","10:40:00","10:40:00","1091728","1",,"0","0","0.00000000",1
"WKND-TI-S-01","11:05:00","11:05:00","1091724","2",,"0","0","8009.65727610",1
"MOTH-TI-S-01","10:40:00","10:40:00","1091728","1",,"0","0","0.00000000",1
