shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
metrolinkmediashp,34.17886149,-118.3122826,1
metrolinkmediashp,34.17812923,-118.3116442,2
metrolinkmediashp,34.16818207,-118.3221973,3
metrolinkmediashp,34.16112348,-118.3295318,4
metrolinkmediashp,34.15820877,-118.3281123,5
metrolinkmediashp,34.15587271,-118.3351403,6
metrolinkmediashp,34.15288679,-118.3382678,7
metrolinkmediashp,34.152707,-118.3372727,8
metrolinkmediashp,34.15131527,-118.336637,9
metrolinkmediashp,34.15099564,-118.3376402,10
metrolinkmediashp,34.1519501,-118.3381337,11
metrolinkmediashp,34.15246506,-118.3387935,12
metrolinkmediashp,34.14970155,-118.3417198,13
metrolinkmediashp,34.15310598,-118.3433694,14
metrolinkmediashp,34.15680659,-118.3322275,15
metrolinkmediashp,34.15172924,-118.3297612,16
metrolinkmediashp,34.15287792,-118.3269113,17
metrolinkmediashp,34.15411203,-118.3261442,18
metrolinkmediashp,34.16112348,-118.3295318,19
metrolinkmediashp,34.16818207,-118.3221973,20
metrolinkmediashp,34.17812923,-118.3116442,21
metrolinkmediashp,34.17886149,-118.3122826,22
empiredowntownamshp,34.17880801,-118.3122522,1
empiredowntownamshp,34.17878827,-118.3120421,2
empiredowntownamshp,34.17887394,-118.311928,3
empiredowntownamshp,34.17895164,-118.3118591,4
empiredowntownamshp,34.17980132,-118.3130335,5
empiredowntownamshp,34.18012119,-118.3134736,6
empiredowntownamshp,34.18028497,-118.3137511,7
empiredowntownamshp,34.18052295,-118.3141819,8
empiredowntownamshp,34.18075631,-118.3145459,9
empiredowntownamshp,34.18160471,-118.315529,10
empiredowntownamshp,34.18224476,-118.3162422,11
empiredowntownamshp,34.18310514,-118.3171793,12
empiredowntownamshp,34.18373443,-118.3178734,13
empiredowntownamshp,34.18445261,-118.3186349,14
empiredowntownamshp,34.18501184,-118.3190129,15
empiredowntownamshp,34.18511571,-118.3191161,16
empiredowntownamshp,34.18511544,-118.3193581,17
empiredowntownamshp,34.18495452,-118.3199498,18
empiredowntownamshp,34.18468769,-118.3207864,19
empiredowntownamshp,34.18445441,-118.3215552,20
empiredowntownamshp,34.1844855,-118.3217166,21
empiredowntownamshp,34.18466419,-118.3218327,22
empiredowntownamshp,34.18565434,-118.3223121,23
empiredowntownamshp,34.18639588,-118.3226908,24
empiredowntownamshp,34.18765994,-118.3233123,25
empiredowntownamshp,34.18793495,-118.323492,26
empiredowntownamshp,34.18817251,-118.323785,27
empiredowntownamshp,34.18915223,-118.325083,28
empiredowntownamshp,34.19089318,-118.3275694,29
empiredowntownamshp,34.19163455,-118.3286329,30
empiredowntownamshp,34.19218869,-118.3294406,31
empiredowntownamshp,34.19391475,-118.3319648,32
empiredowntownamshp,34.19433751,-118.3326191,33
empiredowntownamshp,34.19482815,-118.333365,34
empiredowntownamshp,34.1952757,-118.3340109,35
empiredowntownamshp,34.19584727,-118.3348548,36
empiredowntownamshp,34.19622341,-118.3353956,37
empiredowntownamshp,34.19664962,-118.3360424,38
empiredowntownamshp,34.19691275,-118.3364706,39
empiredowntownamshp,34.19693442,-118.3365964,40
empiredowntownamshp,34.19672183,-118.3368168,41
empiredowntownamshp,34.1956126,-118.3368826,42
empiredowntownamshp,34.1955327,-118.3368511,43
empiredowntownamshp,34.19547921,-118.3364567,44
empiredowntownamshp,34.1954785,-118.3364497,45
empiredowntownamshp,34.19546171,-118.3358191,46
empiredowntownamshp,34.19517794,-118.3358156,47
empiredowntownamshp,34.1938303,-118.3358526,48
empiredowntownamshp,34.19225162,-118.3358752,49
empiredowntownamshp,34.19194705,-118.3358733,50
empiredowntownamshp,34.19191328,-118.3359436,51
empiredowntownamshp,34.19192673,-118.3364029,52
empiredowntownamshp,34.19194221,-118.3380145,53
empiredowntownamshp,34.19196794,-118.3401182,54
empiredowntownamshp,34.19199303,-118.3412855,55
empiredowntownamshp,34.19200011,-118.3423824,56
empiredowntownamshp,34.19201872,-118.3434682,57
empiredowntownamshp,34.19204053,-118.3444545,58
empiredowntownamshp,34.19210049,-118.3445551,59
empiredowntownamshp,34.19539737,-118.3444772,60
empiredowntownamshp,34.19558943,-118.3444717,61
empiredowntownamshp,34.19566226,-118.3445694,62
empiredowntownamshp,34.19568728,-118.3448897,63
empiredowntownamshp,34.19572572,-118.3475911,64
empiredowntownamshp,34.19572102,-118.3486909,65
empiredowntownamshp,34.19576659,-118.3488315,66
empiredowntownamshp,34.19602487,-118.3488414,67
empiredowntownamshp,34.19711201,-118.3488155,68
empiredowntownamshp,34.19914441,-118.3487493,69
empiredowntownamshp,34.19926198,-118.3487382,70
empiredowntownamshp,34.1992989,-118.3486038,71
empiredowntownamshp,34.19927603,-118.3477321,72
empiredowntownamshp,34.19925825,-118.3457185,73
empiredowntownamshp,34.19926471,-118.3436457,74
empiredowntownamshp,34.1992122,-118.3405726,75
empiredowntownamshp,34.19917148,-118.3401691,76
empiredowntownamshp,34.19915868,-118.3399167,77
empiredowntownamshp,34.19904214,-118.339718,78
empiredowntownamshp,34.1982571,-118.3385079,79
empiredowntownamshp,34.1980131,-118.3380873,80
empiredowntownamshp,34.19797511,-118.3379082,81
empiredowntownamshp,34.19805603,-118.3378021,82
empiredowntownamshp,34.19850887,-118.3378026,83
empiredowntownamshp,34.19946039,-118.3378467,84
empiredowntownamshp,34.19961598,-118.3378733,85
empiredowntownamshp,34.19966657,-118.3379977,86
empiredowntownamshp,34.19944126,-118.3387802,87
empiredowntownamshp,34.19935615,-118.3390613,88
empiredowntownamshp,34.19994349,-118.3400178,89
empiredowntownamshp,34.20082134,-118.3413141,90
empiredowntownamshp,34.20194089,-118.342953,91
empiredowntownamshp,34.20290496,-118.3443543,92
empiredowntownamshp,34.20310534,-118.3443769,93
empiredowntownamshp,34.20467018,-118.3443362,94
empiredowntownamshp,34.20648346,-118.3442987,95
empiredowntownamshp,34.20654453,-118.3442659,96
empiredowntownamshp,34.20652741,-118.3434682,97
empiredowntownamshp,34.20648835,-118.3419713,98
empiredowntownamshp,34.20653115,-118.3417691,99
empiredowntownamshp,34.20660537,-118.3416095,100
empiredowntownamshp,34.20650782,-118.3412846,101
empiredowntownamshp,34.20587084,-118.3399035,102
empiredowntownamshp,34.20533867,-118.3387749,103
empiredowntownamshp,34.20455974,-118.3370535,104
empiredowntownamshp,34.20435809,-118.3366418,105
empiredowntownamshp,34.20383359,-118.3355621,106
empiredowntownamshp,34.20245793,-118.3333955,107
empiredowntownamshp,34.20176802,-118.3323723,108
empiredowntownamshp,34.20105805,-118.3312975,109
empiredowntownamshp,34.20048305,-118.3303643,110
empiredowntownamshp,34.19988815,-118.3294704,111
empiredowntownamshp,34.19899114,-118.3280317,112
empiredowntownamshp,34.19783314,-118.3264073,113
empiredowntownamshp,34.19700926,-118.3252765,114
empiredowntownamshp,34.19659911,-118.324754,115
empiredowntownamshp,34.19629121,-118.3246202,116
empiredowntownamshp,34.19514842,-118.3240525,117
empiredowntownamshp,34.19278198,-118.3228283,118
empiredowntownamshp,34.19158519,-118.3222341,119
empiredowntownamshp,34.19060613,-118.3217342,120
empiredowntownamshp,34.190288,-118.3216816,121
empiredowntownamshp,34.18985163,-118.3211322,122
empiredowntownamshp,34.18901169,-118.3199511,123
empiredowntownamshp,34.18794493,-118.3184943,124
empiredowntownamshp,34.1868901,-118.3170836,125
empiredowntownamshp,34.18633764,-118.3163022,126
empiredowntownamshp,34.18623287,-118.3162555,127
