trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1NOHOAPRTAMMF,5:30:00,5:30:00,RLS,1,0,0
1NOHOAPRTAMMF,,,NHAPRT1,2,0,0
1NOHOAPRTAMMF,,,NHAPRT2,3,0,0
1NOHOAPRTAMMF,5:38:00,5:38:00,NHAPRT3,4,0,0
1NOHOAPRTAMMF,,,NHAPRT4,5,0,0
1NOHOAPRTAMMF,,,NHAPRT5,6,0,0
1NOHOAPRTAMMF,,,NHAPRT6,7,0,0
1NOHOAPRTAMMF,5:42:00,5:42:00,NHAPRT7,8,0,0
1NOHOAPRTAMMF,,,NHAPRT8,9,0,0
1NOHOAPRTAMMF,,,NHAPRT9,10,0,0
1NOHOAPRTAMMF,,,NHAPRT9,11,0,0
1NOHOAPRTAMMF,,,NHAPRT10,12,0,0
1NOHOAPRTAMMF,,,NHEMPDTAM2,13,0,0
1NOHOAPRTAMMF,5:47:00,5:47:00,NHEMPDTAM3,14,0,0
1NOHOAPRTAMMF,5:53:00,5:53:00,NHAPRT13,15,0,0
1NOHOAPRTAMMF,,,NHAPRT14,16,0,0
1NOHOAPRTAMMF,,,NHAPRT15,17,0,0
1NOHOAPRTAMMF,5:58:00,5:58:00,NHAPRT16,18,0,0
1NOHOAPRTAMMF,,,NHAPRT17,19,0,0
1NOHOAPRTAMMF,,,NHAPRT18,20,0,0
1NOHOAPRTAMMF,6:02:00,6:02:00,NHAPRT19,21,0,0
1NOHOAPRTAMMF,,,NHAPRT20,22,0,0
1NOHOAPRTAMMF,6:07:00,6:07:00,RLS,23,0,0
2NOHOAPRTAMMF,6:15:00,6:15:00,RLS,1,0,0
2NOHOAPRTAMMF,,,NHAPRT1,2,0,0
2NOHOAPRTAMMF,,,NHAPRT2,3,0,0
2NOHOAPRTAMMF,6:23:00,6:23:00,NHAPRT3,4,0,0
2NOHOAPRTAMMF,,,NHAPRT4,5,0,0
2NOHOAPRTAMMF,,,NHAPRT5,6,0,0
2NOHOAPRTAMMF,,,NHAPRT6,7,0,0
2NOHOAPRTAMMF,6:27:00,6:27:00,NHAPRT7,8,0,0
2NOHOAPRTAMMF,,,NHAPRT8,9,0,0
2NOHOAPRTAMMF,,,NHAPRT9,10,0,0
2NOHOAPRTAMMF,,,NHAPRT9,11,0,0
2NOHOAPRTAMMF,,,NHAPRT10,12,0,0
2NOHOAPRTAMMF,,,NHEMPDTAM2,13,0,0
2NOHOAPRTAMMF,6:32:00,6:32:00,NHEMPDTAM3,14,0,0
2NOHOAPRTAMMF,6:38:00,6:38:00,NHAPRT13,15,0,0
2NOHOAPRTAMMF,,,NHAPRT14,16,0,0
2NOHOAPRTAMMF,,,NHAPRT15,17,0,0
2NOHOAPRTAMMF,6:43:00,6:43:00,NHAPRT16,18,0,0
2NOHOAPRTAMMF,,,NHAPRT17,19,0,0
2NOHOAPRTAMMF,,,NHAPRT18,20,0,0
2NOHOAPRTAMMF,6:47:00,6:47:00,NHAPRT19,21,0,0
2NOHOAPRTAMMF,,,NHAPRT20,22,0,0
2NOHOAPRTAMMF,6:52:00,6:52:00,RLS,23,0,0
3NOHOAPRTAMMF,6:30:00,6:30:00,RLS,1,0,0
3NOHOAPRTAMMF,,,NHAPRT1,2,0,0
3NOHOAPRTAMMF,,,NHAPRT2,3,0,0
3NOHOAPRTAMMF,6:38:00,6:38:00,NHAPRT3,4,0,0
3NOHOAPRTAMMF,,,NHAPRT4,5,0,0
3NOHOAPRTAMMF,,,NHAPRT5,6,0,0
3NOHOAPRTAMMF,,,NHAPRT6,7,0,0
3NOHOAPRTAMMF,6:42:00,6:42:00,NHAPRT7,8,0,0
3NOHOAPRTAMMF,,,NHAPRT8,9,0,0
3NOHOAPRTAMMF,,,NHAPRT9,10,0,0
3NOHOAPRTAMMF,,,NHAPRT9,11,0,0
3NOHOAPRTAMMF,,,NHAPRT10,12,0,0
3NOHOAPRTAMMF,,,NHEMPDTAM2,13,0,0
3NOHOAPRTAMMF,6:47:00,6:47:00,NHEMPDTAM3,14,0,0
3NOHOAPRTAMMF,6:53:00,6:53:00,NHAPRT13,15,0,0
3NOHOAPRTAMMF,,,NHAPRT14,16,0,0
3NOHOAPRTAMMF,,,NHAPRT15,17,0,0
3NOHOAPRTAMMF,6:58:00,6:58:00,NHAPRT16,18,0,0
3NOHOAPRTAMMF,,,NHAPRT17,19,0,0
3NOHOAPRTAMMF,,,NHAPRT18,20,0,0
3NOHOAPRTAMMF,7:02:00,7:02:00,NHAPRT19,21,0,0
3NOHOAPRTAMMF,,,NHAPRT20,22,0,0
3NOHOAPRTAMMF,7:07:00,7:07:00,RLS,23,0,0
4NOHOAPRTAMMF,6:45:00,6:45:00,RLS,1,0,0
4NOHOAPRTAMMF,,,NHAPRT1,2,0,0
4NOHOAPRTAMMF,,,NHAPRT2,3,0,0
4NOHOAPRTAMMF,6:53:00,6:53:00,NHAPRT3,4,0,0
4NOHOAPRTAMMF,,,NHAPRT4,5,0,0
4NOHOAPRTAMMF,,,NHAPRT5,6,0,0
4NOHOAPRTAMMF,,,NHAPRT6,7,0,0
4NOHOAPRTAMMF,6:57:00,6:57:00,NHAPRT7,8,0,0
4NOHOAPRTAMMF,,,NHAPRT8,9,0,0
4NOHOAPRTAMMF,,,NHAPRT9,10,0,0
4NOHOAPRTAMMF,,,NHAPRT9,11,0,0
4NOHOAPRTAMMF,,,NHAPRT10,12,0,0
4NOHOAPRTAMMF,,,NHEMPDTAM2,13,0,0
4NOHOAPRTAMMF,7:02:00,7:02:00,NHEMPDTAM3,14,0,0
4NOHOAPRTAMMF,7:08:00,7:08:00,NHAPRT13,15,0,0
4NOHOAPRTAMMF,,,NHAPRT14,16,0,0
4NOHOAPRTAMMF,,,NHAPRT15,17,0,0
4NOHOAPRTAMMF,7:13:00,7:13:00,NHAPRT16,18,0,0
4NOHOAPRTAMMF,,,NHAPRT17,19,0,0
4NOHOAPRTAMMF,,,NHAPRT18,20,0,0
4NOHOAPRTAMMF,7:17:00,7:17:00,NHAPRT19,21,0,0
4NOHOAPRTAMMF,,,NHAPRT20,22,0,0
4NOHOAPRTAMMF,7:22:00,7:22:00,RLS,23,0,0
5NOHOAPRTAMMF,7:00:00,7:00:00,RLS,1,0,0
