route_id,service_id,trip_id,block_id,shape_id
NOHOAPRTAM,NOHOAPRTAMMF,1NOHOAPRTAMMF,B1NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,2NOHOAPRTAMMF,B2NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,3NOHOAPRTAMMF,B3NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,4NOHOAPRTAMMF,B4NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,5NOHOAPRTAMMF,B5NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,6NOHOAPRTAMMF,B6NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,7NOHOAPRTAMMF,B7NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,8NOHOAPRTAMMF,B8NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,9NOHOAPRTAMMF,B9NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,10NOHOAPRTAMMF,B10NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,11NOHOAPRTAMMF,B11NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,12NOHOAPRTAMMF,B12NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,13NOHOAPRTAMMF,B13NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,14NOHOAPRTAMMF,B14NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,15NOHOAPRTAMMF,B15NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,16NOHOAPRTAMMF,B16NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,17NOHOAPRTAMMF,B17NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,18NOHOAPRTAMMF,B18NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,19NOHOAPRTAMMF,B19NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,20NOHOAPRTAMMF,B20NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,21NOHOAPRTAMMF,B21NOHOAPRTAMMF,nohoairportshp
NOHOAPRTAM,NOHOAPRTAMMF,22NOHOAPRTAMMF,B22NOHOAPRTAMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,1NOHOAPRTPMMF,B1NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,2NOHOAPRTPMMF,B2NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,3NOHOAPRTPMMF,B3NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,4NOHOAPRTPMMF,B4NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,5NOHOAPRTPMMF,B5NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,6NOHOAPRTPMMF,B6NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,7NOHOAPRTPMMF,B7NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,8NOHOAPRTPMMF,B8NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,9NOHOAPRTPMMF,B9NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,10NOHOAPRTPMMF,B10NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,11NOHOAPRTPMMF,B11NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,12NOHOAPRTPMMF,B12NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,13NOHOAPRTPMMF,B13NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,14NOHOAPRTPMMF,B14NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,15NOHOAPRTPMMF,B15NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,16NOHOAPRTPMMF,B16NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,17NOHOAPRTPMMF,B17NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,18NOHOAPRTPMMF,B18NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,19NOHOAPRTPMMF,B19NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,20NOHOAPRTPMMF,B20NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,21NOHOAPRTPMMF,B21NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,22NOHOAPRTPMMF,B22NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,23NOHOAPRTPMMF,B23NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,24NOHOAPRTPMMF,B24NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,25NOHOAPRTPMMF,B25NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,26NOHOAPRTPMMF,B26NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,27NOHOAPRTPMMF,B27NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,28NOHOAPRTPMMF,B28NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,29NOHOAPRTPMMF,B29NOHOAPRTPMMF,nohoairportshp
NOHOAPRTPM,NOHOAPRTPMMF,30NOHOAPRTPMMF,B30NOHOAPRTPMMF,nohoairportshp
MLMDAM,MLMDAMMF,1MLMDAMMF,B1MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,2MLMDAMMF,B2MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,3MLMDAMMF,B3MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,4MLMDAMMF,B4MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,5MLMDAMMF,B5MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,6MLMDAMMF,B6MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,7MLMDAMMF,B7MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,8MLMDAMMF,B8MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,9MLMDAMMF,B9MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,10MLMDAMMF,B10MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,11MLMDAMMF,B11MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,12MLMDAMMF,B12MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,13MLMDAMMF,B13MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,14MLMDAMMF,B14MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,15MLMDAMMF,B15MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,16MLMDAMMF,B16MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,17MLMDAMMF,B17MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,18MLMDAMMF,B18MLMDAMMF,metrolinkmediashp
MLMDAM,MLMDAMMF,19MLMDAMMF,B19MLMDAMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,1MLMDPMMF,B1MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,2MLMDPMMF,B2MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,3MLMDPMMF,B3MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,4MLMDPMMF,B4MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,5MLMDPMMF,B5MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,6MLMDPMMF,B6MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,7MLMDPMMF,B7MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,8MLMDPMMF,B8MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,9MLMDPMMF,B9MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,10MLMDPMMF,B10MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,11MLMDPMMF,B11MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,12MLMDPMMF,B12MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,13MLMDPMMF,B13MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,14MLMDPMMF,B14MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,15MLMDPMMF,B15MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,16MLMDPMMF,B16MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,17MLMDPMMF,B17MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,18MLMDPMMF,B18MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,19MLMDPMMF,B19MLMDPMMF,metrolinkmediashp
MLMDPM,MLMDPMMF,20MLMDPMMF,B20MLMDPMMF,metrolinkmediashp
NOHOMDAM,NOHOMDAMMF,1NOHOMDAMMF,B1NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,2NOHOMDAMMF,B2NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,3NOHOMDAMMF,B3NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,4NOHOMDAMMF,B4NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,5NOHOMDAMMF,B5NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,6NOHOMDAMMF,B6NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,7NOHOMDAMMF,B7NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,8NOHOMDAMMF,B8NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,9NOHOMDAMMF,B9NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,10NOHOMDAMMF,B10NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,11NOHOMDAMMF,B11NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,12NOHOMDAMMF,B12NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,13NOHOMDAMMF,B13NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,14NOHOMDAMMF,B14NOHOMDAMMF,nohomediashp
NOHOMDAM,NOHOMDAMMF,15NOHOMDAMMF,B15NOHOMDAMMF,nohomediashp
