trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,13:40:00,13:40:00,a01d771a-be3e-467d-9b68-764fc642ab31,0,0,0,0
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,c899fd90-a51e-46d6-bc8c-c64bb36d2094,4,0,0,624.95
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,2a087c59-04e8-4964-a8d5-aa742ed54b6a,5,0,0,839.36
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,238c62f7-a8a8-42ea-a87d-8c3d316e85b4,10,0,0,1389.35
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,160a9316-0c21-44cb-9214-dd3cff31888f,11,0,0,1831.27
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,13:48:00,13:48:00,532c0eb6-4168-47d8-b792-021d736532d4,14,0,0,2182.68
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,2023d66b-ce8f-4959-8a2e-6c59a1e088b6,15,0,0,2578.79
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,af779e4c-7f9e-4b45-b767-30d9a8bdbbac,16,0,0,2862.68
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,a0025d94-884c-4579-bef3-c02514664890,20,0,0,3234.13
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,ba1be8df-79b9-4be8-9fb6-cd2d5a6d0371,24,0,0,3884.71
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,13:54:00,13:54:00,82e9485b-81d3-48ea-9f0c-e27c556307b8,25,0,0,4293.08
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,82c47aba-7c0d-472e-84cc-5ee17a311308,31,0,0,4860.66
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,13:58:00,13:58:00,c5b594db-ab62-47d9-9a44-1b791de9f83c,36,0,0,5543.67
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,d7c7aeaf-079c-4946-87de-019c518b82f2,38,0,0,5965.81
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,,,87f9077d-05dc-4512-86a5-99701f2604bb,41,0,0,6412.54
483b71b6-d3f3-4fcf-85bc-b0f37a57c6a5,14:04:00,14:04:00,a01d771a-be3e-467d-9b68-764fc642ab31,45,0,0,6857.5
3ac04efb-4426-4091-b538-19716c426bda,21:10:00,21:10:00,c02cbeab-f8b6-4e38-88f0-8390364e3090,0,0,0,0
3ac04efb-4426-4091-b538-19716c426bda,,,e1d4c76c-85e3-4df4-9cf1-7b6409ba41a4,2,0,0,425.35
3ac04efb-4426-4091-b538-19716c426bda,,,ca20df5a-2635-4816-b53c-3900a83128a3,4,0,0,719.04
3ac04efb-4426-4091-b538-19716c426bda,,,f664bef8-2a1c-4cec-a840-c3ab3bcdaaae,5,0,0,1081.47
3ac04efb-4426-4091-b538-19716c426bda,,,935d9adb-787a-4f58-89d6-15385b9549c3,6,0,0,1431.57
3ac04efb-4426-4091-b538-19716c426bda,21:17:00,21:17:00,c79c0c2a-5652-4eb8-8beb-802adf449934,7,0,0,1823.94
3ac04efb-4426-4091-b538-19716c426bda,,,86a62c85-f247-47db-8cd8-1d72784500a4,8,0,0,2097.19
3ac04efb-4426-4091-b538-19716c426bda,,,5891882a-7772-4b54-9ad1-767525203b20,9,0,0,2371.1
3ac04efb-4426-4091-b538-19716c426bda,,,d9b7d7a3-d14e-4cb0-90d5-8d2e331b0db2,13,0,0,2985.75
3ac04efb-4426-4091-b538-19716c426bda,,,d7d6d407-3174-45ad-a566-015a0da358e4,14,0,0,3192.7
3ac04efb-4426-4091-b538-19716c426bda,,,78942bc4-ed95-49ea-903e-6cfb28bb65ac,15,0,0,3607.61
3ac04efb-4426-4091-b538-19716c426bda,21:22:00,21:22:00,ab2a2dbd-9710-4dd6-9419-531176de9bac,16,0,0,3856.9
3ac04efb-4426-4091-b538-19716c426bda,,,40e08285-8d06-482b-821a-ddbc59755e53,17,0,0,4282.95
3ac04efb-4426-4091-b538-19716c426bda,,,5735bf41-881a-4c07-8d53-891889ddaea1,19,0,0,4891.32
3ac04efb-4426-4091-b538-19716c426bda,,,6ba22004-ab87-4192-bc71-009ba61f1de7,20,0,0,5126.82
3ac04efb-4426-4091-b538-19716c426bda,,,038cb79a-ed37-4305-86b8-decbd7feaaca,21,0,0,5356.5
3ac04efb-4426-4091-b538-19716c426bda,,,04bd78b5-17e7-4686-ac8b-bc9d4448a4b2,22,0,0,5603.71
3ac04efb-4426-4091-b538-19716c426bda,,,e1135c58-c4dd-4ceb-a772-3faadef89840,23,0,0,5956.81
3ac04efb-4426-4091-b538-19716c426bda,,,3a815872-bd3c-40b5-b84c-3d4331949553,24,0,0,6267.31
3ac04efb-4426-4091-b538-19716c426bda,21:27:00,21:27:00,817f1716-02f2-44f4-8671-53dbce96d876,25,0,0,6565.37
3ac04efb-4426-4091-b538-19716c426bda,,,3069a79d-f710-4c16-b1d7-3d057e9cd67f,28,0,0,6910.74
3ac04efb-4426-4091-b538-19716c426bda,,,1562166b-8b0a-4b73-a0a0-907dc9822527,31,0,0,7238.52
3ac04efb-4426-4091-b538-19716c426bda,,,564004d6-2a20-4344-8545-24392929d962,33,0,0,7510.49
3ac04efb-4426-4091-b538-19716c426bda,,,3090e2fe-3c7d-4c99-8003-0ccd46ef9984,36,0,0,7799.3
3ac04efb-4426-4091-b538-19716c426bda,,,06784add-bbe1-46c1-8968-26163afef163,42,0,0,8276.93
3ac04efb-4426-4091-b538-19716c426bda,,,17008c18-af19-460a-8fbb-3d89959fe531,50,0,0,8854.47
3ac04efb-4426-4091-b538-19716c426bda,21:34:00,21:34:00,18dbb456-aa0a-4f6d-a399-f4a70e179952,52,0,0,9024.06
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,07:44:00,07:44:00,a01d771a-be3e-467d-9b68-764fc642ab31,0,0,0,0
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,c899fd90-a51e-46d6-bc8c-c64bb36d2094,4,0,0,628.72
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,2a087c59-04e8-4964-a8d5-aa742ed54b6a,5,0,0,843.13
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,09f20a2b-2962-4fdb-a6f1-be2b7672da9a,6,0,0,983.34
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,c823a226-400a-468b-b57e-ba4b36f2dfb8,9,0,0,1229.13
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,07:50:00,07:50:00,a94528f9-afcd-4bd9-98f9-b4c50d1e4276,12,0,0,1681.92
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,a6a41d5a-1529-4580-adbb-fa3a7adab46f,15,0,0,1962.03
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,73f550d7-6cd5-4ab8-b32b-c37e90e2bfd7,16,0,0,2398.58
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,,,be626fa8-d2ac-4873-be0f-95ba4fddd6d0,18,0,0,2667.16
b7d822c9-f4b2-4292-85b4-5f0c1fc463fe,07:55:00,07:55:00,a01d771a-be3e-467d-9b68-764fc642ab31,22,0,0,3316.34
c63ca99c-8420-47b2-bf06-354b0260767c,06:50:00,06:50:00,c02cbeab-f8b6-4e38-88f0-8390364e3090,0,0,0,0
c63ca99c-8420-47b2-bf06-354b0260767c,,,e1d4c76c-85e3-4df4-9cf1-7b6409ba41a4,2,0,0,425.35
c63ca99c-8420-47b2-bf06-354b0260767c,,,ca20df5a-2635-4816-b53c-3900a83128a3,4,0,0,719.04
c63ca99c-8420-47b2-bf06-354b0260767c,,,f664bef8-2a1c-4cec-a840-c3ab3bcdaaae,5,0,0,1081.47
c63ca99c-8420-47b2-bf06-354b0260767c,,,935d9adb-787a-4f58-89d6-15385b9549c3,6,0,0,1431.57
c63ca99c-8420-47b2-bf06-354b0260767c,06:57:00,06:57:00,c79c0c2a-5652-4eb8-8beb-802adf449934,7,0,0,1823.94
c63ca99c-8420-47b2-bf06-354b0260767c,,,86a62c85-f247-47db-8cd8-1d72784500a4,8,0,0,2097.19
c63ca99c-8420-47b2-bf06-354b0260767c,,,5891882a-7772-4b54-9ad1-767525203b20,9,0,0,2371.1
c63ca99c-8420-47b2-bf06-354b0260767c,,,d9b7d7a3-d14e-4cb0-90d5-8d2e331b0db2,13,0,0,2985.75
c63ca99c-8420-47b2-bf06-354b0260767c,,,d7d6d407-3174-45ad-a566-015a0da358e4,14,0,0,3192.7
c63ca99c-8420-47b2-bf06-354b0260767c,,,78942bc4-ed95-49ea-903e-6cfb28bb65ac,15,0,0,3607.61
c63ca99c-8420-47b2-bf06-354b0260767c,07:02:00,07:02:00,ab2a2dbd-9710-4dd6-9419-531176de9bac,16,0,0,3856.9
c63ca99c-8420-47b2-bf06-354b0260767c,,,40e08285-8d06-482b-821a-ddbc59755e53,17,0,0,4282.95
c63ca99c-8420-47b2-bf06-354b0260767c,,,5735bf41-881a-4c07-8d53-891889ddaea1,19,0,0,4891.32
c63ca99c-8420-47b2-bf06-354b0260767c,,,6ba22004-ab87-4192-bc71-009ba61f1de7,20,0,0,5126.82
c63ca99c-8420-47b2-bf06-354b0260767c,,,038cb79a-ed37-4305-86b8-decbd7feaaca,21,0,0,5356.5
c63ca99c-8420-47b2-bf06-354b0260767c,,,04bd78b5-17e7-4686-ac8b-bc9d4448a4b2,22,0,0,5603.71
c63ca99c-8420-47b2-bf06-354b0260767c,,,e1135c58-c4dd-4ceb-a772-3faadef89840,23,0,0,5956.81
c63ca99c-8420-47b2-bf06-354b0260767c,,,3a815872-bd3c-40b5-b84c-3d4331949553,24,0,0,6267.31
c63ca99c-8420-47b2-bf06-354b0260767c,07:07:00,07:07:00,817f1716-02f2-44f4-8671-53dbce96d876,25,0,0,6565.37
c63ca99c-8420-47b2-bf06-354b0260767c,,,3069a79d-f710-4c16-b1d7-3d057e9cd67f,28,0,0,6910.74
c63ca99c-8420-47b2-bf06-354b0260767c,,,1562166b-8b0a-4b73-a0a0-907dc9822527,31,0,0,7238.52
c63ca99c-8420-47b2-bf06-354b0260767c,,,564004d6-2a20-4344-8545-24392929d962,33,0,0,7510.49
c63ca99c-8420-47b2-bf06-354b0260767c,,,3090e2fe-3c7d-4c99-8003-0ccd46ef9984,36,0,0,7799.3
c63ca99c-8420-47b2-bf06-354b0260767c,,,06784add-bbe1-46c1-8968-26163afef163,42,0,0,8276.93
c63ca99c-8420-47b2-bf06-354b0260767c,,,17008c18-af19-460a-8fbb-3d89959fe531,50,0,0,8854.47
c63ca99c-8420-47b2-bf06-354b0260767c,07:14:00,07:14:00,18dbb456-aa0a-4f6d-a399-f4a70e179952,52,0,0,9024.06
11de05c7-63bb-4f3f-a77d-38ca18bc4493,12:15:00,12:15:00,18dbb456-aa0a-4f6d-a399-f4a70e179952,0,0,0,0
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,9056c944-fb01-4ed3-acb0-994db322217d,3,0,0,269.3
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,1422d134-fe6e-486c-b5b4-7ec891cab359,6,0,0,786.17
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,32d73b49-de96-4125-b09c-c585eb52ce57,7,0,0,1092.3
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,84e800f4-c532-409c-ab73-3e6cead099a4,8,0,0,1422.71
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,a1a757da-1ba6-4cfa-8301-d7f2110adea9,9,0,0,1491.12
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,daf0c0e6-4c7f-43a5-98ed-b247ae703468,10,0,0,1839.42
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,54ffc7f9-833d-4fac-bcc0-32b506622ece,12,0,0,2160.49
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,8da25de8-cc0b-40fa-bbf5-481d460c25e3,16,0,0,2589.54
11de05c7-63bb-4f3f-a77d-38ca18bc4493,12:21:00,12:21:00,959d5272-6374-48b2-a57f-e2cc1eacb8fe,20,0,0,3027.17
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,5672f389-9221-4214-be1d-b6774aa23d6c,29,0,0,3976.36
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,367034d6-ed8f-48e0-8b27-3d6bdef19b59,33,0,0,4492.39
11de05c7-63bb-4f3f-a77d-38ca18bc4493,12:26:00,12:26:00,a8f13c88-6238-41e9-8489-971ffa234544,36,0,0,4858.3
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,386a38ee-7a49-47b0-810c-8fc390afc8a7,38,0,0,5082.64
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,f2139681-8463-4648-9a62-827763fa9f66,42,0,0,5720.39
11de05c7-63bb-4f3f-a77d-38ca18bc4493,12:29:00,12:29:00,60c84b12-158b-4fe9-ad70-6935731b88f8,43,0,0,6302.89
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,4027ca36-e4a9-4beb-bd13-8dda07678dda,44,0,0,6507.98
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,b6b4e5f5-1f40-40eb-873c-0f5213d8326d,46,0,0,6917.94
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,00537e4c-29c2-4638-8f25-64f92406df6d,47,0,0,7170.82
11de05c7-63bb-4f3f-a77d-38ca18bc4493,,,7d234bb8-ace4-4d06-a271-d2512a0946d2,49,0,0,7514.33
