trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:40:00,10:40:00,10098,428,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:45:00,10:45:00,10115,473,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:47:00,10:47:00,10113,487,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:47:00,10:47:00,10122,492,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:48:00,10:48:00,10134,500,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:50:00,10:50:00,10159,525,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:50:00,10:50:00,10171,533,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:51:00,10:51:00,10178,546,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:53:00,10:53:00,10189,560,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:55:00,10:55:00,10205,587,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:57:00,10:57:00,10209,609,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,10:59:00,10:59:00,10213,621,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:00:00,11:00:00,10215,630,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:00:00,11:00:00,10217,642,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:01:00,11:01:00,10218,658,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:02:00,11:02:00,10219,667,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:03:00,11:03:00,10221,690,0,0,
168.1-11-428-856-1040-1115-2044-0-0-0-0_CA_5LB,11:04:00,11:04:00,10220,694,0,0,
