from_stop_id,to_stop_id,transfer_type
10002,10002,0
10004,10004,0
10007,10007,0
10010,10010,0
10011,10011,0
10012,10012,0
10013,10013,0
10016,10016,0
10023,10023,0
10025,10025,0
10031,10031,0
10032,10032,0
10034,10034,0
10035,10035,0
10036,10036,0
10037,10037,0
10039,10039,0
10041,10041,0
10043,10043,0
10045,10045,0
10047,10047,0
10048,10048,0
10049,10049,0
10051,10051,0
10056,10056,0
10060,10060,0
10061,10061,0
10067,10067,0
10076,10076,0
10079,10079,0
10081,10081,0
10084,10084,0
10085,10085,0
10087,10087,0
10088,10088,0
10089,10089,0
10090,10090,0
10091,10091,0
10093,10093,0
10094,10094,0
10095,10095,0
10097,10097,0
10098,10098,0
10100,10100,0
10102,10102,0
10105,10105,0
10106,10106,0
10107,10107,0
10108,10108,0
10110,10110,0
10111,10111,0
10112,10112,0
10113,10113,0
10113,10122,0
10115,10115,0
10122,10113,0
10134,10134,0
10136,10136,0
10139,10139,0
10146,10146,0
10153,10153,0
10166,10166,0
10167,10167,0
10168,10168,0
10169,10169,0
10171,10171,0
10178,10178,0
10181,10181,0
10192,10192,0
10200,10200,0
10202,10202,0
10203,10203,0
10204,10204,0
10209,10209,0
10210,10210,0
10213,10213,0
10215,10215,0
10216,10216,0
10218,10218,0
10219,10219,0
10220,10220,0
10221,10221,0
