route_id, route_short_name,route_long_name,route_desc,route_type
192.1,CMGRN,COMMERCE GREEN ROUTE,GREEN ROUTE-WEEKDAY,3
192.2,CMGRN,COMMERCE GREEN ROUTE_1,GREEN ROUTE-WEEKDAY,3
192.3,CMGRN,COMMERCE GREEN ROUTE_2,GREEN ROUTE-WEEKDAY,3
194.1,CMRED,COMMERCE RED ROUTE,,3
194.2,CMRED,COMMERCE RED ROUTE_1,,3
194.3,CMRED,COMMERCE RED ROUTE_2,,3
194.4,CMRED,COMMERCE RED ROUTE_3,,3
194.5,CMRED,COMMERCE RED ROUTE_4,,3
194.6,CMRED,COMMERCE RED ROUTE_5,,3
198.1,CMYLW,COMMERCE YELLOW ROUTE,YELLOW ROUTE,3
198.2,CMYLW,COMMERCE YELLOW ROUTE_1,YELLOW ROUTE,3
198.3,CMYLW,COMMERCE YELLOW ROUTE_2,YELLOW ROUTE,3
494.1,CMORG,COMMERCE ORANGE ROUTE,COMMERCE ORANGE LINE,3
494.2,CMORG,COMMERCE ORANGE ROUTE_1,COMMERCE ORANGE LINE,3
494.3,CMORG,COMMERCE ORANGE ROUTE_2,COMMERCE ORANGE LINE,3
494.4,CMORG,COMMERCE ORANGE ROUTE_3,COMMERCE ORANGE LINE,3
3132.1,CMBLU,COMMERCE BLUE ROUTE,,3
3132.2,CMBLU,COMMERCE BLUE ROUTE_1,,3
3132.3,CMBLU,COMMERCE BLUE ROUTE_2,,3
3132.4,CMBLU,COMMERCE BLUE ROUTE_3,,3
3132.5,CMBLU,COMMERCE BLUE ROUTE_4,,3
3133.1,CM SS,COMMERCE SHOPPERS SHUTTLE,COMMERCE SHOPPERS ROUTE,3
3133.2,CM SS,COMMERCE SHOPPERS SHUTTLE_1,COMMERCE SHOPPERS ROUTE,3
3133.3,CM SS,COMMERCE SHOPPERS SHUTTLE_2,COMMERCE SHOPPERS ROUTE,3
3133.4,CM SS,COMMERCE SHOPPERS SHUTTLE_3,COMMERCE SHOPPERS ROUTE,3
3190.1,CMCIT,COMMERCE CITADEL EXPRESS,CITADEL EXPRESS ALTERNATE MID DAY ROUTE,3
3190.2,CMCIT,COMMERCE CITADEL EXPRESS_1,CITADEL EXPRESS ALTERNATE MID DAY ROUTE,3
3190.3,CMCIT,COMMERCE CITADEL EXPRESS_2,CITADEL EXPRESS ALTERNATE MID DAY ROUTE,3
3190.4,CMCIT,COMMERCE CITADEL EXPRESS_3,CITADEL EXPRESS ALTERNATE MID DAY ROUTE,3
3235.1,CM CS,26TH STREET COMMUTER SHUTTLE,,3
3235.2,CM CS,26TH STREET COMMUTER SHUTTLE_1,,3
3235.3,CM CS,26TH STREET COMMUTER SHUTTLE_2,,3
3259.1,CMCIT,COMMERCE CITADEL EXPRESS_4,CITADEL EXPRESS - NO DOWNTOWN LA STOPS,3
3259.2,CMCIT,COMMERCE CITADEL EXPRESS_5,CITADEL EXPRESS - NO DOWNTOWN LA STOPS,3
