shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
192.1,33.999872704667,-118.15565964043,504
192.1,33.999872704667,-118.15565964043,505
192.1,33.999042327583,-118.15606719562,508
192.1,33.99760514672,-118.15180204095,522
192.1,33.995186098761,-118.14358965815,548
192.1,33.996890556293,-118.14058380138,559
192.1,33.998049407574,-118.13885039628,566
192.1,33.999780805605,-118.13621719538,576
192.1,34.00041652124,-118.13288929704,586
192.1,34.005749002267,-118.13138001526,606
192.1,34.008359437789,-118.13140061002,616
192.1,34.008359437789,-118.13140061002,617
192.1,34.008693313532,-118.13512304424,627
192.1,34.008828847608,-118.1367730486,632
192.1,34.008948121607,-118.13820525945,636
192.1,34.009270986124,-118.1417660488,647
192.1,34.009506694281,-118.14459420367,656
192.1,34.009726179267,-118.14715177822,664
192.1,34.009807476642,-118.14808241123,666
192.1,34.009807476642,-118.14808241123,667
192.1,34.011404229872,-118.14787735657,672
192.1,34.01396837812,-118.14754860936,682
192.1,34.018302050694,-118.14729555321,697
192.1,34.017745858665,-118.14821525301,701
192.2,34.017734859174,-118.14822183338,0
192.2,34.01706679983,-118.14849124186,2
192.2,34.016551752743,-118.14722647557,6
192.2,34.01396837812,-118.14754860936,16
192.2,34.011404229872,-118.14787735657,25
192.2,34.009807476642,-118.14808241123,31
192.2,34.009726179267,-118.14715177822,34
192.2,34.009506694281,-118.14459420367,42
192.2,34.009270986124,-118.1417660488,50
192.2,34.008828847608,-118.1367730486,65
192.2,34.008546809296,-118.13343343304,76
192.2,34.008359437789,-118.13140061002,82
192.2,34.005749002267,-118.13138001526,91
192.2,34.00041652124,-118.13288929704,111
192.2,33.997188698688,-118.1345568235,124
192.2,33.994223587652,-118.13472030689,135
192.2,33.991187139953,-118.13478799639,146
192.2,33.987878749098,-118.13721054733,160
192.2,33.986128923316,-118.13912750978,169
192.2,33.982292802961,-118.14159832887,184
192.2,33.97747495169,-118.14465433651,204
192.2,33.973814767112,-118.14697323954,219
192.2,33.973490884678,-118.1443967931,227
192.2,33.973074841346,-118.14069223896,239
192.2,33.972688816861,-118.1370702246,250
192.2,33.973408301892,-118.13002979756,271
192.2,33.973408301892,-118.13002979756,272
192.2,33.97327356099,-118.12754606636,279
192.2,33.974066805155,-118.12837842121,283
192.2,33.973157535758,-118.1306890413,290
192.2,33.973157535758,-118.1306890413,291
192.2,33.975061215914,-118.13121973065,297
192.2,33.976795729399,-118.13064524454,304
192.2,33.977337428454,-118.13029976499,306
192.2,33.979590527543,-118.13541252185,324
192.2,33.982292802961,-118.14159832887,345
192.2,33.983658863223,-118.14589209113,359
192.2,33.985830948446,-118.16210881797,409
192.2,33.991987438535,-118.16113106543,431
192.2,33.991987438535,-118.16113106543,432
192.2,34.000301452509,-118.15980097896,462
192.2,34.004151962248,-118.15921773872,476
192.2,34.004151962248,-118.15921773872,477
192.2,34.003029215305,-118.15411811754,492
192.2,33.999872704667,-118.15565964043,504
192.3,34.017734859174,-118.14822183338,0
192.3,34.01706679983,-118.14849124186,2
192.3,34.016551752743,-118.14722647557,6
192.3,34.01396837812,-118.14754860936,16
192.3,34.011404229872,-118.14787735657,25
192.3,34.009807476642,-118.14808241123,31
192.3,34.009726179267,-118.14715177822,34
192.3,34.009506694281,-118.14459420367,42
192.3,34.009270986124,-118.1417660488,50
192.3,34.008828847608,-118.1367730486,65
192.3,34.008546809296,-118.13343343304,76
192.3,34.008359437789,-118.13140061002,82
192.3,34.005749002267,-118.13138001526,91
192.3,34.00041652124,-118.13288929704,111
192.3,33.997188698688,-118.1345568235,124
192.3,33.994223587652,-118.13472030689,135
192.3,33.991187139953,-118.13478799639,146
192.3,33.987878749098,-118.13721054733,160
192.3,33.986128923316,-118.13912750978,169
192.3,33.982292802961,-118.14159832887,184
192.3,33.97747495169,-118.14465433651,204
192.3,33.973814767112,-118.14697323954,219
192.3,33.973490884678,-118.1443967931,227
192.3,33.973074841346,-118.14069223896,239
192.3,33.972688816861,-118.1370702246,250
192.3,33.973408301892,-118.13002979756,271
192.3,33.973408301892,-118.13002979756,272
192.3,33.97327356099,-118.12754606636,279
192.3,33.974066805155,-118.12837842121,283
192.3,33.973157535758,-118.1306890413,290
192.3,33.973157535758,-118.1306890413,291
192.3,33.975061215914,-118.13121973065,297
192.3,33.976795729399,-118.13064524454,304
192.3,33.977337428454,-118.13029976499,306
192.3,33.979590527543,-118.13541252185,324
192.3,33.982292802961,-118.14159832887,345
192.3,33.983658863223,-118.14589209113,359
192.3,33.985830948446,-118.16210881797,409
192.3,33.991987438535,-118.16113106543,431
192.3,33.991987438535,-118.16113106543,432
192.3,34.000301452509,-118.15980097896,462
192.3,34.004151962248,-118.15921773872,476
192.3,34.004151962248,-118.15921773872,477
192.3,34.003029215305,-118.15411811754,492
192.3,33.999872704667,-118.15565964043,504
192.3,33.999872704667,-118.15565964043,505
192.3,33.999042327583,-118.15606719562,508
192.3,33.99760514672,-118.15180204095,522
192.3,33.995186098761,-118.14358965815,548
192.3,33.996890556293,-118.14058380138,559
192.3,33.998049407574,-118.13885039628,566
192.3,33.999780805605,-118.13621719538,576
192.3,34.00041652124,-118.13288929704,586
192.3,34.005749002267,-118.13138001526,606
192.3,34.008359437789,-118.13140061002,616
192.3,34.008359437789,-118.13140061002,617
192.3,34.008693313532,-118.13512304424,627
192.3,34.008828847608,-118.1367730486,632
192.3,34.008948121607,-118.13820525945,636
192.3,34.009270986124,-118.1417660488,647
192.3,34.009506694281,-118.14459420367,656
192.3,34.009726179267,-118.14715177822,664
192.3,34.009807476642,-118.14808241123,666
192.3,34.009807476642,-118.14808241123,667
192.3,34.011404229872,-118.14787735657,672
192.3,34.01396837812,-118.14754860936,682
192.3,34.018302050694,-118.14729555321,697
192.3,34.017745858665,-118.14821525301,701
194.1,34.007058642951,-118.17546672026,754
194.1,34.005807494705,-118.17606789787,758
194.1,34.004792392073,-118.1730599967,767
194.1,34.004640130423,-118.16998793321,777
194.1,34.005605948983,-118.16904625291,781
194.1,34.006291403312,-118.17011996578,785
194.1,34.006576013623,-118.17094541519,788
194.1,34.007596224339,-118.1704096761,792
194.1,34.007815414333,-118.16890883483,797
194.1,34.008024293433,-118.16690313535,803
194.1,34.0082440855,-118.16493044291,809
194.1,34.008537983673,-118.16299747918,815
194.1,34.008859465795,-118.16096226822,821
194.1,34.007813473103,-118.16231306522,827
194.1,34.006910357746,-118.16366080834,832
194.1,34.006453287523,-118.16434290687,835
194.1,34.005772709914,-118.16368827926,838
194.1,34.004931564785,-118.16187525357,844
194.1,34.004151962248,-118.15921773872,853
194.1,34.003029215305,-118.15411811754,869
194.1,34.003988818725,-118.15364477327,872
194.1,34.00319032679,-118.15275248334,876
194.1,34.002449350275,-118.15200548488,880
194.1,34.001779722126,-118.15133121303,883
194.1,34.00136258687,-118.1509015529,885
194.1,34.000731336153,-118.15029665182,888
194.1,33.999386459659,-118.14903064395,894
194.1,33.997882462066,-118.14977687155,900
194.1,33.99842727407,-118.15138783724,905
194.1,33.998993972037,-118.15305824926,911
194.1,33.99927045537,-118.15388355356,914
194.1,33.999552424522,-118.15471217266,916
194.1,33.999872704667,-118.15565964043,919
194.1,33.999042327583,-118.15606719562,923
194.1,34.002110604239,-118.16513281424,952
194.1,34.003000008521,-118.16777734234,961
194.1,34.003875722818,-118.17034601319,969
194.1,34.004152106726,-118.17115822518,972
194.1,34.004792392073,-118.1730599967,978
194.1,34.01723114106,-118.17360380001,1024
194.1,34.018901973666,-118.17350826644,1030
194.1,34.018898627457,-118.17392405573,1031
194.1,34.016534011446,-118.17493550436,1040
194.1,34.01653808764,-118.1759122765,1043
194.1,34.015488405889,-118.17591337029,1047
194.1,34.014614600721,-118.17590493428,1050
194.1,34.014620184293,-118.17394816375,1056
194.1,34.014625886555,-118.17188579963,1062
194.1,34.012891991523,-118.17188553887,1068
194.1,34.012891991523,-118.17188553887,1069
194.1,34.012890695993,-118.17086261896,1072
194.1,34.012889363934,-118.16985949743,1075
194.1,34.014634273568,-118.16984323956,1081
194.1,34.014620184293,-118.17394816375,1093
194.1,34.016534011446,-118.17493550436,1101
194.1,34.018898627457,-118.17392405573,1110
194.1,34.018896859747,-118.17131707582,1118
194.1,34.018744460447,-118.17027067536,1121
194.1,34.018332316874,-118.1682865685,1127
194.1,34.017611612175,-118.16485980364,1138
194.1,34.017212976396,-118.16298137364,1144
194.1,34.016795195351,-118.1610138278,1150
194.1,34.016281832787,-118.15857093934,1158
194.1,34.015730206877,-118.1559300189,1166
194.1,34.015730206877,-118.1559300189,1167
194.1,34.019635110922,-118.15362729507,1182
194.1,34.017745858665,-118.14821525301,1200
194.2,34.007058642951,-118.17546672026,154
194.2,34.005807494705,-118.17606789787,157
194.2,34.004792392073,-118.1730599967,167
194.2,34.004640130423,-118.16998793321,177
194.2,34.005605948983,-118.16904625291,181
194.2,34.006291403312,-118.17011996578,185
194.2,34.006576013623,-118.17094541519,188
194.2,34.007596224339,-118.1704096761,192
194.2,34.007815414333,-118.16890883483,197
194.2,34.008024293433,-118.16690313535,203
194.2,34.0082440855,-118.16493044291,209
194.2,34.008537983673,-118.16299747918,215
194.2,34.008859465795,-118.16096226822,221
194.2,34.007813473103,-118.16231306522,227
194.2,34.006910357746,-118.16366080834,232
194.2,34.006453287523,-118.16434290687,235
194.2,34.005772709914,-118.16368827926,238
194.2,34.004931564785,-118.16187525357,244
194.2,34.004151962248,-118.15921773872,253
194.2,34.003029215305,-118.15411811754,269
194.2,34.003988818725,-118.15364477327,272
194.2,34.00319032679,-118.15275248334,276
194.2,34.002449350275,-118.15200548488,280
194.2,34.001779722126,-118.15133121303,283
194.2,34.00136258687,-118.1509015529,285
194.2,34.000731336153,-118.15029665182,288
194.2,33.999386459659,-118.14903064395,294
