trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:44:00,05:44:00,10107,504,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:45:00,05:45:00,10125,522,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:46:00,05:46:00,10160,548,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:47:00,05:47:00,10168,566,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:48:00,05:48:00,10177,576,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:49:00,05:49:00,10185,586,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:50:00,05:50:00,10188,606,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:51:00,05:51:00,10187,617,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:51:00,05:51:00,10175,632,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:51:00,05:51:00,10170,636,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:52:00,05:52:00,10162,647,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:53:00,05:53:00,10156,656,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:54:00,05:54:00,10149,664,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:55:00,05:55:00,10145,672,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:56:00,05:56:00,10146,682,0,0,
192.1-6-504-701-0544-0559-2396-0-0-0-0_CM_5LB,05:59:00,05:59:00,10143,701,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:00:00,21:00:00,10142,0,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:00:00,21:00:00,10148,6,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:01:00,21:01:00,10146,16,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:01:00,21:01:00,10145,25,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:02:00,21:02:00,10149,34,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:03:00,21:03:00,10156,42,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:03:00,21:03:00,10162,50,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:04:00,21:04:00,10175,65,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:06:00,21:06:00,10187,82,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:06:00,21:06:00,10188,91,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:08:00,21:08:00,10185,111,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:10:00,21:10:00,10181,135,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:11:00,21:11:00,10180,146,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:12:00,21:12:00,10172,160,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:12:00,21:12:00,10166,169,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:14:00,21:14:00,10163,184,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:15:00,21:15:00,10155,204,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:16:00,21:16:00,10157,227,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:16:00,21:16:00,10164,239,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:17:00,21:17:00,10173,250,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:18:00,21:18:00,10193,272,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:18:00,21:18:00,10198,279,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:19:00,21:19:00,10197,283,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:19:00,21:19:00,10190,291,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:19:00,21:19:00,10189,297,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:20:00,21:20:00,10191,304,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:21:00,21:21:00,10178,324,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:22:00,21:22:00,10163,345,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:22:00,21:22:00,10154,359,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:25:00,21:25:00,10081,409,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:26:00,21:26:00,10087,432,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:27:00,21:27:00,10092,462,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:28:00,21:28:00,10093,477,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:29:00,21:29:00,10113,492,0,0,
192.2-22-0-504-2100-2130-2396-0-0-0-0_CM_5LB,21:30:00,21:30:00,10107,504,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:15:00,09:15:00,10142,0,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:15:00,09:15:00,10148,6,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:16:00,09:16:00,10146,16,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:16:00,09:16:00,10145,25,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:17:00,09:17:00,10149,34,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:18:00,09:18:00,10156,42,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:18:00,09:18:00,10162,50,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:19:00,09:19:00,10175,65,0,0,
192.3-10-0-701-0915-1005-2396-0-0-0-0_CM_5LB,09:21:00,09:21:00,10187,82,0,0,
