service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_ETRANS_21272,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21881,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21273,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21882,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21709,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21883,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21275,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21884,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21276,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21885,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21277,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21886,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21278,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21887,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21279,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21888,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21280,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21889,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21264,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21890,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21281,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21579,0,0,0,0,0,1,0,20171029,20191231
service_ETRANS_21891,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21282,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21892,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21265,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21893,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21283,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21580,0,0,0,0,0,1,0,20171029,20191231
service_ETRANS_21894,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21284,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21581,0,0,0,0,0,1,0,20171029,20191231
service_ETRANS_21895,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21285,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21896,0,0,0,0,0,0,0,20171029,20191231
service_ETRANS_21286,1,1,1,1,1,0,0,20171029,20191231
service_ETRANS_21582,0,0,0,0,0,1,0,20171029,20191231
service_ETRANS_21897,0,0,0,0,0,0,0,20171029,20191231
