service_id,date,exception_type
service_ETRANS_21272,20171110,2
service_ETRANS_21272,20171123,2
service_ETRANS_21272,20171124,2
service_ETRANS_21272,20171225,2
service_ETRANS_21272,20180101,2
service_ETRANS_21272,20180115,2
service_ETRANS_21272,20180219,2
service_ETRANS_21272,20180528,2
service_ETRANS_21272,20180704,2
service_ETRANS_21272,20180903,2
service_ETRANS_21272,20181112,2
service_ETRANS_21272,20181122,2
service_ETRANS_21272,20181123,2
service_ETRANS_21272,20181225,2
service_ETRANS_21881,20171110,1
service_ETRANS_21881,20171123,1
service_ETRANS_21881,20171124,1
service_ETRANS_21881,20171225,1
service_ETRANS_21881,20180101,1
service_ETRANS_21881,20180115,1
service_ETRANS_21881,20180219,1
service_ETRANS_21881,20180528,1
service_ETRANS_21881,20180704,1
service_ETRANS_21881,20180903,1
service_ETRANS_21881,20181112,1
service_ETRANS_21881,20181122,1
service_ETRANS_21881,20181123,1
service_ETRANS_21881,20181225,1
service_ETRANS_21273,20171110,2
service_ETRANS_21273,20171123,2
service_ETRANS_21273,20171124,2
service_ETRANS_21273,20171225,2
service_ETRANS_21273,20180101,2
service_ETRANS_21273,20180115,2
service_ETRANS_21273,20180219,2
service_ETRANS_21273,20180528,2
service_ETRANS_21273,20180704,2
service_ETRANS_21273,20180903,2
service_ETRANS_21273,20181112,2
service_ETRANS_21273,20181122,2
service_ETRANS_21273,20181123,2
service_ETRANS_21273,20181225,2
service_ETRANS_21882,20171110,1
service_ETRANS_21882,20171123,1
service_ETRANS_21882,20171124,1
service_ETRANS_21882,20171225,1
service_ETRANS_21882,20180101,1
service_ETRANS_21882,20180115,1
service_ETRANS_21882,20180219,1
service_ETRANS_21882,20180528,1
service_ETRANS_21882,20180704,1
service_ETRANS_21882,20180903,1
service_ETRANS_21882,20181112,1
service_ETRANS_21882,20181122,1
service_ETRANS_21882,20181123,1
service_ETRANS_21882,20181225,1
service_ETRANS_21709,20171110,2
service_ETRANS_21709,20171123,2
service_ETRANS_21709,20171124,2
service_ETRANS_21709,20171225,2
service_ETRANS_21709,20180101,2
service_ETRANS_21709,20180115,2
service_ETRANS_21709,20180219,2
service_ETRANS_21709,20180528,2
service_ETRANS_21709,20180704,2
service_ETRANS_21709,20180903,2
service_ETRANS_21709,20181112,2
service_ETRANS_21709,20181122,2
service_ETRANS_21709,20181123,2
service_ETRANS_21709,20181225,2
service_ETRANS_21883,20171110,1
service_ETRANS_21883,20171123,1
service_ETRANS_21883,20171124,1
service_ETRANS_21883,20171225,1
service_ETRANS_21883,20180101,1
service_ETRANS_21883,20180115,1
service_ETRANS_21883,20180219,1
service_ETRANS_21883,20180528,1
service_ETRANS_21883,20180704,1
service_ETRANS_21883,20180903,1
service_ETRANS_21883,20181112,1
service_ETRANS_21883,20181122,1
service_ETRANS_21883,20181123,1
service_ETRANS_21883,20181225,1
service_ETRANS_21275,20171110,2
service_ETRANS_21275,20171123,2
service_ETRANS_21275,20171124,2
service_ETRANS_21275,20171225,2
service_ETRANS_21275,20180101,2
service_ETRANS_21275,20180115,2
service_ETRANS_21275,20180219,2
service_ETRANS_21275,20180528,2
service_ETRANS_21275,20180704,2
service_ETRANS_21275,20180903,2
service_ETRANS_21275,20181112,2
service_ETRANS_21275,20181122,2
service_ETRANS_21275,20181123,2
service_ETRANS_21275,20181225,2
service_ETRANS_21884,20171110,1
service_ETRANS_21884,20171123,1
service_ETRANS_21884,20171124,1
service_ETRANS_21884,20171225,1
service_ETRANS_21884,20180101,1
service_ETRANS_21884,20180115,1
service_ETRANS_21884,20180219,1
service_ETRANS_21884,20180528,1
service_ETRANS_21884,20180704,1
service_ETRANS_21884,20180903,1
service_ETRANS_21884,20181112,1
service_ETRANS_21884,20181122,1
service_ETRANS_21884,20181123,1
service_ETRANS_21884,20181225,1
service_ETRANS_21276,20171110,2
service_ETRANS_21276,20171123,2
service_ETRANS_21276,20171124,2
service_ETRANS_21276,20171225,2
service_ETRANS_21276,20180101,2
service_ETRANS_21276,20180115,2
service_ETRANS_21276,20180219,2
service_ETRANS_21276,20180528,2
service_ETRANS_21276,20180704,2
service_ETRANS_21276,20180903,2
service_ETRANS_21276,20181112,2
service_ETRANS_21276,20181122,2
service_ETRANS_21276,20181123,2
service_ETRANS_21276,20181225,2
service_ETRANS_21885,20171110,1
service_ETRANS_21885,20171123,1
service_ETRANS_21885,20171124,1
service_ETRANS_21885,20171225,1
service_ETRANS_21885,20180101,1
service_ETRANS_21885,20180115,1
service_ETRANS_21885,20180219,1
service_ETRANS_21885,20180528,1
service_ETRANS_21885,20180704,1
service_ETRANS_21885,20180903,1
service_ETRANS_21885,20181112,1
service_ETRANS_21885,20181122,1
service_ETRANS_21885,20181123,1
service_ETRANS_21885,20181225,1
service_ETRANS_21277,20171110,2
service_ETRANS_21277,20171123,2
service_ETRANS_21277,20171124,2
service_ETRANS_21277,20171225,2
service_ETRANS_21277,20180101,2
service_ETRANS_21277,20180115,2
service_ETRANS_21277,20180219,2
service_ETRANS_21277,20180528,2
service_ETRANS_21277,20180704,2
service_ETRANS_21277,20180903,2
service_ETRANS_21277,20181112,2
service_ETRANS_21277,20181122,2
service_ETRANS_21277,20181123,2
service_ETRANS_21277,20181225,2
service_ETRANS_21886,20171110,1
service_ETRANS_21886,20171123,1
service_ETRANS_21886,20171124,1
service_ETRANS_21886,20171225,1
service_ETRANS_21886,20180101,1
service_ETRANS_21886,20180115,1
service_ETRANS_21886,20180219,1
service_ETRANS_21886,20180528,1
service_ETRANS_21886,20180704,1
service_ETRANS_21886,20180903,1
service_ETRANS_21886,20181112,1
service_ETRANS_21886,20181122,1
service_ETRANS_21886,20181123,1
service_ETRANS_21886,20181225,1
service_ETRANS_21278,20171110,2
service_ETRANS_21278,20171123,2
service_ETRANS_21278,20171124,2
service_ETRANS_21278,20171225,2
service_ETRANS_21278,20180101,2
service_ETRANS_21278,20180115,2
service_ETRANS_21278,20180219,2
service_ETRANS_21278,20180528,2
service_ETRANS_21278,20180704,2
service_ETRANS_21278,20180903,2
service_ETRANS_21278,20181112,2
service_ETRANS_21278,20181122,2
service_ETRANS_21278,20181123,2
service_ETRANS_21278,20181225,2
service_ETRANS_21887,20171110,1
service_ETRANS_21887,20171123,1
service_ETRANS_21887,20171124,1
service_ETRANS_21887,20171225,1
service_ETRANS_21887,20180101,1
