trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
10_05:34_Weekdays_5452,05:34:00,05:34:00,95719,0,,,,1.2679116160322301
10_05:34_Weekdays_5452,,,95626,1,,,,1433.6729892742217
10_05:34_Weekdays_5452,,,95627,2,,,,2272.684535286109
10_05:34_Weekdays_5452,,,95628,3,,,,3450.883158626819
10_05:34_Weekdays_5452,,,95629,4,,,,4702.278391912327
10_05:34_Weekdays_5452,,,95630,5,,,,5535.503952173216
10_05:34_Weekdays_5452,05:39:00,05:39:00,95147,6,,,,6254.9572307661165
10_05:34_Weekdays_5452,,,95148,7,,,,7242.655678996117
10_05:34_Weekdays_5452,,,95149,8,,,,8201.876251353024
10_05:34_Weekdays_5452,,,95227,9,,,,9343.096922613026
10_05:34_Weekdays_5452,,,95228,10,,,,11513.279825355108
10_05:34_Weekdays_5452,,,95405,11,,,,12950.564199140743
10_05:34_Weekdays_5452,,,95473,12,,,,20106.045245374706
10_05:34_Weekdays_5452,05:49:00,05:49:00,95474,13,,,,22852.918958953447
10_05:34_Weekdays_5452,05:55:00,05:55:00,95040,14,,,,25214.701486430415
10_05:34_Weekdays_5452,06:10:00,06:10:00,95607,15,,,,71199.21569799258
10_05:34_Weekdays_5452,,,95608,16,,,,72659.38845805352
10_05:34_Weekdays_5452,,,95711,17,,,,73853.9591842858
10_05:34_Weekdays_5452,,,95712,18,,,,74641.22595271618
10_05:34_Weekdays_5452,,,95713,19,,,,75444.21757858578
10_05:34_Weekdays_5452,,,95609,20,,,,75895.79290234667
10_05:34_Weekdays_5452,,,95610,21,,,,76297.46689573687
10_05:34_Weekdays_5452,,,1832,22,,,,76677.7823187987
10_05:34_Weekdays_5452,,,95714,23,,,,77069.55670303223
10_05:34_Weekdays_5452,,,95492,24,,,,78949.58297018509
10_05:34_Weekdays_5452,,,9968,25,,,,79940.98248428457
10_05:34_Weekdays_5452,06:22:00,06:22:00,1136,26,,,,82617.27153167974
10_05:34_Weekdays_5452,,,53204,27,,,,83785.10613965809
10_05:34_Weekdays_5452,,,118,28,,,,84605.20697696548
10_05:34_Weekdays_5452,,,120,29,,,,85511.08198665509
10_05:34_Weekdays_5452,,,121,30,,,,85902.48480571122
10_05:34_Weekdays_5452,,,122,31,,,,86275.70515046924
10_05:34_Weekdays_5452,,,95614,32,,,,86732.4574665879
10_05:34_Weekdays_5452,,,95566,33,,,,87532.89743639654
10_05:34_Weekdays_5452,,,95567,34,,,,88328.72891633472
10_05:34_Weekdays_5452,06:27:00,06:27:00,95717,35,,,,88703.30683649777
10_06:04_Weekdays_7327,06:04:00,06:04:00,95719,0,,,,1.2679116160322301
10_06:04_Weekdays_7327,,,95626,1,,,,1433.6729892742217
10_06:04_Weekdays_7327,,,95627,2,,,,2272.684535286109
10_06:04_Weekdays_7327,,,95628,3,,,,3450.883158626819
10_06:04_Weekdays_7327,,,95629,4,,,,4702.278391912327
10_06:04_Weekdays_7327,,,95630,5,,,,5535.503952173216
10_06:04_Weekdays_7327,06:09:00,06:09:00,95147,6,,,,6254.9572307661165
10_06:04_Weekdays_7327,,,95148,7,,,,7242.655678996117
10_06:04_Weekdays_7327,,,95149,8,,,,8201.876251353024
10_06:04_Weekdays_7327,,,95227,9,,,,9343.096922613026
10_06:04_Weekdays_7327,,,95228,10,,,,11513.279825355108
10_06:04_Weekdays_7327,,,95405,11,,,,12950.564199140743
10_06:04_Weekdays_7327,,,95473,12,,,,20106.045245374706
10_06:04_Weekdays_7327,06:19:00,06:19:00,95474,13,,,,22852.918958953447
10_06:04_Weekdays_7327,06:25:00,06:25:00,95040,14,,,,25214.701486430415
10_06:04_Weekdays_7327,06:40:00,06:40:00,95607,15,,,,71199.21569799258
10_06:04_Weekdays_7327,,,95608,16,,,,72659.38845805352
10_06:04_Weekdays_7327,,,95711,17,,,,73853.9591842858
10_06:04_Weekdays_7327,,,95712,18,,,,74641.22595271618
10_06:04_Weekdays_7327,,,95713,19,,,,75444.21757858578
10_06:04_Weekdays_7327,,,95609,20,,,,75895.79290234667
10_06:04_Weekdays_7327,,,95610,21,,,,76297.46689573687
10_06:04_Weekdays_7327,,,1832,22,,,,76677.7823187987
