route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
route_ETRANS_287,service_ETRANS_21264,19_05:00_Weekdays_5120,,0,,shape_ETRANS_721
route_ETRANS_285,service_ETRANS_21265,112_06:25_Weekdays_5130,,0,,shape_ETRANS_720
route_ETRANS_297,service_ETRANS_21272,10_15:37_Weekdays_5307,,1,,shape_ETRANS_760
route_ETRANS_298,service_ETRANS_21273,11_05:35_Weekdays_5312,,0,,shape_ETRANS_761
route_ETRANS_302,service_ETRANS_21276,14_05:45_Weekdays_5342,,0,,shape_ETRANS_770
route_ETRANS_302,service_ETRANS_21276,14_15:45_Weekdays_5347,,1,,shape_ETRANS_771
route_ETRANS_303,service_ETRANS_21277,15_05:45_Weekdays_5352,,0,,shape_ETRANS_796
route_ETRANS_306,service_ETRANS_21279,17_06:30_Weekdays_5372,,0,,shape_ETRANS_794
route_ETRANS_306,service_ETRANS_21279,17_16:15_Weekdays_5377,,1,,shape_ETRANS_795
route_ETRANS_308,service_ETRANS_21280,18_16:40_Weekdays_5382,,0,,shape_ETRANS_792
route_ETRANS_294,service_ETRANS_21282,111_06:07_Weekdays_5402,,0,,shape_ETRANS_752
route_ETRANS_294,service_ETRANS_21282,111_06:55_Weekdays_5407,,1,,shape_ETRANS_753
route_ETRANS_285,service_ETRANS_21265,112_07:00_Weekdays_5135,,1,,shape_ETRANS_722
route_ETRANS_295,service_ETRANS_21283,113_06:54_Weekdays_5412,,0,,shape_ETRANS_787
route_ETRANS_304,service_ETRANS_21284,114_06:21_Weekdays_5422,,0,,shape_ETRANS_789
route_ETRANS_304,service_ETRANS_21284,114_06:06_Weekdays_5427,,1,,shape_ETRANS_790
route_ETRANS_301,service_ETRANS_21285,115_07:23_Weekdays_5432,,0,,shape_ETRANS_791
route_ETRANS_301,service_ETRANS_21285,115_06:38_Weekdays_5437,,1,,shape_ETRANS_769
route_ETRANS_272,service_ETRANS_21286,116_06:53_Weekdays_5447,,1,,shape_ETRANS_777
route_ETRANS_287,service_ETRANS_21264,19_05:55_Weekdays_5297,,1,,shape_ETRANS_723
route_ETRANS_297,service_ETRANS_21272,10_05:34_Weekdays_5452,,0,,shape_ETRANS_759
