from_stop_id,to_stop_id,transfer_type
10007,10007,0
10011,10011,0
10013,10013,0
10016,10016,0
10017,10017,0
10022,10022,0
10025,10025,0
10025,10026,0
10026,10025,0
10026,10026,0
10027,10027,0
10028,10028,0
10029,10029,0
10030,10030,0
10037,10037,0
10039,10039,0
10045,10045,0
10046,10046,0
10047,10047,0
10057,10057,0
10059,10059,0
10061,10061,0
10064,10064,0
10065,10065,0
10066,10066,0
10067,10067,0
10077,10077,0
10082,10082,0
10085,10085,0
10086,10086,0
10087,10087,0
10088,10088,0
10102,10102,0
10103,10103,0
10106,10106,0
10109,10109,0
10114,10114,0
10117,10117,0
10120,10120,0
10122,10122,0
10123,10123,0
10124,10124,0
10126,10126,0
10127,10127,0
10128,10128,0
10129,10129,0
10136,10136,0
10138,10138,0
10141,10141,0
10142,10142,0
10143,10143,0
10147,10147,0
10150,10150,0
10157,10157,0
10158,10158,0
10166,10166,0
10173,10173,0
10175,10175,0
10176,10176,0
10177,10177,0
10178,10178,0
10188,10188,0
10190,10190,0
10191,10191,0
10192,10192,0
10197,10197,0
10199,10199,0
10205,10205,0
10208,10208,0
10211,10211,0
10214,10214,0
10226,10226,0
10227,10227,0
10228,10228,0
10229,10229,0
10231,10231,0
10231,10250,0
10233,10233,0
10235,10235,0
10238,10238,0
10238,10258,0
10239,10239,0
10240,10240,0
10243,10243,0
10244,10244,0
10245,10245,0
10247,10247,0
10248,10248,0
10249,10249,0
10250,10231,0
10250,10250,0
10251,10251,0
10258,10238,0
10258,10258,0
10260,10260,0
10263,10263,0
10264,10264,0
10267,10267,0
10268,10268,0
10272,10272,0
10279,10279,0
10280,10280,0
10284,10284,0
10289,10289,0
10296,10296,0
10298,10298,0
10302,10302,0
10305,10305,0
10306,10306,0
10307,10307,0
10308,10308,0
10311,10311,0
10312,10312,0
10313,10313,0
10314,10314,0
10317,10317,0
10318,10318,0
10320,10320,0
10324,10324,0
10325,10325,0
10325,10328,0
10325,10329,0
10325,10331,0
10326,10326,0
10328,10325,0
10328,10328,0
10329,10325,0
10329,10329,0
10329,10331,0
10329,10332,0
10330,10330,0
10331,10325,0
10331,10329,0
10331,10331,0
10332,10329,0
10332,10332,0
10332,10333,0
10332,10335,0
10332,10339,0
10333,10332,0
10333,10335,0
10335,10332,0
10335,10333,0
10335,10335,0
10335,10341,0
10336,10336,0
10337,10337,0
10338,10338,0
10339,10332,0
10339,10339,0
10341,10335,0
10341,10341,0
10342,10342,0
10345,10345,0
10350,10350,0
10351,10351,0
10351,10353,0
10352,10352,0
10353,10351,0
10353,10353,0
10354,10354,0
10355,10355,0
10356,10356,0
10357,10357,0
10360,10360,0
10361,10361,0
10361,10363,0
10362,10362,0
10363,10361,0
10363,10363,0
