service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
th,0,0,0,1,0,0,0,20170601,20180628,Thur_Trolley
11108842,0,1,1,1,1,0,0,20170829,20180607,LT_tue-fri_am
11108847,1,1,1,1,1,0,0,20170828,20180607,LT_mon-fri_pm
cp6_mtwtf,1,1,1,1,1,0,0,20170905,20180612,Labor Day to June (academic)
11108805,1,1,1,1,1,0,0,20170821,20180607,SLT_mon-fri_pm
10866804,1,1,1,1,1,0,0,20170619,20190131,weekday
11108799,0,1,1,1,1,0,0,20170822,20180607,SLT_tue-fri_am
11162422,0,0,0,1,0,0,0,20171005,20171116,6express_thursdays
11108820,1,0,0,0,0,0,0,20170828,20180604,LT_mon_am
11096951,1,0,0,0,0,0,0,20170821,20180604,SLT_mon_am
"+10866804[20171018-20171112]",1,1,1,1,1,0,0,20171018,20171110,"2017-10-18 → 11-10 (3 Mo, 3 Tu, 4 We, 4 Th, 4 Fr)"
"+cp6_summer+10866804[20171113-]",1,1,1,1,1,0,0,20171113,20190131,"2017-11-13 → 2019-01-31 (59 Mo, 63 Tu, 63 We, 62 Th, 63 Fr)"
"+10866804[-20180617]",1,1,1,1,1,0,0,20170619,20180615,"2017-06-19 → 2018-06-15 (48 Mo, 51 Tu, 52 We, 51 Th, 52 Fr)"
"+cp6_summer+cp6_mtwtf+10917725[20171113-]",1,1,1,1,1,1,1,20171113,20180612,"2017-11-13 → 2018-06-12 (28 Mo, 31 Tu, 30 We, 29 Th, 30 Fr, 20 Sa, 19 Su)"
"+f+sat",0,0,0,0,1,1,0,20170401,20171028,"2017-04-01 → 10-28 (14 Fr, 31 Sa)"
"+cp6_summer+cp6_mtwtf~10917725[20171018-20171112]",1,1,1,1,1,0,0,20171018,20171110,"2017-10-18 → 11-10 (3 Mo, 3 Tu, 4 We, 4 Th, 4 Fr)"
"+cp6_mtwtf[20171113-]",1,1,1,1,1,0,0,20171113,20180612,"2017-11-13 → 2018-06-12 (28 Mo, 31 Tu, 30 We, 29 Th, 30 Fr)"
"+cp6_summer+cp6_mtwtf~10917725",1,1,1,1,1,0,0,20170615,20180612,"2017-06-15 → 2018-06-12 (48 Mo, 51 Tu, 51 We, 51 Th, 52 Fr, Sa)"
"+cp6_mtwtf+10866804[20171113-]",1,1,1,1,1,0,0,20171113,20190131,"2017-11-13 → 2019-01-31 (59 Mo, 63 Tu, 63 We, 62 Th, 63 Fr)"
"+cp6_summer+cp6_mtwtf+10917725",1,1,1,1,1,1,1,20170615,20180612,"2017-06-15 → 2018-06-12 (48 Mo, 51 Tu, 51 We, 51 Th, 52 Fr, 42 Sa, 40 Su)"
"+cp6_mtwtf~cp6_summer~10917725[20171018-20171112]",1,1,1,1,1,0,0,20171018,20171110,"2017-10-18 → 11-10 (3 Mo, 3 Tu, 4 We, 4 Th, 4 Fr)"
"+cp6_summer+cp6_mtwtf+10917725[20171018-20171112]",1,1,1,1,1,1,1,20171018,20171112,"2017-10-18 → 11-12 (3 Mo, 3 Tu, 4 We, 4 Th, 4 Fr, 4 Sa, 4 Su)"
"+10866804~cp6_summer[20171113-]",1,1,1,1,1,0,0,20171113,20190131,"2017-11-13 → 2019-01-31 (59 Mo, 63 Tu, 63 We, 62 Th, 63 Fr)"
"+cp6_summer+cp6_mtwtf~10917725[20171113-]",1,1,1,1,1,0,0,20171113,20180612,"2017-11-13 → 2018-06-12 (28 Mo, 31 Tu, 30 We, 29 Th, 30 Fr)"
