from_stop_id,to_stop_id,transfer_type
10004,10004,0
10008,10008,0
10010,10010,0
10011,10011,0
10012,10012,0
10012,10013,0
10013,10012,0
10015,10015,0
10019,10019,0
10022,10022,0
10023,10023,0
10028,10028,0
10029,10029,0
10032,10032,0
10032,10036,0
10034,10034,0
10035,10035,0
10036,10032,0
10036,10036,0
10037,10037,0
10039,10039,0
10043,10043,0
10048,10048,0
10049,10049,0
10050,10050,0
10054,10054,0
10056,10056,0
10057,10057,0
10065,10065,0
10066,10066,0
10070,10070,0
10078,10078,0
10082,10082,0
10083,10083,0
10084,10084,0
10086,10086,0
10087,10087,0
10088,10088,0
10089,10089,0
10090,10090,0
10095,10095,0
10098,10098,0
10098,10100,0
10100,10098,0
10102,10102,0
10102,10107,0
10103,10103,0
10105,10105,0
10106,10106,0
10107,10102,0
10107,10107,0
10116,10116,0
10116,10120,0
10118,10118,0
10120,10116,0
10120,10120,0
10124,10124,0
10126,10128,0
10128,10126,0
10130,10130,0
10133,10133,0
10145,10145,0
10146,10146,0
10147,10147,0
10148,10148,0
10150,10150,0
10152,10152,0
10154,10154,0
10154,10160,0
10160,10154,0
10160,10160,0
10173,10173,0
10174,10174,0
10175,10175,0
10178,10178,0
10180,10180,0
10185,10185,0
10185,10189,0
10185,10195,0
10186,10186,0
10187,10187,0
10188,10188,0
10189,10185,0
10189,10189,0
10189,10195,0
10189,10201,0
10195,10185,0
10195,10189,0
10195,10195,0
10195,10206,0
10201,10189,0
10202,10202,0
10205,10205,0
10206,10195,0
10206,10206,0
10207,10207,0
10208,10208,0
10216,10216,0
10225,10225,0
10227,10227,0
10227,10233,0
10229,10229,0
10233,10227,0
10239,10239,0
10242,10243,0
10243,10242,0
10244,10244,0
10245,10245,0
10251,10251,0
10252,10252,0
10254,10254,0
10254,10262,0
10255,10255,0
10256,10256,0
10257,10257,0
10262,10254,0
10262,10262,0
10265,10265,0
10267,10272,0
10268,10268,0
10269,10269,0
10270,10270,0
10272,10267,0
10272,10272,0
10272,10273,0
10273,10272,0
10273,10273,0
10273,10274,0
10273,10275,0
10274,10273,0
10274,10274,0
10274,10275,0
10275,10273,0
10275,10274,0
