shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
DB0073,-122.1689752,37.4293011,10001,
DB0073,-122.168927,37.429354,10002,
DB0073,-122.168768,37.42966,10003,
DB0073,-122.168706,37.429835,10004,
DB0073,-122.168676,37.430006,10005,
DB0073,-122.168651,37.430206,10006,
DB0073,-122.168663,37.430523,10007,
DB0073,-122.168694,37.430713,10008,
DB0073,-122.168737,37.430908,10009,
DB0073,-122.168786,37.431021,10010,
DB0073,-122.168914,37.431256,10011,
DB0073,-122.168847,37.431471,10012,
DB0073,-122.170562,37.431818,10013,
DB0073,-122.171679,37.432059,10014,
DB0073,-122.17222,37.432179,10015,
DB0073,-122.1726632,37.4322774,10016,
DB0073,-122.1726632,37.4322774,20001,
DB0073,-122.173287,37.432416,20002,
DB0073,-122.173032,37.433024,20003,
DB0073,-122.172904,37.433297,20004,
DB0073,-122.172881,37.433355,20005,
DB0073,-122.17274,37.433586,20006,
DB0073,-122.172655,37.433708,20007,
DB0073,-122.172567,37.433831,20008,
DB0073,-122.172431,37.433987,20009,
DB0073,-122.172311,37.43407,20010,
DB0073,-122.172174,37.43415,20011,
DB0073,-122.172001,37.434221,20012,
DB0073,-122.171861,37.434265,20013,
DB0073,-122.171742,37.434291,20014,
DB0073,-122.171562,37.43431,20015,
DB0073,-122.171312,37.434305,20016,
DB0073,-122.171062,37.434278,20017,
DB0073,-122.170748,37.434213,20018,
DB0073,-122.170498,37.434171,20019,
DB0073,-122.170307,37.434148,20020,
DB0073,-122.169875,37.434139,20021,
DB0073,-122.169764,37.434147,20022,
DB0073,-122.16962,37.434176,20023,
DB0073,-122.169039,37.434322,20024,
DB0073,-122.168546,37.434425,20025,
DB0073,-122.168248,37.434476,20026,
DB0073,-122.168132,37.43449,20027,
DB0073,-122.168015,37.434495,20028,
DB0073,-122.167847,37.434486,20029,
DB0073,-122.167808,37.4346,20030,
DB0073,-122.166824,37.437511,20031,
DB0073,-122.166687,37.437963,20032,
DB0073,-122.16641,37.438755,20033,
DB0073,-122.165902,37.440374,20034,
DB0073,-122.165802,37.440763,20035,
DB0073,-122.165749,37.440805,20036,
DB0073,-122.165667,37.441069,20037,
DB0073,-122.165622,37.441181,20038,
DB0073,-122.165592,37.441243,20039,
DB0073,-122.165553,37.441317,20040,
DB0073,-122.165513,37.441396,20041,
DB0073,-122.165456,37.441503,20042,
DB0073,-122.165416,37.441573,20043,
DB0073,-122.16528,37.441811,20044,
DB0073,-122.165203,37.441941,20045,
DB0073,-122.165109,37.442109,20046,
DB0073,-122.165073,37.442179,20047,
DB0073,-122.165035,37.442247,20048,
DB0073,-122.164995,37.442317,20049,
DB0073,-122.164929,37.442264,20050,
DB0073,-122.164907,37.442251,20051,
DB0073,-122.164858,37.442234,20052,
DB0073,-122.164803,37.442227,20053,
DB0073,-122.164717,37.442222,20054,
DB0073,-122.164663,37.442236,20055,
DB0073,-122.164603,37.442257,20056,
DB0073,-122.164551,37.442294,20057,
DB0073,-122.164523,37.442322,20058,
DB0073,-122.164479,37.442381,20059,
DB0073,-122.164423,37.442474,20060,
DB0073,-122.164406,37.442506,20061,
DB0073,-122.164344,37.442635,20062,
DB0073,-122.16431,37.442732,20063,
DB0073,-122.1643,37.442771,20064,
DB0073,-122.164297,37.442813,20065,
DB0073,-122.164294,37.442845,20066,
DB0073,-122.164305,37.442886,20067,
DB0073,-122.16433,37.442926,20068,
DB0073,-122.164376,37.442969,20069,
DB0073,-122.164424,37.443004,20070,
DB0073,-122.164503,37.443053,20071,
DB0073,-122.164525,37.443068,20072,
DB0073,-122.164587,37.443098,20073,
DB0073,-122.164654,37.443109,20074,
DB0073,-122.164728,37.443109,20075,
DB0073,-122.164806,37.443097,20076,
DB0073,-122.164841,37.443088,20077,
DB0073,-122.164874,37.443076,20078,
DB0073,-122.164911,37.443057,20079,
DB0073,-122.164952,37.443031,20080,
DB0073,-122.165089,37.443126,20081,
DB0073,-122.165171,37.443184,20082,
DB0073,-122.165339,37.443294,20083,
DB0073,-122.165413,37.443331,20084,
DB0073,-122.165493,37.443369,20085,
DB0073,-122.1655239,37.443395,20086,
DB0073,-122.165812,37.443583,20087,
DB0073,-122.166257,37.443842,20088,
DB0073,-122.1663384,37.4438942,20089,
DB0073,-122.1663384,37.4438942,30001,
DB0073,-122.166572,37.444044,30002,
DB0073,-122.166722,37.444138,30003,
DB0073,-122.166823,37.444218,30004,
DB0073,-122.166851,37.444265,30005,
DB0073,-122.16686,37.444312,30006,
DB0073,-122.166848,37.444354,30007,
DB0073,-122.166823,37.444381,30008,
DB0073,-122.16679,37.444404,30009,
DB0073,-122.166753,37.444414,30010,
DB0073,-122.166715,37.444413,30011,
DB0073,-122.166678,37.444406,30012,
DB0073,-122.166646,37.444392,30013,
DB0073,-122.165868,37.443861,30014,
DB0073,-122.165812,37.443821,30015,
DB0073,-122.165772,37.443789,30016,
DB0073,-122.165661,37.443679,30017,
DB0073,-122.165563,37.443573,30018,
DB0073,-122.165471,37.443492,30019,
DB0073,-122.165374,37.443419,30020,
DB0073,-122.165339,37.443395,30021,
DB0073,-122.164841,37.443088,30022,
DB0073,-122.164806,37.443097,30023,
DB0073,-122.164728,37.443109,30024,
DB0073,-122.164654,37.443109,30025,
DB0073,-122.164587,37.443098,30026,
DB0073,-122.164525,37.443068,30027,
DB0073,-122.164503,37.443053,30028,
DB0073,-122.164424,37.443004,30029,
DB0073,-122.164376,37.442969,30030,
DB0073,-122.16433,37.442926,30031,
DB0073,-122.164305,37.442886,30032,
DB0073,-122.164294,37.442845,30033,
DB0073,-122.164297,37.442813,30034,
DB0073,-122.1643,37.442771,30035,
DB0073,-122.16431,37.442732,30036,
DB0073,-122.164344,37.442635,30037,
DB0073,-122.164406,37.442506,30038,
DB0073,-122.164423,37.442474,30039,
DB0073,-122.164479,37.442381,30040,
DB0073,-122.164523,37.442322,30041,
DB0073,-122.164551,37.442294,30042,
DB0073,-122.164603,37.442257,30043,
DB0073,-122.164663,37.442236,30044,
DB0073,-122.164717,37.442222,30045,
DB0073,-122.164803,37.442227,30046,
DB0073,-122.164858,37.442234,30047,
DB0073,-122.164907,37.442251,30048,
DB0073,-122.164929,37.442264,30049,
DB0073,-122.164995,37.442317,30050,
DB0073,-122.16497,37.442356,30051,
DB0073,-122.164868,37.442495,30052,
DB0073,-122.1648384,37.4425307,30053,
DB0073,-122.164712,37.442683,30054,
DB0073,-122.164503,37.442921,30055,
DB0073,-122.164424,37.443004,30056,
DB0073,-122.164344,37.443081,30057,
DB0073,-122.164271,37.443156,30058,
DB0073,-122.164146,37.443288,30059,
DB0073,-122.164065,37.443365,30060,
DB0073,-122.164024,37.443406,30061,
DB0073,-122.163985,37.443447,30062,
DB0073,-122.163934,37.443499,30063,
DB0073,-122.163867,37.443544,30064,
DB0073,-122.163821,37.443563,30065,
DB0073,-122.163776,37.44357,30066,
DB0073,-122.163733,37.44356,30067,
DB0073,-122.163701,37.44354,30068,
