trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"133735","12:53:00","12:53:00","55303","1",,"0","0",,1
"133735",,,58409,2,,"0","0",,0
"133735",,,58154,3,,"0","0",,0
"133735",,,50771,4,,"0","0",,0
"133735",,,51519,5,,"0","0",,0
"133735",,,55305,6,,"0","0",,0
"133735",,,58496,7,,"0","0",,0
"133735","13:00:00","13:00:00","56544","8",,"0","0",,1
"133735",,,50772,9,,"0","0",,0
"133735",,,58776,10,,"0","0",,0
"133735",,,55021,11,,"0","0",,0
"133735",,,51446,12,,"0","0",,0
"133735",,,55836,13,,"0","0",,0
"133735",,,55315,14,,"0","0",,0
"133735",,,52259,15,,"0","0",,0
"133735",,,55032,16,,"0","0",,0
"133735",,,55839,17,,"0","0",,0
"133735","13:06:00","13:06:00","58493","18",,"0","0",,1
"133735",,,57675,19,,"0","0",,0
"133735",,,54299,20,,"0","0",,0
"133735",,,58299,21,,"0","0",,0
"133735","13:34:00","13:34:00","51397","22",,"0","0",,1
"133735",,,51313,23,,"0","0",,0
"133735",,,54232,24,,"0","0",,0
"133735",,,50501,25,,"0","0",,0
"133735",,,56250,26,,"0","0",,0
"133735",,,54720,27,,"0","0",,0
"133735",,,57708,28,,"0","0",,0
"133735",,,56762,29,,"0","0",,0
"133735",,,57718,30,,"0","0",,0
"133735","13:47:00","13:47:00","50782","31",,"1","0",,1
"133737","13:45:00","13:45:00","55303","1",,"0","0",,1
"133737",,,58409,2,,"0","0",,0
"133737",,,58154,3,,"0","0",,0
"133737",,,50771,4,,"0","0",,0
"133737",,,51519,5,,"0","0",,0
"133737",,,55305,6,,"0","0",,0
"133737",,,58496,7,,"0","0",,0
"133737","13:52:00","13:52:00","56544","8",,"0","0",,1
"133737",,,50772,9,,"0","0",,0
"133737",,,58776,10,,"0","0",,0
"133737",,,55021,11,,"0","0",,0
"133737",,,51446,12,,"0","0",,0
"133737",,,55836,13,,"0","0",,0
"133737",,,55315,14,,"0","0",,0
"133737",,,52259,15,,"0","0",,0
"133737",,,55032,16,,"0","0",,0
"133737",,,55839,17,,"0","0",,0
"133737","13:58:00","13:58:00","58493","18",,"0","0",,1
"133737",,,57675,19,,"0","0",,0
"133737",,,54299,20,,"0","0",,0
"133737",,,58299,21,,"0","0",,0
"133737","14:26:00","14:26:00","51397","22",,"0","0",,1
"133737",,,51313,23,,"0","0",,0
"133737",,,54232,24,,"0","0",,0
"133737",,,50501,25,,"0","0",,0
"133737",,,56250,26,,"0","0",,0
"133737",,,54720,27,,"0","0",,0
"133737",,,57708,28,,"0","0",,0
"133737",,,56762,29,,"0","0",,0
"133737",,,57718,30,,"0","0",,0
"133737","14:39:00","14:39:00","50782","31",,"1","0",,1
"133715","14:40:00","14:40:00","55303","1",,"0","0",,1
"133715",,,58409,2,,"0","0",,0
"133715",,,58154,3,,"0","0",,0
"133715",,,50771,4,,"0","0",,0
"133715",,,51519,5,,"0","0",,0
"133715",,,55305,6,,"0","0",,0
"133715",,,58496,7,,"0","0",,0
"133715","14:48:00","14:48:00","56544","8",,"0","0",,1
"133715",,,50772,9,,"0","0",,0
"133715",,,58776,10,,"0","0",,0
"133715",,,55021,11,,"0","0",,0
"133715",,,51446,12,,"0","0",,0
"133715",,,55836,13,,"0","0",,0
"133715",,,55315,14,,"0","0",,0
"133715",,,52259,15,,"0","0",,0
"133715",,,55032,16,,"0","0",,0
"133715",,,55839,17,,"0","0",,0
"133715","14:54:00","14:54:00","58493","18",,"0","0",,1
"133715",,,57675,19,,"0","0",,0
"133715",,,54299,20,,"0","0",,0
"133715",,,58299,21,,"0","0",,0
"133715","15:22:00","15:22:00","51397","22",,"0","0",,1
"133715",,,51313,23,,"0","0",,0
"133715",,,54232,24,,"0","0",,0
"133715",,,50501,25,,"0","0",,0
"133715",,,56250,26,,"0","0",,0
"133715",,,54720,27,,"0","0",,0
"133715",,,57708,28,,"0","0",,0
"133715",,,56762,29,,"0","0",,0
"133715",,,57718,30,,"0","0",,0
"133715","15:39:00","15:39:00","50782","31",,"1","0",,1
"133716","15:00:00","15:00:00","55303","1",,"0","0",,1
"133716",,,58409,2,,"0","0",,0
"133716",,,58154,3,,"0","0",,0
"133716",,,50771,4,,"0","0",,0
"133716",,,51519,5,,"0","0",,0
"133716",,,55305,6,,"0","0",,0
"133716",,,58496,7,,"0","0",,0
"133716","15:08:00","15:08:00","56544","8",,"0","0",,1
"133716",,,50772,9,,"0","0",,0
"133716",,,58776,10,,"0","0",,0
"133716",,,55021,11,,"0","0",,0
"133716",,,51446,12,,"0","0",,0
"133716",,,55836,13,,"0","0",,0
"133716",,,55315,14,,"0","0",,0
"133716",,,52259,15,,"0","0",,0
"133716",,,55032,16,,"0","0",,0
"133716",,,55839,17,,"0","0",,0
"133716","15:14:00","15:14:00","58493","18",,"0","0",,1
"133716",,,57675,19,,"0","0",,0
"133716",,,54299,20,,"0","0",,0
"133716",,,58299,21,,"0","0",,0
"133716","15:42:00","15:42:00","51397","22",,"0","0",,1
"133716",,,51313,23,,"0","0",,0
"133716",,,54232,24,,"0","0",,0
"133716",,,50501,25,,"0","0",,0
"133716",,,56250,26,,"0","0",,0
"133716",,,54720,27,,"0","0",,0
"133716",,,57708,28,,"0","0",,0
"133716",,,56762,29,,"0","0",,0
"133716",,,57718,30,,"0","0",,0
"133716","15:59:00","15:59:00","50782","31",,"1","0",,1
"05575","15:20:00","15:20:00","55303","1",,"0","0",,1
"05575",,,58409,2,,"0","0",,0
"05575",,,58154,3,,"0","0",,0
"05575",,,50771,4,,"0","0",,0
"05575",,,51519,5,,"0","0",,0
"05575",,,55305,6,,"0","0",,0
"05575",,,58496,7,,"0","0",,0
"05575","15:28:00","15:28:00","56544","8",,"0","0",,1
"05575",,,50772,9,,"0","0",,0
"05575",,,58776,10,,"0","0",,0
"05575",,,55021,11,,"0","0",,0
"05575",,,51446,12,,"0","0",,0
"05575",,,55836,13,,"0","0",,0
"05575",,,55315,14,,"0","0",,0
"05575",,,52259,15,,"0","0",,0
"05575",,,55032,16,,"0","0",,0
"05575",,,55839,17,,"0","0",,0
"05575","15:34:00","15:34:00","58493","18",,"0","0",,1
"05575",,,57675,19,,"0","0",,0
"05575",,,54299,20,,"0","0",,0
"05575",,,58299,21,,"0","0",,0
