route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
DB1,72781,133735,Eastbound,0,823545,DB10037,,,
DB1,72781,133737,Eastbound,0,823546,DB10037,,,
DB1,72781,133715,Eastbound,0,823527,DB10037,,,
DB1,72781,133716,Eastbound,0,823528,DB10037,,,
DB1,72781,05575,Eastbound,0,823530,DB10037,,,
DB1,72781,05576,Eastbound,0,823542,DB10037,,,
DB1,72781,133717,Eastbound,0,823540,DB10037,,,
DB1,72781,05577,Eastbound,0,823543,DB10037,,,
DB1,72781,05578,Eastbound,0,823541,DB10037,,,
DB1,72781,05579,Eastbound,0,823527,DB10037,,,
DB1,72781,133719,Eastbound,0,823528,DB10037,,,
DB1,72781,05580,Eastbound,0,823530,DB10037,,,
DB1,72781,133720,Eastbound,0,823542,DB10037,,,
DB1,72781,133721,Eastbound,0,823540,DB10037,,,
DB1,72781,05581,Eastbound,0,823543,DB10037,,,
DB1,72781,133722,Eastbound,0,823541,DB10037,,,
DB1,72781,133723,Eastbound,0,823527,DB10037,,,
DB1,72781,133724,Eastbound,0,823528,DB10037,,,
DB1,72781,133708,Eastbound,0,823532,DB10036,,,
DB1,72781,133709,Eastbound,0,823533,DB10036,,,
DB1,72781,133710,Eastbound,0,823534,DB10036,,,
DB1,72781,133711,Eastbound,0,823536,DB10036,,,
DB1,72781,133712,Eastbound,0,823538,DB10036,,,
DB1,72781,00000001,Eastbound,0,823531,DB10036,,,
DB1,72781,133714,Eastbound,0,823533,DB10036,,,
DB1,72781,133729,Eastbound,0,823536,DB10036,,,
DB1,72781,133731,Eastbound,0,823531,DB10036,,,
DB1,72781,133733,Eastbound,0,823537,DB10036,,,
DB1,72781,05582,Westbound,1,823532,DB10039,,,
DB1,72781,133690,Westbound,1,823533,DB10039,,,
DB1,72781,05583,Westbound,1,823534,DB10039,,,
DB1,72781,05584,Westbound,1,823536,DB10039,,,
DB1,72781,05585,Westbound,1,823538,DB10039,,,
DB1,72781,00000004,Westbound,1,823531,DB10039,,,
DB1,72781,05586,Westbound,1,823533,DB10039,,,
DB1,72781,133693,Westbound,1,823534,DB10039,,,
DB1,72781,133694,Westbound,1,823536,DB10039,,,
DB1,72781,133695,Westbound,1,823537,DB10039,,,
DB1,72781,133730,Westbound,1,823531,DB10039,,,
DB1,72781,133732,Westbound,1,823537,DB10039,,,
DB1,72781,133734,Westbound,1,823545,DB10038,,,
DB1,72781,133736,Westbound,1,823546,DB10038,,,
