stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
2,817564,"Carpenter Rd & Ohara Ave",37.975943,-121.714371,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=2"
3,817572,"Brown Rd & Neroly Rd",37.969541,-121.721665,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=3"
4,817586,"Neroly Rd & Brown Rd",37.968965,-121.720050,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=4"
5,817555,"Ohara Ave & Atherton Blvd",37.966732,-121.714266,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=5"
6,817540,"Lone Tree Wy & Giannini Rnch",37.961801,-121.729459,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=6"
7,818787,"Lone Tree Wy & Empire Ave",37.961776,-121.733348,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=7"
8,817529,"Lone Tree Wy & Slatten Ranch Rd",37.961810,-121.737865,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=8"
9,817517,"Lone Tree Wy & Hwy 4",37.961827,-121.745516,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=9"
10,817501,"Lone Tree Wy & Canada Valley Rd",37.961860,-121.748546,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=10"
11,817490,"Lone Tree Wy & Vista Grande Dr",37.961874,-121.755946,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=11"
12,817488,"Lone Tree Wy & Hillcrest Ave",37.961863,-121.761474,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=12"
13,817474,"Lone Tree Wy & Prewett Prk",37.964789,-121.775868,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=13"
14,817461,"Deer Valley Rd & Lone Tree Wy",37.966433,-121.779861,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=14"
15,817457,"Deer Valley Rd & Country Hills Dr",37.971582,-121.782515,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=15"
16,817593,"Ohara Ave & Covered Wagon Dr",37.989549,-121.713867,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=16"
17,817636,"West Cypress Rd & Ohara Ave",37.990469,-121.713567,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=17"
18,817615,"West Cypress Rd & Rose Ave",37.990535,-121.704637,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=18"
19,817658,"West Cypress Rd & Alder Dr",37.990606,-121.725901,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=19"
20,817662,"West Cypress Rd & Lorenzetti Dr",37.990606,-121.722126,"http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=20"
