route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"383",1,1,"Loop Hillcrest Park & Ride",1,144,16
"381",1,2,"Westbound Pittsburg Marina",1,182,87
"381",1,3,"Westbound Pittsburg Marina",1,183,87
"381",1,4,"Westbound Pittsburg Marina",1,182,87
"381",1,5,"Westbound Pittsburg Marina",1,183,87
"381",1,6,"Westbound Pittsburg Marina",1,182,87
"381",1,7,"Westbound Pittsburg Marina",1,183,87
"381",1,8,"Westbound Pittsburg Marina",1,182,87
"300",1,9,"Eastbound Brentwood Park & Ride",0,177,1
"381",1,10,"Westbound Pittsburg Marina",1,183,87
"381",1,11,"Westbound Pittsburg Marina",1,182,87
"381",1,12,"Westbound Pittsburg Marina",1,183,87
"381",1,13,"Westbound Pittsburg Marina",1,182,87
"381",1,14,"Westbound Pittsburg Marina",1,183,87
"381",1,15,"Westbound Pittsburg Marina",1,182,87
"381",1,16,"Westbound Pittsburg Marina",1,183,87
"381",1,17,"Westbound Pittsburg Marina",1,182,87
"381",1,18,"Westbound Pittsburg Marina",1,183,87
"381",1,19,"Westbound Pittsburg Marina",1,182,87
"381",1,20,"Westbound Pittsburg Marina",1,183,87
"381",1,21,"Westbound Pittsburg Marina",1,182,87
"381",1,22,"Westbound Pittsburg Marina",1,183,87
"381",1,23,"Westbound Pittsburg Marina",1,182,87
"381",1,24,"Westbound Pittsburg Marina",1,183,87
"381",1,25,"Eastbound Los Medanos College",0,183,86
"381",1,26,"Eastbound Los Medanos College",0,182,86
"381",1,27,"Eastbound Los Medanos College",0,183,86
"381",1,28,"Eastbound Los Medanos College",0,182,86
"381",1,29,"Eastbound Los Medanos College",0,183,86
"381",1,30,"Eastbound Los Medanos College",0,182,86
"381",1,31,"Eastbound Los Medanos College",0,183,86
"381",1,32,"Eastbound Los Medanos College",0,182,86
"381",1,33,"Eastbound Los Medanos College",0,183,86
"381",1,34,"Eastbound Los Medanos College",0,182,86
"381",1,35,"Eastbound Los Medanos College",0,183,86
"381",1,36,"Eastbound Los Medanos College",0,182,86
"381",1,37,"Eastbound Los Medanos College",0,183,86
"381",1,38,"Eastbound Los Medanos College",0,182,86
"381",1,39,"Eastbound Los Medanos College",0,183,86
"381",1,40,"Eastbound Los Medanos College",0,182,86
"381",1,41,"Eastbound Los Medanos College",0,183,86
"381",1,42,"Eastbound Los Medanos College",0,182,86
"381",1,43,"Eastbound Los Medanos College",0,183,86
"381",1,44,"Eastbound Los Medanos College",0,182,86
"381",1,45,"Eastbound Los Medanos College",0,183,86
"381",1,46,"Eastbound Los Medanos College",0,182,86
"389",1,47,"Loop Pittsburg BART",0,117,3
"380",1,48,"Westbound Pittsburg BART",1,120,12
"390",1,49,"Westbound Pittsburg BART",1,117,6
"392",3,188,"Westbound Pittsburg BART",1,302,37
"392",3,190,"Westbound Pittsburg BART",1,305,37
"392",3,191,"Westbound Pittsburg BART",1,300,37
"392",3,193,"Westbound Pittsburg BART",1,311,37
"392",3,194,"Westbound Pittsburg BART",1,310,37
"392",3,195,"Westbound Pittsburg BART",1,302,37
"392",3,197,"Westbound Pittsburg BART",1,310,37
"392",3,206,"Eastbound Hillcrest Park & Ride",0,311,38
"392",3,207,"Eastbound Hillcrest Park & Ride",0,310,38
"392",3,208,"Eastbound Hillcrest Park & Ride",0,302,38
"392",3,209,"Eastbound Hillcrest Park & Ride",0,307,38
"392",3,210,"Eastbound Hillcrest Park & Ride",0,305,38
"392",3,211,"Eastbound Hillcrest Park & Ride",0,311,38
"392",3,212,"Eastbound Hillcrest Park & Ride",0,310,38
"392",3,213,"Eastbound Hillcrest Park & Ride",0,302,38
"392",3,214,"Eastbound Hillcrest Park & Ride",0,310,38
"392",3,217,"Westbound Pittsburg BART",1,307,37
"392",3,221,"Eastbound Hillcrest Park & Ride",0,302,38
"392",3,222,"Westbound Pittsburg BART",1,310,37
"380",1,225,"Westbound Pittsburg BART",1,124,12
"385",1,232,"Eastbound Brentwood Park & Ride",0,159,5
"395",2,294,"Loop Hillcrest Park & Ride",0,212,75
"395",2,296,"Loop Hillcrest Park & Ride",0,212,75
"395",2,300,"Loop Hillcrest Park & Ride",0,206,75
"395",2,301,"Loop Hillcrest Park & Ride",0,200,75
"386",1,304,"Loop Brentwood Park & Ride",0,159,18
"394",2,678,"Westbound Pittsburg BART",1,207,39
"394",2,679,"Westbound Pittsburg BART",1,207,39
"394",2,680,"Westbound Pittsburg BART",1,210,39
"394",2,681,"Westbound Pittsburg BART",1,206,39
"394",2,682,"Westbound Pittsburg BART",1,211,39
"394",2,683,"Westbound Pittsburg BART",1,207,39
