agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
78,418,40.00,USD,0,0,
78,404,22.00,USD,0,0,
78,1222,36.50,USD,0,0,
78,380,7.25,USD,0,0,
78,1235,8.25,USD,0,0,
78,414,34.00,USD,0,0,
78,423,18.00,USD,0,0,
78,406,25.00,USD,0,0,
78,434,24.00,USD,0,0,
78,371,5.50,USD,0,0,
78,419,7.00,USD,0,0,
78,438,13.00,USD,0,0,
78,1228,22.50,USD,0,0,
78,1230,9.75,USD,0,0,
78,416,36.00,USD,0,0,
78,405,23.00,USD,0,0,
78,1223,39.00,USD,0,0,
78,381,7.50,USD,0,0,
78,401,19.00,USD,0,0,
78,424,17.00,USD,0,0,
78,422,24.00,USD,0,0,
78,1226,28.50,USD,0,0,
78,408,27.00,USD,0,0,
78,427,58.00,USD,0,0,
78,1224,33.50,USD,0,0,
78,413,32.00,USD,0,0,
78,1237,15.50,USD,0,0,
78,387,9.50,USD,0,0,
78,374,6.00,USD,0,0,
78,574,0.00,USD,0,0,
78,395,12.50,USD,0,0,
78,1243,44.00,USD,0,0,
78,443,1.50,USD,0,0,
78,398,14.00,USD,0,0,
78,426,59.00,USD,0,0,
78,410,29.00,USD,0,0,
78,430,50.00,USD,0,0,
78,439,43.00,USD,0,0,
78,392,11.00,USD,0,0,
78,412,31.00,USD,0,0,
78,390,10.50,USD,0,0,
78,363,3.00,USD,0,0,
78,365,3.75,USD,0,0,
78,1236,10.75,USD,0,0,
78,1241,14.25,USD,0,0,
78,399,15.00,USD,0,0,
78,435,17.00,USD,0,0,
78,393,11.50,USD,0,0,
78,417,37.00,USD,0,0,
78,409,28.00,USD,0,0,
78,1233,57.00,USD,0,0,
78,376,6.50,USD,0,0,
78,407,26.00,USD,0,0,
78,389,10.00,USD,0,0,
78,441,20.00,USD,0,0,
78,1225,30.50,USD,0,0,
78,440,41.00,USD,0,0,
78,1242,2.50,USD,0,0,
78,411,30.00,USD,0,0,
78,1229,13.50,USD,0,0,
78,400,16.00,USD,0,0,
78,428,56.00,USD,0,0,
78,442,33.00,USD,0,0,
78,362,2.75,USD,0,0,
78,432,46.00,USD,0,0,
78,367,4.50,USD,0,0,
78,1227,17.50,USD,0,0,
78,1231,10.25,USD,0,0,
78,1234,7.70,USD,0,0,
78,1239,11.75,USD,0,0,
78,364,3.50,USD,0,0,
78,369,5.00,USD,0,0,
78,378,7.00,USD,0,0,
78,429,53.00,USD,0,0,
78,1238,11.25,USD,0,0,
78,366,4.00,USD,0,0,
78,431,47.00,USD,0,0,
78,1232,12.75,USD,0,0,
78,373,5.75,USD,0,0,
78,382,8.00,USD,0,0,
78,394,12.00,USD,0,0,
78,386,9.00,USD,0,0,
78,1240,18.50,USD,0,0,
78,356,2.00,USD,0,0,
78,403,21.00,USD,0,0,
