fare_id,route_id,origin_id,destination_id,contains_id
427,561,260,295,
398,561,254,273,
364,562,259,260,
380,562,261,257,
1224,562,264,255,
373,561,261,258,
407,561,260,273,
363,567,281,280,
387,561,254,272,
365,562,258,257,
395,562,262,263,
365,564,257,258,
440,561,258,278,
1239,562,255,261,
366,561,256,257,
364,561,261,260,
369,562,261,259,
1239,561,261,255,
1235,561,258,255,
438,566,272,277,
1241,561,261,254,
1228,562,292,255,
409,562,256,297,
407,562,263,257,
363,563,254,255,
400,562,262,255,
367,562,260,258,
367,562,255,257,
1229,562,254,260,
408,562,260,265,
364,564,259,258,
403,561,259,272,
414,561,258,277,
376,566,277,273,
1230,561,259,256,
1230,562,256,259,
1234,561,258,256,
1225,562,255,263,
417,561,257,278,
1230,562,259,256,
1230,561,256,259,
1234,562,258,256,
1233,561,295,259,
387,562,262,258,
400,562,297,261,
442,562,263,254,
367,561,294,272,
363,567,280,281,
367,561,255,257,
1229,561,254,260,
367,561,260,258,
394,562,261,292,
401,566,272,278,
364,562,260,261,
366,561,257,256,
413,562,265,257,
1242,561,273,274,
376,561,260,257,
356,562,265,264,
417,561,295,294,
438,566,277,272,
401,562,261,263,
369,562,297,264,
376,561,278,277,
401,561,278,272,
363,562,255,254,
363,565,270,269,
434,561,277,254,
363,561,255,254,
381,761,296,254,
386,561,273,294,
406,562,260,264,
405,562,263,259,
434,561,258,274,
422,561,294,278,
401,561,274,255,
367,563,257,255,
412,562,254,297,
409,562,258,264,
407,561,274,259,
400,562,261,297,
366,562,257,256,
412,562,265,258,
376,563,267,254,
364,561,260,261,
376,562,260,257,
1238,562,261,256,
398,561,272,256,
364,562,258,259,
390,561,260,256,
376,566,277,278,
1227,562,292,258,
423,561,273,256,
423,561,294,260,
423,561,296,261,
381,761,254,296,
410,562,259,265,
1237,562,262,256,
401,561,254,275,
407,561,296,278,
423,562,292,265,
401,561,275,254,
416,562,256,265,
363,565,269,270,
439,561,278,259,
403,562,260,263,
362,563,267,256,
381,562,297,265,
414,561,277,258,
394,561,257,294,
574,764,,,
390,562,260,256,
434,561,274,258,
371,567,280,282,
394,561,294,257,
1238,561,261,256,
429,561,295,257,
364,561,258,259,
412,561,254,278,
378,563,254,257,
369,565,257,270,
407,561,259,274,
398,561,256,272,
374,566,274,277,
356,563,256,255,
405,561,258,273,
366,562,262,261,
1226,562,255,297,
367,561,272,294,
390,561,273,296,
364,561,259,258,
409,562,264,258,
381,562,265,297,
406,561,259,273,
362,561,273,275,
574,769,,,
401,561,277,295,
374,566,272,274,
366,563,254,256,
400,562,264,262,
1236,566,278,274,
364,562,259,258,
574,565,270,270,
428,561,295,258,
1233,561,259,295,
367,564,260,258,
362,563,256,267,
399,561,254,274,
369,562,265,263,
429,561,257,295,
404,561,256,275,
401,561,295,277,
424,561,259,294,
356,562,255,256,
417,561,294,295,
386,561,294,256,
422,562,297,257,
373,564,261,258,
406,562,263,258,
380,562,262,260,
369,564,261,259,
423,562,257,292,
434,561,278,294,
574,565,269,269,
365,564,258,257,
365,562,257,258,
441,561,257,273,
417,561,277,260,
409,561,261,274,
365,561,257,258,
1227,562,258,292,
374,566,274,272,
1223,562,254,265,
387,562,258,262,
439,561,278,260,
364,564,261,260,
382,561,296,256,
407,561,273,260,
404,562,261,264,
364,564,259,260,
380,564,261,257,
356,561,255,256,
387,561,272,254,
398,562,260,292,
434,561,254,277,
378,562,262,292,
371,561,273,272,
367,565,271,257,
407,562,257,263,
438,561,273,278,
1242,566,274,273,
374,562,292,297,
411,561,275,260,
442,562,256,264,
428,561,258,295,
412,561,261,275,
1236,561,274,278,
1234,561,256,258,
423,562,292,257,
400,562,262,264,
442,562,254,263,
404,561,275,256,
431,561,295,255,
439,561,260,278,
386,561,278,275,
395,562,263,262,
382,561,256,296,
434,561,295,273,
382,561,255,294,
364,562,263,297,
1243,561,278,261,
403,561,272,259,
376,561,273,277,
438,561,255,272,
366,563,256,254,
426,561,295,261,
417,561,261,277,
1234,562,256,258,
364,564,258,259,
412,561,257,277,
376,564,260,257,
405,562,258,297,
1243,561,261,278,
374,565,269,257,
378,562,292,262,
381,561,294,254,
371,567,282,280,
404,562,297,259,
404,561,261,272,
1231,561,259,255,
435,561,295,278,
574,565,271,271,
442,561,278,256,
1231,562,259,255,
376,563,254,267,
381,561,254,294,
442,562,264,256,
363,563,255,267,
408,561,260,274,
419,562,257,254,
406,562,258,263,
386,561,256,294,
403,561,275,255,
405,562,259,263,
401,562,262,265,
408,562,265,260,
364,564,260,261,
374,566,277,274,
1226,562,297,255,
393,562,262,297,
369,561,259,261,
369,565,270,257,
367,563,255,257,
1240,562,262,254,
369,561,277,275,
390,561,296,273,
363,562,254,255,
374,561,274,272,
423,561,261,296,
369,562,264,297,
441,561,273,257,
371,566,273,272,
574,766,,,
1222,562,255,265,
412,561,278,254,
389,561,294,274,
574,767,,,
410,562,264,257,
394,562,292,261,
416,562,264,254,
363,563,267,255,
408,562,264,259,
363,561,254,255,
364,562,297,263,
401,562,265,262,
369,562,259,261,
404,561,272,261,
441,561,274,256,
374,561,272,274,
1228,562,255,292,
430,561,256,295,
398,561,296,258,
1240,562,254,262,
400,561,296,259,
390,562,256,260,
1236,561,278,274,
443,561,275,274,
378,561,255,296,
403,561,274,257,
409,561,275,258,
366,563,256,257,
367,564,258,260,
1229,561,260,254,
373,564,259,257,
374,561,274,277,
362,561,275,273,
401,561,277,294,
1224,562,255,264,
1229,562,260,254,
382,562,259,262,
401,561,272,258,
438,561,272,255,
412,562,258,265,
410,561,259,275,
406,562,264,260,
390,561,256,260,
408,562,259,264,
401,561,258,272,
407,561,278,296,
407,561,256,277,
1241,561,254,261,
424,562,292,259,
401,561,294,261,
363,562,263,264,
435,561,294,259,
380,562,257,261,
364,562,260,259,
382,562,292,263,
378,561,254,257,
382,562,262,259,
432,561,254,295,
406,562,261,265,
376,561,257,260,
398,561,296,275,
400,561,259,296,
374,561,277,274,
400,562,255,262,
439,561,259,278,
374,561,272,296,
369,567,282,281,
411,562,263,256,
373,564,258,261,
392,561,296,257,
376,562,257,260,
417,561,260,277,
574,768,,,
401,562,297,260,
418,561,296,295,
378,561,257,254,
409,562,297,256,
404,562,256,292,
378,562,254,257,
364,561,260,259,
380,561,257,261,
417,561,278,257,
1241,562,254,261,
409,561,274,261,
403,561,277,296,
424,562,259,292,
404,562,292,256,
412,562,297,254,
376,566,273,277,
423,561,260,294,
406,561,273,259,
398,561,275,296,
1236,562,254,258,
363,563,255,254,
416,561,259,277,
1238,561,256,261,
416,562,254,264,
399,561,257,272,
399,561,294,258,
408,561,274,260,
435,561,260,296,
367,561,257,255,
401,562,260,297,
1242,561,274,273,
410,561,275,259,
367,562,257,255,
435,561,273,255,
438,566,273,278,
1223,562,265,254,
405,562,297,258,
1238,562,256,261,
1236,566,274,278,
381,561,275,272,
1236,561,254,258,
410,562,257,264,
392,561,257,296,
417,561,277,261,
364,563,267,257,
394,561,274,296,
366,563,257,256,
426,561,261,295,
431,561,255,295,
373,564,257,259,
422,561,257,275,
435,561,278,295,
422,561,275,257,
407,561,273,261,
356,563,255,256,
389,561,274,294,
574,763,,,
382,561,294,255,
394,561,294,275,
367,565,271,269,
1222,562,265,255,
394,561,275,294,
422,562,257,297,
374,562,297,292,
435,561,255,273,
413,561,255,278,
376,561,296,254,
412,561,275,261,
373,562,259,257,
404,562,259,297,
367,561,258,260,
401,561,272,278,
403,562,263,260,
434,561,273,295,
423,561,256,273,
367,562,258,260,
373,561,259,257,
401,561,255,274,
418,561,295,296,
367,565,271,270,
409,561,258,275,
366,561,294,296,
430,561,295,256,
413,562,257,265,
404,562,264,261,
376,561,277,273,
1225,562,263,255,
407,561,261,273,
405,561,273,258,
380,562,260,262,
393,562,292,264,
369,564,259,261,
406,561,255,277,
413,561,278,255,
438,566,278,273,
369,562,263,265,
1232,562,254,259,
356,562,256,255,
393,562,264,292,
403,561,260,272,
371,561,272,273,
392,561,260,255,
366,561,254,256,
374,565,257,269,
403,561,255,275,
403,561,296,277,
438,561,272,277,
406,562,254,292,
366,561,296,294,
413,561,272,295,
392,562,260,255,
443,561,274,275,
366,562,254,256,
1232,561,254,259,
367,565,257,271,
432,561,295,254,
403,561,257,274,
376,561,254,296,
356,561,256,255,
404,561,274,295,
398,561,258,296,
398,561,273,254,
386,561,275,278,
367,565,269,271,
363,562,264,263,
423,562,265,292,
381,561,272,275,
406,562,292,254,
373,562,257,259,
364,563,257,267,
394,561,296,274,
404,561,295,274,
1236,562,258,254,
411,561,260,275,
416,561,277,259,
382,562,263,292,
406,562,265,261,
419,563,257,254,
399,561,258,294,
442,561,256,278,
376,561,277,278,
1236,561,258,254,
374,561,296,272,
393,562,257,262,
441,561,256,274,
401,561,294,277,
373,561,257,259,
440,561,278,258,
398,562,292,260,
399,561,272,257,
413,561,295,272,
366,561,256,254,
401,562,263,261,
411,562,256,263,
393,562,262,257,
373,562,258,261,
376,564,257,260,
574,565,257,257,
392,562,255,260,
427,561,295,260,
369,561,275,277,
1232,561,259,254,
369,567,281,282,
424,561,296,260,
419,561,296,255,
1235,562,255,258,
367,565,270,271,
393,562,297,262,
1231,562,255,259,
1232,562,259,254,
1231,561,255,259,
1235,561,255,258,
1242,566,273,274,
373,561,258,261,
386,561,294,273,
438,561,277,272,
574,765,,,
392,561,255,260,
401,566,278,272,
356,562,264,265,
407,561,277,256,
366,562,261,262,
380,564,257,261,
364,564,260,259,
376,566,278,277,
366,562,256,254,
416,562,265,256,
410,562,265,259,
1241,562,261,254,
1235,562,258,255,
401,561,261,294,
1237,562,256,262,
1239,562,261,255,
366,562,256,257,
369,561,261,259,
364,562,261,260,
412,561,277,257,
1239,561,255,261,
365,561,258,257,
438,561,278,273,
399,561,274,254,
373,562,261,258,
403,561,272,260,
406,561,277,255,
380,561,261,257,
364,561,259,260,
371,566,272,273,
