trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_146778_b_2645_tn_0,07:50:00,07:50:00,20329,1,,0,1,0,0,0,,
t_146778_b_2645_tn_0,08:05:00,08:05:00,20263,2,,0,0,24428.8929952118,0,0,,
t_146778_b_2645_tn_0,08:10:00,08:10:00,20262,3,,2,3,31643.9768846241,0,0,,
t_146778_b_2645_tn_0,08:40:00,08:40:00,20260,4,,1,0,70596.39512807,0,0,,
t_146779_b_2645_tn_0,14:05:00,14:05:00,20329,1,,0,1,0,0,0,,
t_146779_b_2645_tn_0,14:20:00,14:20:00,20263,2,,0,0,24428.8929952118,0,0,,
t_146779_b_2645_tn_0,14:25:00,14:25:00,20262,3,,2,3,31643.9768846241,0,0,,
t_146779_b_2645_tn_0,14:55:00,14:55:00,20260,4,,1,0,70596.39512807,0,0,,
t_146780_b_2645_tn_0,19:00:00,19:00:00,20329,1,,0,1,0,0,0,,
t_146780_b_2645_tn_0,19:15:00,19:15:00,20263,2,,0,0,24428.8929952118,0,0,,
t_146780_b_2645_tn_0,19:20:00,19:20:00,20262,3,,2,3,31643.9768846241,0,0,,
t_146780_b_2645_tn_0,19:50:00,19:50:00,20260,4,,1,0,70596.39512807,0,0,,
t_146781_b_2645_tn_0,06:50:00,06:50:00,20260,1,,0,1,0,0,0,,
t_146781_b_2645_tn_0,07:20:00,07:20:00,20262,2,,2,3,38776.3843705545,0,0,,
t_146781_b_2645_tn_0,07:25:00,07:25:00,20263,3,,0,0,46078.432084554,0,0,,
t_146781_b_2645_tn_0,07:40:00,07:40:00,20329,4,,1,0,70655.76605937,0,0,,
t_146782_b_2645_tn_0,18:10:00,18:10:00,20260,1,,0,1,0,0,0,,
t_146782_b_2645_tn_0,18:40:00,18:40:00,20262,2,,2,3,38776.3843705545,0,0,,
t_146782_b_2645_tn_0,18:45:00,18:45:00,20263,3,,0,0,46078.432084554,0,0,,
t_146782_b_2645_tn_0,19:00:00,19:00:00,20329,4,,1,0,70655.76605937,0,0,,
t_146783_b_2645_tn_0,13:00:00,13:00:00,20260,1,,0,1,0,0,0,,
t_146783_b_2645_tn_0,13:30:00,13:30:00,20262,2,,2,3,38776.3843705545,0,0,,
t_146783_b_2645_tn_0,13:35:00,13:35:00,20263,3,,0,0,46078.432084554,0,0,,
t_146783_b_2645_tn_0,13:50:00,13:50:00,20329,4,,1,0,70655.76605937,0,0,,
t_146793_b_2645_tn_0,06:15:00,06:15:00,20255,1,,0,1,0,0,0,,
t_146793_b_2645_tn_0,06:30:00,06:30:00,20256,2,,0,0,25690.0572696485,0,0,,
t_146793_b_2645_tn_0,06:45:00,06:45:00,20501,3,,0,0,47849.1072229567,0,0,,
t_146793_b_2645_tn_0,07:00:00,07:00:00,20504,4,,0,0,70641.3574180928,0,0,,
t_146793_b_2645_tn_0,07:02:00,07:02:00,20258,5,,0,0,72033.4476660982,0,0,,
t_146793_b_2645_tn_0,07:05:00,07:05:00,20506,6,,0,0,75315.2008241702,0,0,,
t_146793_b_2645_tn_0,07:30:00,07:30:00,20260,7,,0,0,99397.5018457071,0,0,,
t_146793_b_2645_tn_0,07:55:00,07:55:00,20262,8,,2,3,138174.648779834,0,0,,
t_146793_b_2645_tn_0,08:05:00,08:05:00,20263,9,,0,0,145476.696493833,0,0,,
t_146793_b_2645_tn_0,08:20:00,08:20:00,20329,10,,0,0,170054.03046867,0,0,,
t_146793_b_2645_tn_0,08:40:00,08:40:00,20266,11,,2,3,199341.873173858,0,0,,
t_146793_b_2645_tn_0,08:50:00,08:50:00,20267,12,,0,0,217431.317137852,0,0,,
t_146793_b_2645_tn_0,09:20:00,09:20:00,20269,13,,0,0,258189.103135385,0,0,,
t_146793_b_2645_tn_0,10:00:00,10:00:00,20270,14,,0,0,308124.452811395,0,0,,
t_146793_b_2645_tn_0,10:05:00,10:05:00,20271,15,,0,0,314598.159658837,0,0,,
t_146793_b_2645_tn_0,10:45:00,10:45:00,20273,16,,2,2,362334.82601915,0,0,,
t_146793_b_2645_tn_0,11:10:00,11:10:00,811996,17,,0,0,390361.922874909,0,0,,
t_146793_b_2645_tn_0,12:00:00,12:00:00,20276,18,,0,0,436175.405665255,0,0,,
t_146793_b_2645_tn_0,12:15:00,12:15:00,20277,19,,1,0,447084.057125762,0,0,,
