route_id, route_short_name,route_long_name,route_desc,route_type
766.1,EM CC,EL MONTE CIVIC CTR SHUTTLE,EL MONTE CIVIC CENTER-METROLINK SHUTTLE,3
1214.1,EMRED,EL MONTE RED,LOWER AZUSA - PECK - TYLER,3
1214.2,EMRED,EL MONTE RED_1,LOWER AZUSA - PECK - TYLER,3
1214.3,EMRED,EL MONTE RED_2,LOWER AZUSA - PECK - TYLER,3
1216.1,EMBLU,EL MONTE BLUE,PECK - HEMLOCK - COGSWELL,3
1216.2,EMBLU,EL MONTE BLUE_1,PECK - HEMLOCK - COGSWELL,3
1216.3,EMBLU,EL MONTE BLUE_2,PECK - HEMLOCK - COGSWELL,3
1218.1,EMORG,EL MONTE ORANGE,PECK - HEMLOCK - COGSWELL,3
1218.2,EMORG,EL MONTE ORANGE_1,PECK - HEMLOCK - COGSWELL,3
1220.1,EMGRN,EL MONTE GREEN,VALLEY-MOUNTAIN VIEW-GARVEY-MERCED,3
1220.2,EMGRN,EL MONTE GREEN_1,VALLEY-MOUNTAIN VIEW-GARVEY-MERCED,3
1222.1,EMYLW,EL MONTE YELLOW,VALLEY-TYLER-PECK-PARKWAY-MAGNOLIA,3
1222.2,EMYLW,EL MONTE YELLOW_1,VALLEY-TYLER-PECK-PARKWAY-MAGNOLIA,3
1222.3,EMYLW,EL MONTE YELLOW_2,VALLEY-TYLER-PECK-PARKWAY-MAGNOLIA,3
1280.1,EMFBP,EL MONTE SHUTTLE FLAIR BP,EL MONTE FLAIR BUSINESS PARK SHUTTLE,3
3211.1,EMFBP,EL MONTE SHUTTLE FLAIR BP_1,MID DAY SERVICE GOES INTO EL MONTE STATION,3
