from_stop_id,to_stop_id,transfer_type
10002,10002,0
10006,10006,0
10008,10008,0
10009,10009,0
10015,10015,0
10021,10021,0
10023,10023,0
10029,10029,0
10030,10030,0
10033,10033,0
10036,10036,0
10040,10040,0
10043,10043,0
10044,10044,0
10047,10047,0
10050,10050,0
10050,10069,0
10051,10051,0
10051,10052,0
10052,10051,0
10052,10052,0
10053,10053,0
10054,10054,0
10055,10055,0
10058,10058,0
10061,10061,0
10063,10063,0
10066,10066,0
10067,10067,0
10068,10068,0
10068,10069,0
10069,10050,0
10069,10068,0
10069,10069,0
10070,10070,0
10073,10073,0
10074,10074,0
10074,10077,0
10075,10075,0
10076,10076,0
10077,10074,0
10077,10077,0
10080,10080,0
10081,10081,0
10082,10082,0
10089,10089,0
10099,10099,0
10103,10103,0
10106,10106,0
10108,10108,0
10111,10111,0
10111,10112,0
10112,10111,0
10115,10115,0
10120,10120,0
10123,10123,0
10128,10128,0
10131,10131,0
10134,10134,0
10135,10135,0
10138,10138,0
10139,10139,0
10142,10142,0
10143,10143,0
10144,10144,0
10146,10146,0
10151,10151,0
10152,10152,0
10153,10153,0
10155,10155,0
10166,10166,0
