route_id,service_id,trip_id,trip_headsign,shape_id
1214.1,SU,1214.1-19-0-426-1800-1830-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.1
1214.1,MTWHF,1214.1-19-0-426-1840-1910-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.1
1214.2,MTWHFSU,1214.2-10-0-853-0920-1030-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-11-0-853-1000-1110-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-11-0-853-1040-1150-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-12-0-853-1120-1230-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-13-0-853-1200-1310-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-13-0-853-1240-1350-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-14-0-853-1320-1430-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-15-0-853-1400-1510-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-15-0-853-1440-1550-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-16-0-853-1520-1630-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-17-0-853-1600-1710-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHFSU,1214.2-17-0-853-1640-1750-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-18-0-853-1720-1830-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,SU,1214.2-18-0-853-1720-1840-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-19-0-853-1800-1910-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-7-0-853-0600-0710-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-7-0-853-0640-0750-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-8-0-853-0720-0830-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-9-0-853-0800-0910-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.2,MTWHF,1214.2-9-0-853-0840-0950-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.2
1214.3,SU,1214.3-10-426-853-0920-0950-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.3
1214.3,MTWHF,1214.3-7-426-853-0600-0630-2250-0-0-0-0_EM_5LB,RED ROUTE,1214.3
1216.1,MTWHF,1216.1-19-0-420-1840-1913-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.1
1216.2,MTWHFSU,1216.2-10-0-841-0920-1040-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-11-0-841-1000-1120-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-11-0-841-1040-1200-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-12-0-841-1120-1240-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-13-0-841-1200-1320-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-13-0-841-1240-1400-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-14-0-841-1320-1440-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-15-0-841-1400-1520-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-15-0-841-1440-1600-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-16-0-841-1520-1640-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-17-0-841-1600-1720-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-17-0-841-1640-1800-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-18-0-841-1720-1840-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHFSU,1216.2-19-0-841-1800-1913-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHF,1216.2-7-0-841-0600-0720-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHF,1216.2-7-0-841-0640-0800-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHF,1216.2-8-0-841-0720-0840-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHF,1216.2-9-0-841-0800-0920-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.2,MTWHF,1216.2-9-0-841-0840-1000-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.2
1216.3,MTWHF,1216.3-7-420-841-0600-0640-2189-0-0-0-0_EM_5LB,BLUE ROUTE,1216.3
1218.1,SU,1218.1-10-353-706-0920-0953-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.1
1218.1,SU,1218.1-19-0-353-1800-1833-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.1
1218.1,MTWHF,1218.1-19-0-353-1840-1913-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.1
1218.1,MTWHF,1218.1-7-353-706-0600-0633-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.1
1218.2,MTWHFSU,1218.2-10-0-706-0920-1033-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-11-0-706-1000-1113-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-11-0-706-1040-1153-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-12-0-706-1120-1233-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-13-0-706-1200-1313-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-13-0-706-1240-1353-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-14-0-706-1320-1433-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-15-0-706-1400-1513-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-15-0-706-1440-1553-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-16-0-706-1520-1633-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-17-0-706-1600-1713-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-17-0-706-1640-1753-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHFSU,1218.2-18-0-706-1720-1833-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-19-0-706-1800-1913-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-7-0-706-0600-0713-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-7-0-706-0640-0753-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-8-0-706-0720-0833-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-9-0-706-0800-0913-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1218.2,MTWHF,1218.2-9-0-706-0840-0953-2256-0-0-0-0_EM_5LB,ORANGE ROUTE,1218.2
1220.1,SU,1220.1-10-327-654-0920-0952-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.1
1220.1,SU,1220.1-19-0-327-1800-1832-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.1
1220.1,MTWHF,1220.1-19-0-327-1840-1912-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.1
1220.1,MTWHF,1220.1-7-327-654-0600-0632-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.1
1220.2,MTWHFSU,1220.2-10-0-654-0920-1032-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-11-0-654-1000-1112-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-11-0-654-1040-1152-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-12-0-654-1120-1232-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-13-0-654-1200-1312-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-13-0-654-1240-1352-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-14-0-654-1320-1432-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-15-0-654-1400-1512-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-15-0-654-1440-1552-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-16-0-654-1520-1632-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-17-0-654-1600-1712-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-17-0-654-1640-1752-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHFSU,1220.2-18-0-654-1720-1832-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-19-0-654-1800-1912-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-7-0-654-0600-0712-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-7-0-654-0640-0752-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-8-0-654-0720-0832-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-9-0-654-0800-0912-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1220.2,MTWHF,1220.2-9-0-654-0840-0952-2188-0-0-0-0_EM_5LB,GREEN ROUTE,1220.2
1222.1,SU,1222.1-19-0-336-1800-1835-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.1
1222.1,MTWHF,1222.1-19-0-336-1840-1915-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.1
1222.2,MTWHFSU,1222.2-10-0-673-0920-1035-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-11-0-673-1000-1115-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-11-0-673-1040-1155-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-12-0-673-1120-1235-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-13-0-673-1200-1315-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-13-0-673-1240-1355-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-14-0-673-1320-1435-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-15-0-673-1400-1515-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-15-0-673-1440-1555-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
1222.2,MTWHFSU,1222.2-16-0-673-1520-1635-2258-0-0-0-0_EM_5LB,YELLOW ROUTE,1222.2
