stop_id,stop_city
2309331,Oakland
2316832,Emeryville
2316833,Emeryville
2318569,Emeryville
2318570,Emeryville
2318571,Berkeley
2318572,Emeryville
2318573,Emeryville
2318574,Emeryville
2318575,Emeryville
2318576,Emeryville
2318577,Emeryville
2318578,Emeryville
2318579,Emeryville
2318580,Emeryville
2319181,Emeryville
2319182,Emeryville
2319183,Emeryville
2319184,Emeryville
2319185,Emeryville
2319186,Emeryville
2319187,Emeryville
2319188,Emeryville
2319189,Emeryville
2319191,Emeryville
2319192,Emeryville
2319193,Emeryville
2319194,Emeryville
2319195,Emeryville
2319196,Emeryville
2319197,Emeryville
2319198,Emeryville
2319199,Emeryville
2319627,Emeryville
2319628,Emeryville
2319629,Emeryville
2319630,Emeryville
2319631,Emeryville
2319632,Emeryville
2319633,Emeryville
2319634,Emeryville
2319662,Emeryville
