trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_27195_b_207_tn_0,16:06:00,16:06:00,9827,1,,0,0,0,1,0,,
t_27195_b_207_tn_0,16:46:00,16:46:00,5351,2,,0,0,47567.85693763,1,0,,
t_28009_b_207_tn_0,18:04:00,18:04:00,9827,1,,0,0,0,1,0,,
t_28009_b_207_tn_0,18:44:00,18:44:00,5351,2,,0,0,47567.85693763,1,0,,
t_29109_b_207_tn_0,07:40:00,07:40:00,9827,1,,0,0,0,1,0,,
t_29109_b_207_tn_0,08:20:00,08:20:00,5351,2,,0,0,47567.85693763,1,0,,
t_29212_b_207_tn_0,16:59:00,16:59:00,5351,1,,0,0,0,1,0,,
t_29212_b_207_tn_0,17:42:00,17:42:00,9827,2,,0,0,48983.65095162,1,0,,
t_29480_b_207_tn_0,18:10:00,18:10:00,5351,1,,0,0,0,1,0,,
t_29480_b_207_tn_0,18:53:00,18:53:00,9827,2,,0,0,48983.65095162,1,0,,
t_31614_b_207_tn_0,13:16:00,13:16:00,5351,1,,0,0,0,1,0,,
t_31614_b_207_tn_0,13:32:00,13:32:00,5416,2,,0,0,26129.1218899664,1,0,,
t_31614_b_207_tn_0,13:55:00,13:55:00,5417,3,,0,0,45265.3742318132,1,0,,
t_31614_b_207_tn_0,14:08:00,14:08:00,5418,4,,0,0,49525.30212079,1,0,,
t_33625_b_207_tn_0,17:15:00,17:15:00,9827,1,,0,0,0,1,0,,
t_33625_b_207_tn_0,17:55:00,17:55:00,5351,2,,0,0,47567.8569376568,1,0,,
t_33625_b_207_tn_0,18:02:00,18:02:00,28635,3,,0,0,51502.71030085,1,0,,
t_34586_b_207_tn_0,07:00:00,07:00:00,9827,1,,0,0,0,1,0,,
t_34586_b_207_tn_0,07:39:00,07:39:00,5351,2,,0,0,47567.8569376568,1,0,,
t_34586_b_207_tn_0,07:46:00,07:46:00,28635,3,,0,0,51502.71030085,1,0,,
t_35585_b_207_tn_0,16:10:00,16:10:00,5351,1,,0,0,0,1,0,,
t_35585_b_207_tn_0,16:53:00,16:53:00,9827,2,,0,0,48983.65095162,1,0,,
t_37649_b_207_tn_0,19:32:00,19:32:00,9827,1,,0,0,0,1,0,,
t_37649_b_207_tn_0,20:12:00,20:12:00,5351,2,,0,0,47567.85693763,1,0,,
t_38009_b_230_tn_0,12:18:00,12:18:00,5418,1,,0,0,0,1,0,,
t_38009_b_230_tn_0,12:28:00,12:28:00,5417,2,,0,0,3591.85547525281,1,0,,
t_38009_b_230_tn_0,12:44:00,12:44:00,807829,3,,0,0,22436.9903501539,1,0,,
t_38009_b_230_tn_0,13:03:00,13:03:00,5351,4,,1,0,47547.28857126,1,0,,
t_38334_b_207_tn_0,16:37:00,16:37:00,5351,1,,0,0,0,1,0,,
t_38334_b_207_tn_0,16:53:00,16:53:00,5416,2,,0,0,26129.1218899664,1,0,,
t_38334_b_207_tn_0,17:16:00,17:16:00,5417,3,,0,0,45265.3742318132,1,0,,
t_38334_b_207_tn_0,17:25:00,17:25:00,5418,4,,0,0,49525.30212079,1,0,,
t_41857_b_207_tn_0,10:42:00,10:42:00,5351,1,,0,0,0,1,0,,
t_41857_b_207_tn_0,11:25:00,11:25:00,9827,2,,0,0,48983.65095162,1,0,,
t_45790_b_230_tn_0,15:42:00,15:42:00,5351,1,,0,0,0,1,0,,
t_45790_b_230_tn_0,15:58:00,15:58:00,5416,2,,0,0,26129.1218899664,1,0,,
t_45790_b_230_tn_0,16:21:00,16:21:00,5417,3,,0,0,45265.3742318132,1,0,,
t_45790_b_230_tn_0,16:30:00,16:30:00,5418,4,,0,0,49525.30212079,1,0,,
t_478_b_207_tn_0,07:16:00,07:16:00,5410,1,,0,0,0,1,0,,
t_478_b_207_tn_0,07:33:00,07:33:00,5351,2,,0,0,18376.6852105604,1,0,,
t_478_b_207_tn_0,07:49:00,07:49:00,5416,3,,0,0,44533.4765034922,1,0,,
t_478_b_207_tn_0,08:12:00,08:12:00,5417,4,,1,0,63669.728845339,1,0,,
t_478_b_207_tn_0,08:25:00,08:25:00,5418,5,,0,0,67929.65673434,1,0,,
t_479_b_207_tn_0,08:42:00,08:42:00,5351,1,,0,0,0,1,0,,
t_479_b_207_tn_0,09:25:00,09:25:00,9827,2,,0,0,48983.65095162,1,0,,
t_480_b_207_tn_0,14:42:00,14:42:00,5351,1,,0,0,0,1,0,,
t_480_b_207_tn_0,15:25:00,15:25:00,9827,2,,0,0,48983.65095162,1,0,,
t_481_b_207_tn_0,15:01:00,15:01:00,5351,1,,0,0,0,1,0,,
t_481_b_207_tn_0,15:44:00,15:44:00,9827,2,,0,0,48983.65095162,1,0,,
t_482_b_207_tn_0,15:41:00,15:41:00,5351,1,,0,0,0,1,0,,
t_482_b_207_tn_0,16:24:00,16:24:00,9827,2,,0,0,48983.65095162,1,0,,
t_484_b_207_tn_0,09:16:00,09:16:00,5351,1,,0,0,0,1,0,,
t_484_b_207_tn_0,09:32:00,09:32:00,5416,2,,0,0,26129.1218899664,1,0,,
t_484_b_207_tn_0,09:55:00,09:55:00,5417,3,,0,0,45265.3742318132,1,0,,
t_484_b_207_tn_0,10:08:00,10:08:00,5418,4,,0,0,49525.30212079,1,0,,
t_485_b_207_tn_0,15:33:00,15:33:00,9827,1,,0,0,0,1,0,,
t_485_b_207_tn_0,16:12:00,16:12:00,5351,2,,0,0,47567.8569376568,1,0,,
t_485_b_207_tn_0,16:18:00,16:18:00,28635,3,,0,0,51502.71030085,1,0,,
t_487_b_207_tn_0,16:46:00,16:46:00,9827,1,,0,0,0,1,0,,
t_487_b_207_tn_0,17:26:00,17:26:00,5351,2,,0,0,47567.8569376568,1,0,,
t_487_b_207_tn_0,17:38:00,17:38:00,28635,3,,0,0,51502.71030085,1,0,,
t_488_b_207_tn_0,06:08:00,06:08:00,5351,1,,0,0,0,1,0,,
t_488_b_207_tn_0,06:22:00,06:22:00,5410,2,,0,0,17041.1765906778,1,0,,
t_488_b_207_tn_0,06:36:00,06:36:00,5412,3,,0,0,33601.7857634123,1,0,,
t_488_b_207_tn_0,07:00:00,07:00:00,5414,4,,0,0,68028.6862765875,1,0,,
t_488_b_207_tn_0,,,795554,5,,0,0,69064.1278749155,1,0,,
t_488_b_207_tn_0,07:06:00,07:06:00,5424,6,,0,0,69726.5370353676,1,0,,
t_488_b_207_tn_0,07:08:00,07:08:00,5425,7,,0,0,70091.5587058123,1,0,,
t_488_b_207_tn_0,07:08:00,07:08:00,795462,8,,0,0,70708.09934272,1,0,,
t_489_b_207_tn_0,06:52:00,06:52:00,5351,1,,0,0,0,1,0,,
t_489_b_207_tn_0,07:06:00,07:06:00,5410,2,,0,0,17041.1765906778,1,0,,
t_489_b_207_tn_0,07:20:00,07:20:00,5412,3,,0,0,33601.7857634123,1,0,,
t_489_b_207_tn_0,07:44:00,07:44:00,5414,4,,0,0,68028.6862765875,1,0,,
t_489_b_207_tn_0,,,795554,5,,0,0,69064.1278749155,1,0,,
t_489_b_207_tn_0,07:50:00,07:50:00,5424,6,,0,0,69726.5370353676,1,0,,
t_489_b_207_tn_0,07:52:00,07:52:00,5425,7,,0,0,70091.5587058123,1,0,,
t_489_b_207_tn_0,07:52:00,07:52:00,795462,8,,0,0,70708.09934272,1,0,,
t_492_b_230_tn_0,17:34:00,17:34:00,795462,1,,0,0,0,1,0,,
t_492_b_230_tn_0,,,795555,2,,0,0,798.37534872632,1,0,,
t_492_b_230_tn_0,17:58:00,17:58:00,5412,3,,0,0,35253.2060088476,1,0,,
t_492_b_230_tn_0,18:18:00,18:18:00,5410,4,,0,0,52761.4980106233,1,0,,
t_492_b_230_tn_0,18:35:00,18:35:00,5351,5,,1,0,71144.57071057,1,0,,
t_493_b_230_tn_0,13:27:00,13:27:00,795462,1,,0,0,0,1,0,,
t_493_b_230_tn_0,,,795555,2,,0,0,798.37534872632,1,0,,
t_493_b_230_tn_0,13:52:00,13:52:00,5421,3,,0,0,23826.5356257177,1,0,,
