stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
28737,75512,,Civic Center Dr and Pennsylvania Ave,Far-Side,38.2533990458,-122.04871172,116,,0,,America/Los_Angeles,,,0
5386,75324,,Solano Town Center,,38.2629070833623,-122.0532865,663,,0,,America/Los_Angeles,,,0
28682,75283,,Oakbrook and Red Top Rd (RHS),Far-Side,38.1975424044,-122.1466431761,116,,0,,America/Los_Angeles,,,0
28661,75248,,Dover Ave and Sunrise Dr,Far-Side,38.2782927775,-122.0250479706,116,,0,,America/Los_Angeles,,,0
28549,75015,,Union Ave and Carpenter St,Far-Side  Green Shelter,38.253285,-122.040579,116,,0,,America/Los_Angeles,,,0
28743,75518,,Oliver Rd and Holiday Lane,Mid-Block,38.2571532006,-122.0679350081,116,,0,,America/Los_Angeles,,,0
28569,75040,,E Tabor Ave and Sunset Ave,Far-Side,38.2652651689,-122.0206239892,116,,0,,America/Los_Angeles,,,0
28626,75160,,Buena Vista Ave and Pittier Way,Mid-Block,38.2483966353,-122.0274608197,116,,0,,America/Los_Angeles,,,0
28552,75018,,Kentucky St Madison St (Civic Center),Mid-Block  Brown Shelter,38.251529375,-122.04636848,116,,0,,America/Los_Angeles,,,0
5412,75392,,Market Lane Park and Ride,,38.455688214767,-121.8420035,667,,0,,America/Los_Angeles,,,0
28597,75076,,W Texas St and Pennsylvania Ave,Far-Side,38.2493457311,-122.0505732108,116,,0,,America/Los_Angeles,,,0
28697,75298,,Oakbrook Dr and Rainier Ct ,Mid-Block,38.1874016853,-122.1421485356,116,,0,,America/Los_Angeles,,,0
28756,75163,,Merganser Dr and Wigeon Way (SS Senior Center),,38.2466482775763,-122.018443509009,116,,0,,America/Los_Angeles,,,0
28668,75261,,E. Travis Blvd. and Phoenix Dr.,,38.2580942483,-122.0224274111,116,,0,,America/Los_Angeles,,,0
28676,75274,,Chadbourne and Busch Dr,Near-Side,38.2372122831,-122.0839161661,116,,0,,America/Los_Angeles,,,0
28688,75289,,Lopes Rd fs Woodside Way (South),Far-Side,38.1759759028,-122.1311293358,116,,0,,America/Los_Angeles,,,0
