timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,28696,1,Oakbrook Dr and Lopes Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28697,2,Oakbrook Dr and Rainier Ct ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28698,3,Oakbrook Dr and Brookdale Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28699,4,Oakbrook Dr and Oakbrook Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28700,5,Oakbrook Dr and Oakbrook Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28701,6,Oakbrook Dr and Amberwood Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28763,7,Red Top Rd op Oakbrook Dr (RHS),"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28702,8,Watt Dr and Fermi Dr,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28703,9,Watt Dr and Watt Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28704,10,Fulton Dr and  Edison Ct,8/Cordelia Library/Oakbrook Dr
1,28705,11,Fulton Dr  and  Lopes Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28707,12,Central Way fs Ritchie Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28708,13,Central Way ns Grobric Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28709,14,Pittman Rd and Central Way (Pittman),"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
1,28762,15,Central Way op Link Rd,8/Cordelia Library/Oakbrook Dr
1,28706,16,Central Way op Ritchie,8/Cordelia Library/Oakbrook Dr
1,28761,17,Fairfield - Cordelia Library,"7/ FTC/Solano College/Cordelia Library, 8/Cordelia Library/Oakbrook Dr"
2,28696,1,Oakbrook Dr and Lopes Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28697,2,Oakbrook Dr and Rainier Ct ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28698,3,Oakbrook Dr and Brookdale Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28699,4,Oakbrook Dr and Oakbrook Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28700,5,Oakbrook Dr and Oakbrook Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28701,6,Oakbrook Dr and Amberwood Cir ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28763,7,Red Top Rd op Oakbrook Dr (RHS),"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28702,8,Watt Dr and Fermi Dr,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28703,9,Watt Dr and Watt Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28704,10,Fulton Dr and  Edison Ct,8/Cordelia Library/Oakbrook Dr
2,28705,11,Fulton Dr  and  Lopes Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28707,12,Central Way fs Ritchie Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28708,13,Central Way ns Grobric Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28709,14,Pittman Rd and Central Way (Pittman),"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
2,28762,15,Central Way op Link Rd,8/Cordelia Library/Oakbrook Dr
2,28706,16,Central Way op Ritchie,8/Cordelia Library/Oakbrook Dr
2,28761,17,Fairfield - Cordelia Library,"7/ FTC/Solano College/Cordelia Library, 8/Cordelia Library/Oakbrook Dr"
3,28761,1,Fairfield - Cordelia Library,"7/ FTC/Solano College/Cordelia Library, 8/Cordelia Library/Oakbrook Dr"
3,28707,2,Central Way fs Ritchie Rd,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
3,28708,3,Central Way ns Grobric Ct,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
3,28709,4,Pittman Rd and Central Way (Pittman),"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
3,28762,5,Central Way op Link Rd,8/Cordelia Library/Oakbrook Dr
3,28706,6,Central Way op Ritchie,8/Cordelia Library/Oakbrook Dr
3,28679,7,Lopes Rd and Cordelia Rd,8/Cordelia Library/Oakbrook Dr
3,28680,8,Fulton Dr and Edison Ct ,"7BT/Solano Town Center, 8/Cordelia Library/Oakbrook Dr"
3,28681,9,Watt Dr and Watt Ct ,8/Cordelia Library/Oakbrook Dr
3,28682,10,Oakbrook and Red Top Rd (RHS),"7AT3/Green Valley MS, 7AT/Rodriguez High School, 8/Cordelia Library/Oakbrook Dr"
