route_id,route_short_name,route_long_name,route_desc,route_type,route_url
178-138,178,Puente Hills Mall - El Monte Station,Puente Hills Mall to El Monte Station,3,http://foothilltransit.org/line/178/
178-139,178,Puente Hills Mall - El Monte Station,Puente Hills Mall to El Monte Station,3,http://foothilltransit.org/line/178/
185-138,185,Azusa - West  Covina - Hacienda Heights,Azusa to West  Covina to Hacienda Heights,3,http://foothilltransit.org/line/185/
185-139,185,Azusa - West  Covina - Hacienda Heights,Azusa to West  Covina to Hacienda Heights,3,http://foothilltransit.org/line/185/
187-138,187,Pasadena - Glendora - Montclair,Pasadena to Glendora to Montclair,3,http://foothilltransit.org/line/187/
187-139,187,Pasadena - Glendora - Montclair,Pasadena to Glendora to Montclair,3,http://foothilltransit.org/line/187/
190-138,190,El Monte Station - Cal Poly via Ramona,El Monte Station to Cal Poly via Ramona,3,http://foothilltransit.org/line/190/
190-139,190,El Monte Station - Cal Poly via Ramona,El Monte Station to Cal Poly via Ramona,3,http://foothilltransit.org/line/190/
194-138,194,El Monte Station - Cal Poly via Valley,El Monte Station to Cal Poly via Valley,3,http://foothilltransit.org/line/194/
194-139,194,El Monte Station - Cal Poly via Valley,El Monte Station to Cal Poly via Valley,3,http://foothilltransit.org/line/194/
195-139,195,Pomona Transcenter- Phillips Ranch- Cal Poly,Pomona Transcenter to Phillips Ranch to Cal Poly,3,http://foothilltransit.org/line/195/
197-139,197,Montclair Transcenter - Pomona Transcenter,Montclair Transcenter to Pomona Transcenter,3,http://foothilltransit.org/line/197/
269-138,269,Montebello Town Center - El Monte Station,Montebello Town Center to El Monte Station,3,http://foothilltransit.org/line/269/
269-139,269,Montebello Town Center - El Monte Station,Montebello Town Center to El Monte Station,3,http://foothilltransit.org/line/269/
270-138,270,Monrovia - El Monte Station,Monrovia to El Monte Station,3,http://foothilltransit.org/line/270/
270-139,270,Monrovia - El Monte Station,Monrovia to El Monte Station,3,http://foothilltransit.org/line/270/
272-138,272,Duarte-Baldwin Park-West Covina,Duarte to Baldwin ParktoWest Covina,3,http://foothilltransit.org/line/272/
