shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1780055,33.994004,-117.928851,10001
1780055,33.994093,-117.928909,10002
1780055,33.994189,-117.929011,10003
1780055,33.994228,-117.929051,10004
1780055,33.994316,-117.929176,10005
1780055,33.994359,-117.929215,10006
1780055,33.994398,-117.929255,10007
1780055,33.994447,-117.929334,10008
1780055,33.994494,-117.929354,10009
1780055,33.994544,-117.929341,10010
1780055,33.994579,-117.929314,10011
1780055,33.994670,-117.929225,10012
1780055,33.994752,-117.929119,10013
1780055,33.994840,-117.929040,10014
1780055,33.994892,-117.929020,10015
1780055,33.994934,-117.929030,10016
1780055,33.994961,-117.929050,10017
1780055,33.995085,-117.929195,10018
1780055,33.995398,-117.929601,10019
1780055,33.995561,-117.929828,10020
1780055,33.995638,-117.930016,10021
1780055,33.995616,-117.930029,10022
1780055,33.995152,-117.930294,10023
1780055,33.994913,-117.930396,10024
1780055,33.994737,-117.930449,10025
1780055,33.994657,-117.930475,10026
1780055,33.994396,-117.930512,10027
1780055,33.994220,-117.930525,10028
1780055,33.994036,-117.930529,10029
1780055,33.993591,-117.930493,10030
1780055,33.993448,-117.930496,10031
1780055,33.993514,-117.931440,10032
1780055,33.993520,-117.931499,10033
1780055,33.993523,-117.931545,10034
1780055,33.993526,-117.931595,10035
1780055,33.993528,-117.931651,10036
1780055,33.992803,-117.931734,10037
1780055,33.992748,-117.931754,10038
1780055,33.992446,-117.931794,10039
1780055,33.992127,-117.931837,10040
1780055,33.992001,-117.931847,10041
1780055,33.991539,-117.931887,10042
1780055,33.991077,-117.931910,10043
1780055,33.991009,-117.931920,10044
1780055,33.990973,-117.931923,10045
1780055,33.990929,-117.931930,10046
1780055,33.990877,-117.931937,10047
1780055,33.990833,-117.931940,10048
1780055,33.990841,-117.931854,10049
1780055,33.990852,-117.931762,10050
1780055,33.990898,-117.931386,10051
1780055,33.990980,-117.930676,10052
1780055,33.990986,-117.930333,10053
1780055,33.990861,-117.929027,10054
1780055,33.990467,-117.924603,10055
1780055,33.990467,-117.924603,20001
1780055,33.990444,-117.924340,20002
1780055,33.990369,-117.923360,20003
1780055,33.990252,-117.921067,20004
1780055,33.990157,-117.918831,20005
1780055,33.990110,-117.917825,20006
1780055,33.990104,-117.917703,20007
1780055,33.990087,-117.917354,20008
1780055,33.990087,-117.917354,30001
1780055,33.990059,-117.916809,30002
1780055,33.990006,-117.915753,30003
1780055,33.989962,-117.914328,30004
1780055,33.989925,-117.913791,30005
1780055,33.989856,-117.913378,30006
