route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,Wd,w11111,Stocker,0,,
1,Wd,w11112,Stocker,0,,
1,Wd,w11113,Stocker,0,,
1,Wd,w11114,Stocker,0,,
1,Wd,w11115,Stocker,0,,
1,Wd,w11116,Stocker,0,,
1,Wd,w11117,Stocker,0,,
1,Wd,w11118,Stocker,0,,
1,Wd,w11119,Stocker,0,,
1,Wd,w111110,Stocker,0,,
1,Wd,w111111,Glendale Transportation Center,1,,
1,Wd,w111112,Glendale Transportation Center,1,,
1,Wd,w111113,Glendale Transportation Center,1,,
1,Wd,w111114,Glendale Transportation Center,1,,
1,Wd,w111115,Glendale Transportation Center,1,,
1,Wd,w111116,Glendale Transportation Center,1,,
1,Wd,w111117,Glendale Transportation Center,1,,
1,Wd,w111118,Glendale Transportation Center,1,,
1,Wd,w111119,Glendale Transportation Center,1,,
1,Wd,w111120,Glendale Transportation Center,1,,
2,Wd,w21111,Stocker,0,,
2,Wd,w21112,Stocker,0,,
2,Wd,w21113,Stocker,0,,
2,Wd,w21114,Stocker,0,,
2,Wd,w21115,Stocker,0,,
2,Wd,w21116,Stocker,0,,
2,Wd,w21117,Stocker,0,,
2,Wd,w21118,Stocker,0,,
2,Wd,w21119,Stocker,0,,
2,Wd,w211110,Stocker,0,,
2,Wd,w211111,Glendale Transportation Center,1,,
2,Wd,w211112,Glendale Transportation Center,1,,
2,Wd,w211113,Glendale Transportation Center,1,,
2,Wd,w211114,Glendale Transportation Center,1,,
2,Wd,w211115,Glendale Transportation Center,1,,
2,Wd,w211116,Glendale Transportation Center,1,,
2,Wd,w211117,Glendale Transportation Center,1,,
2,Wd,w211118,Glendale Transportation Center,1,,
2,Wd,w211119,Glendale Transportation Center,1,,
2,Wd,w211120,Glendale Transportation Center,1,,
1,Wd,w11311,Stocker,0,,
1,Wd,w11312,Stocker,0,,
1,Wd,w11313,Stocker,0,,
1,Wd,w11314,Stocker,0,,
1,Wd,w11315,Stocker,0,,
1,Wd,w11316,Stocker,0,,
1,Wd,w11317,Stocker,0,,
1,Wd,w11318,Stocker,0,,
1,Wd,w11319,Glendale Transportation Center,1,,
1,Wd,w113110,Glendale Transportation Center,1,,
1,Wd,w113111,Glendale Transportation Center,1,,
1,Wd,w113112,Glendale Transportation Center,1,,
1,Wd,w113113,Glendale Transportation Center,1,,
1,Wd,w113114,Glendale Transportation Center,1,,
1,Wd,w113115,Glendale Transportation Center,1,,
1,Wd,w113116,Glendale Transportation Center,1,,
2,Wd,w21311,Stocker,0,,
