service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
22-2 MF,0,0,0,0,0,0,0,20170730,20180127
17-15-2 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-1 SAT,0,0,0,0,0,0,0,20170730,20180127
6-1 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-4 SS,0,0,0,0,0,0,0,20170730,20180127
7-1 MF,0,0,0,0,0,0,0,20170730,20180127
11-1 SS,0,0,0,0,0,0,0,20170730,20180127
10-16-3 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-2 MF,0,0,0,0,0,0,0,20170730,20180127
22-1 MF,0,0,0,0,0,0,0,20170730,20180127
6-2 MF,0,0,0,0,0,0,0,20170730,20180127
19-1 SS,0,0,0,0,0,0,0,20170730,20180127
4-1 SS,0,0,0,0,0,0,0,20170730,20180127
10-16-1 SUN,0,0,0,0,0,0,0,20170730,20180127
8-1 MF,0,0,0,0,0,0,0,20170730,20180127
5-1 D,0,0,0,0,0,0,0,20170730,20180127
18-5-1-PM MF,0,0,0,0,0,0,0,20170730,20180127
4-2 SS,0,0,0,0,0,0,0,20170730,20180127
20-1 SS,0,0,0,0,0,0,0,20170730,20180127
6-3 MF,0,0,0,0,0,0,0,20170730,20180127
21-4 MF,0,0,0,0,0,0,0,20170730,20180127
1-3 SS,0,0,0,0,0,0,0,20170730,20180127
2-3-1 SS,0,0,0,0,0,0,0,20170730,20180127
6-6 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-2 SS,0,0,0,0,0,0,0,20170730,20180127
6-10 MF,0,0,0,0,0,0,0,20170730,20180127
17-15-3 SS,0,0,0,0,0,0,0,20170730,20180127
7-1 SS,0,0,0,0,0,0,0,20170730,20180127
6-7 MF,0,0,0,0,0,0,0,20170730,20180127
21-2 MF,0,0,0,0,0,0,0,20170730,20180127
21-3 MF,0,0,0,0,0,0,0,20170730,20180127
18-1-1-AM MWRF,0,0,0,0,0,0,0,20170730,20180127
1-2 SS,0,0,0,0,0,0,0,20170730,20180127
18-3-1-AM TUE,0,0,0,0,0,0,0,20170730,20180127
18-3-1-AM MWRF,0,0,0,0,0,0,0,20170730,20180127
21-1 MF,0,0,0,0,0,0,0,20170730,20180127
6-8 MF,0,0,0,0,0,0,0,20170730,20180127
21-1 SS,0,0,0,0,0,0,0,20170730,20180127
8-1 SS,0,0,0,0,0,0,0,20170730,20180127
17-15-3 MF,0,0,0,0,0,0,0,20170730,20180127
6-3 SS,0,0,0,0,0,0,0,20170730,20180127
18-6-2-PM WED,0,0,0,0,0,0,0,20170730,20180127
6-5 MF,0,0,0,0,0,0,0,20170730,20180127
4-3 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-4 MF,0,0,0,0,0,0,0,20170730,20180127
4-1 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-1 MF,0,0,0,0,0,0,0,20170730,20180127
18-6-1-AM MTRF,0,0,0,0,0,0,0,20170730,20180127
6-6 SS,0,0,0,0,0,0,0,20170730,20180127
6-5 SS,0,0,0,0,0,0,0,20170730,20180127
6-4 MF,0,0,0,0,0,0,0,20170730,20180127
18-3-2-PM MF,0,0,0,0,0,0,0,20170730,20180127
18-1-2-PM MF,0,0,0,0,0,0,0,20170730,20180127
17-15-1 SS,0,0,0,0,0,0,0,20170730,20180127
21-2 SS,0,0,0,0,0,0,0,20170730,20180127
11-3 MF,0,0,0,0,0,0,0,20170730,20180127
4-3 SS,0,0,0,0,0,0,0,20170730,20180127
11-2 MF,0,0,0,0,0,0,0,20170730,20180127
1-2 MF,0,0,0,0,0,0,0,20170730,20180127
17-15-1 MF,0,0,0,0,0,0,0,20170730,20180127
8-2 SS,0,0,0,0,0,0,0,20170730,20180127
1-1 SS,0,0,0,0,0,0,0,20170730,20180127
1-4 MF,0,0,0,0,0,0,0,20170730,20180127
1-3 MF,0,0,0,0,0,0,0,20170730,20180127
18-1-1-AM TUE,0,0,0,0,0,0,0,20170730,20180127
18-6-2-PM MTRF,0,0,0,0,0,0,0,20170730,20180127
10-16-3 SUN,0,0,0,0,0,0,0,20170730,20180127
6-11 MF,0,0,0,0,0,0,0,20170730,20180127
18-6-1-AM WED,0,0,0,0,0,0,0,20170730,20180127
2-3-2 D,0,0,0,0,0,0,0,20170730,20180127
4-2 MF,0,0,0,0,0,0,0,20170730,20180127
8-2 MF,0,0,0,0,0,0,0,20170730,20180127
11-2 SS,0,0,0,0,0,0,0,20170730,20180127
21-6 MF,0,0,0,0,0,0,0,20170730,20180127
9-1 SS,0,0,0,0,0,0,0,20170730,20180127
22-1 SAT,0,0,0,0,0,0,0,20170730,20180127
1-1 MF,0,0,0,0,0,0,0,20170730,20180127
6-2 SS,0,0,0,0,0,0,0,20170730,20180127
17-15-2 SS,0,0,0,0,0,0,0,20170730,20180127
11-1 MF,0,0,0,0,0,0,0,20170730,20180127
6-4 SS,0,0,0,0,0,0,0,20170730,20180127
9-1 MF,0,0,0,0,0,0,0,20170730,20180127
19-1 MF,0,0,0,0,0,0,0,20170730,20180127
6-1 SS,0,0,0,0,0,0,0,20170730,20180127
2-3-1 MF,0,0,0,0,0,0,0,20170730,20180127
22-1 SUN,0,0,0,0,0,0,0,20170730,20180127
20-1 MF,0,0,0,0,0,0,0,20170730,20180127
1-4 SS,0,0,0,0,0,0,0,20170730,20180127
21-5 MF,0,0,0,0,0,0,0,20170730,20180127
6-9 MF,0,0,0,0,0,0,0,20170730,20180127
10-16-3 SAT,0,0,0,0,0,0,0,20170730,20180127
