route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
6,6-1 MF,[@1.0.9718135@][2][1352507168358]/0__6-1_MF,OXNARD TRANSIT CENTER,1,6-1 MF,[@1.0.9718135@]2
6,6-1 MF,[@1.0.9718135@][1][1352497985252]/4__6-1_MF,MAIN ST - VENTURA AVE,0,6-1 MF,[@1.0.9718135@]1
6,6-1 MF,[@1.0.9718135@][2][1352498869404]/43__6-1_MF,OXNARD TRANSIT CENTER,1,6-1 MF,[@1.0.9718135@]2
6,6-1 MF,[@1.0.9718135@][1][1352498055339]/12__6-1_MF,MAIN ST - VENTURA AVE,0,6-1 MF,[@1.0.9718135@]1
6,6-1 MF,[@1.0.9718135@][2][1352498980587]/53__6-1_MF,OXNARD TRANSIT CENTER,1,6-1 MF,[@1.0.9718135@]2
6,6-1 MF,[@1.0.16485801@][6][1418239654244]/1__6-1_MF,MAIN ST - VENTURA AVE,0,6-1 MF,[@1.0.9718135@]1
6,6-1 MF,[@1.0.9718135@][2][1352498980587]/60__6-1_MF,OXNARD TRANSIT CENTER,1,6-1 MF,[@1.0.9718135@]2
6,6-1 MF,[@1.0.9718135@][1][1352504973325]/1__6-1_MF,MAIN ST - VENTURA AVE,0,6-1 MF,[@1.0.9718135@]1
6,6-1 MF,[@1.0.9718135@][2][1352499041101]/69__6-1_MF,OXNARD TRANSIT CENTER,1,6-1 MF,[@1.0.9718135@]2
16,10-16-1 MF,[@1.0.6833526@][1][1328641902064]/41__10-16-1_MF,DOWNTOWN OJAI via THOMPSON,1,10-16-1 MF,[@1.0.6833526@]3
16,10-16-1 MF,[@1.0.6833526@][2][1328642046419]/44__10-16-1_MF,PACIFIC VIEW MALL via THOMPSON,0,10-16-1 MF,[@1.0.6833526@]2
16,10-16-1 MF,[@1.0.6833526@][1][1328641816892]/27__10-16-1_MF,DOWNTOWN OJAI via THOMPSON,1,10-16-1 MF,[@1.0.6833526@]1
16,10-16-1 MF,[@1.0.6833526@][2][1328642046419]/47__10-16-1_MF,PACIFIC VIEW MALL via THOMPSON,0,10-16-1 MF,[@1.0.6833526@]2
10,10-16-1 MF,[@1.0.567579@][1][1305930745578]/3__10-16-1_MF,WELLS - SATICOY via TELEGRAPH RD,1,10-16-1 MF,[@1.0.567579@]1
10,10-16-1 MF,[@1.0.6833508@][2][1328651803958]/3__10-16-1_MF,PACIFIC VIEW MALL via  TELEGRAPH RD,0,10-16-1 MF,[@1.0.6833508@]2
