service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20180102,20180331
2,1,1,1,1,1,0,0,20180402,20180527
3,1,1,1,1,1,0,0,20180529,20180703
4,1,1,1,1,1,0,0,20180705,20180902
5,1,1,1,1,1,0,0,20180904,20191231
6,0,0,0,0,0,1,0,20180102,20180331
7,0,0,0,0,0,1,0,20180402,20180527
8,0,0,0,0,0,1,0,20180529,20180703
9,0,0,0,0,0,1,0,20180705,20180902
10,0,0,0,0,0,1,0,20180904,20191231
11,0,0,0,0,0,0,1,20180102,20180331
12,0,0,0,0,0,0,1,20180402,20180527
13,0,0,0,0,0,0,1,20180529,20180703
14,0,0,0,0,0,0,1,20180705,20180902
15,0,0,0,0,0,0,1,20180904,20191231
16,1,1,1,1,1,1,1,20180401,20180401
17,1,1,1,1,1,1,1,20180528,20180528
18,1,1,1,1,1,1,1,20180704,20180704
19,1,1,1,1,1,1,1,20180903,20180903
