route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"21",1,"21","CSUB/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=21"
"22",1,"22","CSUB/Oildale",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=22"
"41",1,"41","Valley Plaza/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=41"
"42",1,"42","Walmart Panama/Westchester",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=42"
"43",1,"43","Truxtun/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=43"
"44",1,"44","White Lane/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=44"
"45",1,"45","Oildale/Foothill",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=45"
"46",1,"46","Stockdale/Foothill",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=46"
"47",1,"47","Walmart Panama/Truxtun",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=47"
"61",1,"61","Stine Harris/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=61"
"62",1,"62","Akers Panama/Valley Plaza",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=62"
"81",1,"81","Valley Plaza/Bakersfield College",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=81"
"82",1,"82","CSUB/Downtown",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=82"
"83",1,"83","Half Moon/South Union",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=83"
"84",1,"84","Frontier High School/Downtown",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=84"
"92",1,"92","Tejon Ranch Commerce Center Express",3,"http://eta.getbus.org/RTT/Public/Schedule.aspx?RouteNo=92"
