shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.412272,37.809594,1,0.00000000
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4139595,37.811547,2,262.81274540
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4139595,37.811547,3,262.81274540
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4137878,37.8126997,4,391.64888250
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4137878,37.8126997,5,391.64888250
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4125004,37.8137847,6,557.03519300
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4125004,37.8137847,7,557.03519300
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4103546,37.814734,8,773.37037290
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4103546,37.814734,9,773.37037290
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4070072,37.8152086,10,1072.78868510
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4033461,37.8143387,11,1409.30658490
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4034023,37.8141915,12,1426.37571620
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3998073,37.8130942,13,1765.55537840
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3996258,37.8130388,14,1782.68097630
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3972053,37.8115727,15,2050.83474770
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3970509,37.8114792,16,2067.94311420
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3948685,37.8096912,17,2344.19660380
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3947334,37.8095805,18,2361.29434730
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3926158,37.8072639,19,2678.92601360
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3925018,37.8071393,20,2696.01376900
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3911053,37.8038941,21,3076.62123200
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3910427,37.8037486,22,3093.69178970
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3903561,37.8005611,23,3452.60385140
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3920635,37.7959298,24,3988.18902350
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3920436,37.7960828,25,4005.25286350
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3920436,37.7960828,26,4005.25286350
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3920635,37.7959298,27,4022.31670350
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3845344,37.8035878,28,5100.35388380
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3841763,37.803952,29,5151.62437280
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3816002,37.8067656,30,5537.61890790
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.381258,37.8071393,31,5588.88233650
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3797394,37.8132643,32,6281.73759600
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3796272,37.8137169,33,6332.93496780
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3806039,37.8168626,34,6692.52853430
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.380743,37.8173105,35,6743.73020740
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3824207,37.8233689,36,7432.19496110
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3825455,37.8238194,37,7483.39429890
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3826247,37.8293242,38,8094.42818840
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3826313,37.8297854,39,8145.61775550
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3871263,37.8680253,40,12408.40779910
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3871803,37.8684845,41,12459.59951690
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4033165,37.9035741,42,16604.94845840
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4438304,37.9480196,43,22689.74028950
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4441719,37.948394,44,22741.00412290
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4464993,37.9624194,45,24311.14794380
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4465752,37.9628767,46,24362.34226110
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4382188,37.9785552,47,26251.14591760
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.4379921,37.9789804,48,26302.36898630
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3913447,38.0205689,49,32474.55930010
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3909569,38.0209144,50,32525.84457740
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3529823,38.0421463,51,36608.65003970
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3525047,38.0424132,52,36659.98386810
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3238805,38.0495737,53,39295.26079340
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.3233223,38.0497132,54,39346.64664430
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2821849,38.0555788,55,43015.48731730
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2816086,38.0556609,56,43066.88597760
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2577223,38.0592245,57,45200.22717730
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2571468,38.0593103,58,45251.62522110
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2479904,38.0651035,59,46280.78626320
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2475338,38.0653924,60,46332.10791970
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2455114,38.0695565,61,46827.22176740
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2453022,38.0699873,62,46878.44072640
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2445317,38.0739909,63,47327.94060360
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2444439,38.0744469,64,47379.13708530
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.247956,38.0799134,65,48059.67523520
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2482204,38.0803249,66,48110.91057640
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2608254,38.0960633,67,50178.40964220
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.261138,38.0964534,68,50229.66237340
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2633052,38.098598,69,50534.29796260
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2628858,38.0994696,70,50637.80171860
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2628858,38.0994696,71,50637.80171860
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2628331,38.0999151,72,50687.46868730
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2653011,38.1010025,73,50935.31625310
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.2653011,38.1010025,74,50935.31625310
1133cef5-0e1a-4eb2-9af0-0dfba91ab9d0,-122.269206,38.1012322,75,51278.77567500
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.262586,38.100149,1,0.00000000
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2634983,38.0996449,2,97.64172650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2634983,38.0996449,3,97.64172650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2636914,38.0992734,4,142.22025400
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2633696,38.0988344,5,198.53979990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2633696,38.0988344,6,198.53979990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2633696,38.0988344,7,198.53979990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.262125,38.0972978,8,401.04830650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.262125,38.0972978,9,401.04830650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2597861,38.094731,10,752.13828460
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2597861,38.094731,11,752.13828460
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2549152,38.0894451,12,1477.95587360
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2549152,38.0894451,13,1477.95587360
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2549152,38.0894451,14,1477.95587360
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2549152,38.0894451,15,1477.95587360
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2549152,38.0894451,16,1477.95587370
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2509885,38.0849696,17,2082.48570990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2481775,38.0810512,18,2582.47410710
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2481775,38.0810512,19,2582.47410710
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.246182,38.077217,20,3042.66754000
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.246182,38.077217,21,3042.66754000
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2457528,38.074734,22,3320.83876870
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2457528,38.074734,23,3320.83876870
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2458386,38.0716259,24,3665.91631030
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2458386,38.0716259,25,3665.91631030
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2457743,38.0683487,26,4029.72093960
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2457743,38.0683487,27,4029.72093960
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2457743,38.0683487,28,4029.72093960
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2458601,38.0675885,29,4114.43621440
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2466111,38.0667438,30,4229.03785800
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2466111,38.0667438,31,4229.03785800
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.2466111,38.0667438,32,4229.03785800
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4120712,38.0034673,33,20363.76965330
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4120712,38.0034673,34,20363.76965330
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4244308,37.9956216,35,21755.48562130
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4244308,37.9956216,36,21755.48562130
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4343872,37.9861514,37,23122.90800650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4343872,37.9861514,38,23122.90800650
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4409103,37.970726,39,24928.44223410
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4409103,37.970726,40,24928.44223410
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4409103,37.9550266,41,26671.00675940
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4409103,37.9550266,42,26671.00675940
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4131012,37.8978851,43,33468.38780010
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4131012,37.8978851,44,33468.38780010
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3952484,37.8602178,45,37934.52278990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3952484,37.8602178,46,37934.52278990
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3880386,37.8350052,47,40804.00326820
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3880386,37.8350052,48,40804.00326820
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3828888,37.8190056,49,42636.80800590
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3828888,37.8190056,50,42636.80800590
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3801422,37.8116826,51,43484.82479920
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3801422,37.8116826,52,43484.82479920
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3799706,37.8055796,53,44162.38797710
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3799706,37.8055796,54,44162.38797710
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3856354,37.8002899,55,44932.83925170
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.391849,37.796436,56,45627.42787920
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.391849,37.796436,57,45627.42787920
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3862362,37.8007646,58,46316.76831730
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3862362,37.8007646,59,46316.76831730
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3849487,37.803206,60,46610.51507840
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3849487,37.803206,61,46610.51507850
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3853779,37.8063255,62,46958.81336330
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3853779,37.8063255,63,46958.81336330
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3887682,37.8099535,64,47460.09398340
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3887682,37.8099535,65,47460.09398340
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3946476,37.8137508,66,48127.68018410
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.3946476,37.8137508,67,48127.68018410
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4008274,37.8160901,68,48730.60175320
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4008274,37.8160901,69,48730.60175320
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4008274,37.8160901,70,48730.60175320
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.406621,37.8167003,71,49245.20840740
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.406621,37.8167003,72,49245.20840740
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4111271,37.8160562,73,49648.36613280
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4111271,37.8160562,74,49648.36613280
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4134016,37.8152086,75,49869.63527320
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4134016,37.8152086,76,49869.63527320
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.414732,37.8134795,77,50094.47666400
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.414732,37.8134795,78,50094.47666400
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4143887,37.8117843,79,50285.04495740
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,80,50649.67322820
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,81,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,82,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,83,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,84,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,85,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,86,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,87,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,88,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,89,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,90,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,91,50649.67322830
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,92,50649.67322840
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,93,50649.67322840
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,94,50649.67322840
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,95,50649.67322840
210e184a-b271-4dd2-b1af-2fc0d5789e07,-122.4117587,37.8092469,96,50649.67322840
