trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"RTD6919459","9:15:00","9:15:00","12030043","1",,"0","0","0.00000000",1
"RTD6919459","9:25:00","9:25:00","12030042","2",,"0","0","1456.18882960",1
"RTD6919459","9:45:00","9:45:00","890001","3",,"0","0","10425.57127770",1
"RTD6919459","10:00:00","10:00:00","12048538","4",,"0","0","14342.15949740",1
"RTD9087402","10:15:00","10:15:00","12030043","1",,"0","0","0.00000000",1
"RTD9087402","10:25:00","10:25:00","12030042","2",,"0","0","1456.18882960",1
"RTD9087402","10:45:00","10:45:00","890001","3",,"0","0","10425.57127770",1
"RTD9087402","11:00:00","11:00:00","12048538","4",,"0","0","14342.15949740",1
"RTD6919433","10:50:00","10:50:00","12030044","1",,"0","0","0.01665710",1
"RTD6919433","11:00:00","11:00:00","12030043","2",,"0","0","1477.42420670",1
"RTD6919433","11:30:00","11:30:00","890001","3",,"0","0","11933.33051190",1
"RTD6919433","11:45:00","11:45:00","12048538","4",,"0","0","16744.85792490",1
"RTD9087428","11:10:00","11:10:00","12030044","1",,"0","0","0.01665710",1
"RTD9087428","11:25:00","11:25:00","12030043","2",,"0","0","1477.42420670",1
"RTD9087428","11:50:00","11:50:00","890001","3",,"0","0","11933.33051190",1
"RTD9087428","12:10:00","12:10:00","12048538","4",,"0","0","16744.85792490",1
"RTD9087404","11:35:00","11:35:00","12030044","1",,"0","0","0.01665710",1
"RTD9087404","11:45:00","11:45:00","12030043","2",,"0","0","1477.42420670",1
"RTD9087404","12:15:00","12:15:00","890001","3",,"0","0","11933.33051190",1
"RTD9087404","12:30:00","12:30:00","12048538","4",,"0","0","16744.85792490",1
"RTD9087430","11:50:00","11:50:00","12030044","1",,"0","0","0.01665710",1
"RTD9087430","12:05:00","12:05:00","12030043","2",,"0","0","1477.42420670",1
"RTD9087430","12:30:00","12:30:00","890001","3",,"0","0","11933.33051190",1
"RTD9087430","12:50:00","12:50:00","12048538","4",,"0","0","16744.85792490",1
"RTD9087432","13:35:00","13:35:00","12030044","1",,"0","0","0.01665710",1
"RTD9087432","13:50:00","13:50:00","12030043","2",,"0","0","1477.42420670",1
"RTD9087432","14:20:00","14:20:00","890001","3",,"0","0","11933.33051190",1
"RTD9087432","14:40:00","14:40:00","12048538","4",,"0","0","16744.85792490",1
"RTDWKND1355","14:35:00","14:35:00","12030044","1",,"0","0","0.01665710",1
"RTDWKND1355","14:50:00","14:50:00","12030043","2",,"0","0","1477.42420670",1
"RTDWKND1355","15:20:00","15:20:00","890001","3",,"0","0","11933.33051190",1
"RTDWKND1355","15:40:00","15:40:00","12048538","4",,"0","0","16744.85792490",1
"RTDWKND1455","17:55:00","17:55:00","12030044","1",,"0","0","0.01665710",1
"RTDWKND1455","18:10:00","18:10:00","12030043","2",,"0","0","1477.42420670",1
"RTDWKND1455","18:30:00","18:30:00","890001","3",,"0","0","11933.33051190",1
"RTDWKND1455","18:50:00","18:50:00","12048538","4",,"0","0","16744.85792490",1
"RTD6919448","10:15:00","10:15:00","12048538","1",,"0","0","0.00880590",1
"RTD6919448","10:30:00","10:30:00","890001","2",,"0","0","3722.67893240",1
"RTD6919448","10:50:00","10:50:00","12030042","3",,"0","0","12686.22508460",1
"RTD6919448","11:00:00","11:00:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087450","10:35:00","10:35:00","12048538","1",,"0","0","0.00880590",1
"RTD9087450","10:50:00","10:50:00","890001","2",,"0","0","3722.67893240",1
"RTD9087450","11:05:00","11:05:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087450","11:20:00","11:20:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087410","11:00:00","11:00:00","12048538","1",,"0","0","0.00880590",1
"RTD9087410","11:15:00","11:15:00","890001","2",,"0","0","3722.67893240",1
"RTD9087410","11:35:00","11:35:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087410","11:45:00","11:45:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087456","11:15:00","11:15:00","12048538","1",,"0","0","0.00880590",1
"RTD9087456","11:30:00","11:30:00","890001","2",,"0","0","3722.67893240",1
"RTD9087456","11:45:00","11:45:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087456","12:00:00","12:00:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087458","13:00:00","13:00:00","12048538","1",,"0","0","0.00880590",1
"RTD9087458","13:15:00","13:15:00","890001","2",,"0","0","3722.67893240",1
"RTD9087458","13:30:00","13:30:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087458","13:45:00","13:45:00","12030043","4",,"0","0","14100.41474730",1
"RTD6919454","13:45:00","13:45:00","12048538","1",,"0","0","0.00880590",1
"RTD6919454","14:00:00","14:00:00","890001","2",,"0","0","3722.67893240",1
"RTD6919454","14:20:00","14:20:00","12030042","3",,"0","0","12686.22508460",1
"RTD6919454","14:35:00","14:35:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087460","14:00:00","14:00:00","12048538","1",,"0","0","0.00880590",1
"RTD9087460","14:15:00","14:15:00","890001","2",,"0","0","3722.67893240",1
"RTD9087460","14:30:00","14:30:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087460","14:45:00","14:45:00","12030043","4",,"0","0","14100.41474730",1
"RTD6919844","14:55:00","14:55:00","12048538","1",,"0","0","0.00880590",1
"RTD6919844","15:15:00","15:15:00","890001","2",,"0","0","3722.67893240",1
"RTD6919844","15:30:00","15:30:00","12030042","3",,"0","0","12686.22508460",1
"RTD6919844","15:45:00","15:45:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087462","15:50:00","15:50:00","12048538","1",,"0","0","0.00880590",1
"RTD9087462","16:05:00","16:05:00","890001","2",,"0","0","3722.67893240",1
"RTD9087462","16:20:00","16:20:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087462","16:35:00","16:35:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087464","17:20:00","17:20:00","12048538","1",,"0","0","0.00880590",1
"RTD9087464","17:35:00","17:35:00","890001","2",,"0","0","3722.67893240",1
"RTD9087464","17:50:00","17:50:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087464","18:05:00","18:05:00","12030043","4",,"0","0","14100.41474730",1
"RTD9087466","18:55:00","18:55:00","12048538","1",,"0","0","0.00880590",1
"RTD9087466","19:10:00","19:10:00","890001","2",,"0","0","3722.67893240",1
"RTD9087466","19:25:00","19:25:00","12030042","3",,"0","0","12686.22508460",1
"RTD9087466","19:40:00","19:40:00","12030043","4",,"0","0","14100.41474730",1
"RTD6919446","20:05:00","20:05:00","12048538","1",,"0","0","0.00880590",1
"RTD6919446","20:25:00","20:25:00","890001","2",,"0","0","3722.67893240",1
"RTD6919446","20:45:00","20:45:00","12030042","3",,"0","0","12686.22508460",1
"RTD6919446","20:55:00","20:55:00","12030043","4",,"0","0","14100.41474730",1
"RTD6919837","14:25:00","14:25:00","12030044","1",,"0","0","0.71770760",1
"RTD6919837","14:40:00","14:40:00","12030043","2",,"0","0","1503.78033220",1
"RTD6919837","15:05:00","15:05:00","890001","3",,"0","0","11742.55358440",1
"RTD6919840","15:35:00","15:35:00","12030044","1",,"0","0","0.71770760",1
"RTD6919840","15:50:00","15:50:00","12030043","2",,"0","0","1503.78033220",1
"RTD6919840","16:20:00","16:20:00","890001","3",,"0","0","11742.55358440",1
"RTD6919455","16:50:00","16:50:00","12030044","1",,"0","0","0.71770760",1
"RTD6919455","17:05:00","17:05:00","12030043","2",,"0","0","1503.78033220",1
"RTD6919455","17:30:00","17:30:00","890001","3",,"0","0","11742.55358440",1
"RTD6919457","17:40:00","17:40:00","12030044","1",,"0","0","0.71770760",1
"RTD6919457","17:55:00","17:55:00","12030043","2",,"0","0","1503.78033220",1
"RTD6919457","18:20:00","18:20:00","890001","3",,"0","0","11742.55358440",1
