service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
17DECEMBER-FerryMVS-Weekday-01,1,1,1,1,1,0,0,20171211,20180309
17DECEMBER-Larkspur-Saturday-02,0,0,0,0,0,1,0,20171216,20180310
17DECEMBER-FerryMVS-Sunday-02,0,0,0,0,0,0,1,20171217,20180304
17DECEMBER-FerryMVS-Sunday-01,0,0,0,0,0,0,1,20180115,20180115
17DECEMBER-01-WKDY-Weekday-04,1,1,1,1,1,0,0,20171211,20171211
17DECEMBER-01-WKDY-Weekday-04-FERRYon,1,1,1,1,1,0,0,20171211,20171211
17DECEMBER-01-WKDY-Weekday-04-SMARTon,1,1,1,1,1,0,0,20171211,20171211
17DECEMBER-01-WKDY-Weekday-05,1,1,1,1,1,0,0,20171212,20180309
17DECEMBER-01-WKDY-Weekday-05-FERRYon,1,1,1,1,1,0,0,20171212,20180309
17DECEMBER-01-WKDY-Weekday-05-SMARTon,1,1,1,1,1,0,0,20171212,20180309
17DECEMBER-01-SAT-Saturday-01,0,0,0,0,0,1,0,20171216,20180310
17DECEMBER-01-SAT-Saturday-01-SMARTon,0,0,0,0,0,1,0,20171216,20180310
17DECEMBER-01-SUN-Sunday-01,0,0,0,0,0,0,1,20171217,20180304
17DECEMBER-01-SUN-Sunday-01-SMARTon,0,0,0,0,0,0,1,20171217,20180304
