trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
5741308,16:30:00,16:30:00,44004,1,0,0
5741308,16:40:00,16:40:00,40326,2,0,0
5741309,11:25:00,11:25:00,44004,1,0,0
5741309,11:35:00,11:35:00,40326,2,0,0
5741310,13:25:00,13:25:00,44004,1,0,0
5741310,13:35:00,13:35:00,40326,2,0,0
5741311,20:15:00,20:15:00,40326,1,0,0
5741311,20:25:00,20:25:00,44004,2,0,0
5741312,16:40:00,16:40:00,40326,1,0,0
5741312,16:50:00,16:50:00,44004,2,0,0
5741313,13:35:00,13:35:00,40326,1,0,0
5741313,13:45:00,13:45:00,44004,2,0,0
5741344,21:51:00,21:51:00,40001,1,0,0
5741344,21:53:00,21:53:00,42206,2,0,1
5741344,21:54:00,21:54:00,42207,3,0,1
5741344,21:56:00,21:56:00,42208,4,0,1
5741344,21:58:00,21:58:00,42209,5,0,1
5741344,22:01:00,22:01:00,40019,6,0,1
5741344,22:02:00,22:02:00,40022,7,0,1
5741344,22:04:00,22:04:00,40024,8,0,1
5741344,22:05:00,22:05:00,42243,9,0,1
5741344,22:06:00,22:06:00,42244,10,0,1
5741344,22:06:00,22:06:00,40028,11,0,1
5741344,22:07:00,22:07:00,40030,12,0,1
5741344,22:08:00,22:08:00,40078,13,0,1
5741344,22:09:00,22:09:00,40032,14,0,1
5741344,22:12:00,22:12:00,40034,15,0,1
5741344,22:14:00,22:14:00,40036,16,0,0
5741344,22:21:00,22:21:00,40038,17,0,0
5741344,22:27:00,22:27:00,40111,18,0,0
5741344,22:28:00,22:28:00,40112,19,0,0
5741344,22:34:00,22:36:00,40113,21,0,0
5741344,22:40:00,22:40:00,40188,22,0,0
5741344,22:43:00,22:43:00,40170,23,0,0
5741344,22:46:00,22:46:00,40296,24,0,0
5741344,22:49:00,22:49:00,40268,25,0,0
5741344,22:55:00,23:00:00,44006,27,0,0
5741344,23:05:00,23:05:00,40582,28,0,0
5741344,23:07:00,23:07:00,42027,29,0,0
5741344,23:09:00,23:09:00,40607,30,0,0
5741344,23:11:00,23:11:00,42032,31,0,0
5741344,23:14:00,23:14:00,42011,32,0,0
5741344,23:17:00,23:17:00,40746,33,0,0
5741344,23:21:00,23:21:00,40780,34,0,0
5741344,23:22:00,23:22:00,41098,35,0,0
5741344,23:22:00,23:22:00,40699,36,0,0
5741344,23:23:00,23:23:00,40697,37,0,0
5741344,23:25:00,23:25:00,40695,38,0,0
5741344,23:26:00,23:26:00,41051,39,0,0
5741345,18:46:00,18:46:00,40001,1,0,0
5741345,18:48:00,18:48:00,42206,2,0,1
5741345,18:49:00,18:49:00,42207,3,0,1
5741345,18:51:00,18:51:00,42208,4,0,1
5741345,18:54:00,18:54:00,42209,5,0,1
5741345,18:57:00,18:57:00,40019,6,0,1
5741345,18:58:00,18:58:00,40022,7,0,1
5741345,19:00:00,19:00:00,40024,8,0,1
5741345,19:01:00,19:01:00,42243,9,0,1
5741345,19:02:00,19:02:00,42244,10,0,1
5741345,19:02:00,19:02:00,40028,11,0,1
5741345,19:04:00,19:04:00,40030,12,0,1
5741345,19:05:00,19:05:00,40078,13,0,1
5741345,19:06:00,19:06:00,40032,14,0,1
5741345,19:09:00,19:09:00,40034,15,0,1
5741345,19:11:00,19:11:00,40036,16,0,0
5741345,19:19:00,19:19:00,40038,17,0,0
5741345,19:25:00,19:25:00,40111,18,0,0
5741345,19:26:00,19:26:00,40112,19,0,0
5741345,19:33:00,19:35:00,40113,21,0,0
5741345,19:40:00,19:40:00,40188,22,0,0
5741345,19:42:00,19:42:00,40170,23,0,0
5741345,19:46:00,19:46:00,40296,24,0,0
5741345,19:48:00,19:48:00,40268,25,0,0
5741345,19:55:00,20:00:00,44006,27,0,0
5741345,20:05:00,20:05:00,40582,28,0,0
5741345,20:07:00,20:07:00,42027,29,0,0
5741345,20:10:00,20:10:00,40607,30,0,0
5741345,20:13:00,20:13:00,42032,31,0,0
5741345,20:15:00,20:15:00,42011,32,0,0
5741345,20:19:00,20:19:00,40746,33,0,0
5741345,20:24:00,20:24:00,40780,34,0,0
5741345,20:26:00,20:26:00,41098,35,0,0
5741345,20:26:00,20:26:00,40699,36,0,0
5741345,20:27:00,20:27:00,40697,37,0,0
5741345,20:29:00,20:29:00,40695,38,0,0
5741345,20:30:00,20:30:00,41051,39,0,0
5741346,19:47:00,19:47:00,40001,1,0,0
5741346,19:49:00,19:49:00,42206,2,0,1
5741346,19:51:00,19:51:00,42207,3,0,1
5741346,19:52:00,19:52:00,42208,4,0,1
5741346,19:55:00,19:55:00,42209,5,0,1
5741346,19:59:00,19:59:00,40019,6,0,1
5741346,20:00:00,20:00:00,40022,7,0,1
5741346,20:02:00,20:02:00,40024,8,0,1
5741346,20:03:00,20:03:00,42243,9,0,1
5741346,20:04:00,20:04:00,42244,10,0,1
5741346,20:04:00,20:04:00,40028,11,0,1
5741346,20:06:00,20:06:00,40030,12,0,1
5741346,20:07:00,20:07:00,40078,13,0,1
5741346,20:08:00,20:08:00,40032,14,0,1
5741346,20:11:00,20:11:00,40034,15,0,1
5741346,20:13:00,20:13:00,40036,16,0,0
5741346,20:21:00,20:21:00,40038,17,0,0
5741346,20:27:00,20:27:00,40111,18,0,0
5741346,20:28:00,20:28:00,40112,19,0,0
5741346,20:34:00,20:36:00,40113,21,0,0
5741346,20:40:00,20:40:00,40188,22,0,0
5741346,20:43:00,20:43:00,40170,23,0,0
5741346,20:46:00,20:46:00,40296,24,0,0
5741346,20:49:00,20:49:00,40268,25,0,0
5741346,20:55:00,21:00:00,44006,27,0,0
5741346,21:05:00,21:05:00,40582,28,0,0
5741346,21:07:00,21:07:00,42027,29,0,0
5741346,21:09:00,21:09:00,40607,30,0,0
5741346,21:11:00,21:11:00,42032,31,0,0
5741346,21:14:00,21:14:00,42011,32,0,0
5741346,21:17:00,21:17:00,40746,33,0,0
5741346,21:22:00,21:22:00,40780,34,0,0
5741346,21:24:00,21:24:00,41098,35,0,0
5741346,21:24:00,21:24:00,40699,36,0,0
5741346,21:25:00,21:25:00,40697,37,0,0
5741346,21:27:00,21:27:00,40695,38,0,0
5741346,21:28:00,21:28:00,41051,39,0,0
5741347,20:48:00,20:48:00,40001,1,0,0
5741347,20:50:00,20:50:00,42206,2,0,1
5741347,20:51:00,20:51:00,42207,3,0,1
5741347,20:53:00,20:53:00,42208,4,0,1
5741347,20:56:00,20:56:00,42209,5,0,1
5741347,20:59:00,20:59:00,40019,6,0,1
5741347,21:00:00,21:00:00,40022,7,0,1
5741347,21:02:00,21:02:00,40024,8,0,1
5741347,21:03:00,21:03:00,42243,9,0,1
5741347,21:04:00,21:04:00,42244,10,0,1
5741347,21:04:00,21:04:00,40028,11,0,1
5741347,21:06:00,21:06:00,40030,12,0,1
5741347,21:07:00,21:07:00,40078,13,0,1
5741347,21:08:00,21:08:00,40032,14,0,1
5741347,21:11:00,21:11:00,40034,15,0,1
5741347,21:13:00,21:13:00,40036,16,0,0
5741347,21:21:00,21:21:00,40038,17,0,0
5741347,21:27:00,21:27:00,40111,18,0,0
5741347,21:28:00,21:28:00,40112,19,0,0
5741347,21:34:00,21:36:00,40113,21,0,0
5741347,21:40:00,21:40:00,40188,22,0,0
5741347,21:43:00,21:43:00,40170,23,0,0
5741347,21:46:00,21:46:00,40296,24,0,0
5741347,21:49:00,21:49:00,40268,25,0,0
5741347,21:55:00,22:00:00,44006,27,0,0
5741347,22:05:00,22:05:00,40582,28,0,0
5741347,22:07:00,22:07:00,42027,29,0,0
5741347,22:09:00,22:09:00,40607,30,0,0
5741347,22:11:00,22:11:00,42032,31,0,0
5741347,22:14:00,22:14:00,42011,32,0,0
5741347,22:17:00,22:17:00,40746,33,0,0
5741347,22:21:00,22:21:00,40780,34,0,0
5741347,22:22:00,22:22:00,41098,35,0,0
5741347,22:22:00,22:22:00,40699,36,0,0
5741347,22:23:00,22:23:00,40697,37,0,0
5741347,22:25:00,22:25:00,40695,38,0,0
5741347,22:26:00,22:26:00,41051,39,0,0
5741348,05:01:00,05:01:00,41051,1,0,0
5741348,05:03:00,05:03:00,40694,2,0,0
5741348,05:05:00,05:05:00,40696,3,0,0
5741348,05:06:00,05:06:00,40698,4,0,0
5741348,05:06:00,05:06:00,41099,5,0,0
5741348,05:08:00,05:08:00,40779,6,0,0
5741348,05:11:00,05:11:00,42114,7,0,0
5741348,05:14:00,05:14:00,40773,8,0,0
5741348,05:16:00,05:16:00,42113,9,0,0
5741348,05:18:00,05:18:00,40606,10,0,0
5741348,05:19:00,05:19:00,42112,11,0,0
5741348,05:21:00,05:21:00,40581,12,0,0
5741348,05:25:00,05:30:00,44002,14,0,0
5741348,05:35:00,05:35:00,40267,15,0,0
5741348,05:36:00,05:36:00,40295,16,0,0
5741348,05:39:00,05:39:00,40164,17,0,0
5741348,05:41:00,05:41:00,40187,18,0,0
5741348,05:44:00,05:46:00,44113,20,0,0
5741348,05:52:00,05:52:00,40110,21,0,0
5741348,06:02:00,06:02:00,40037,22,0,0
5741348,06:07:00,06:07:00,40035,23,0,0
5741348,06:09:00,06:09:00,40033,24,1,0
5741348,06:11:00,06:11:00,40031,25,1,0
5741348,06:12:00,06:12:00,42246,26,1,0
5741348,06:13:00,06:13:00,40029,27,1,0
5741348,06:13:00,06:13:00,40027,28,1,0
5741348,06:14:00,06:14:00,40025,29,1,0
5741348,06:14:00,06:14:00,42245,30,1,0
5741348,06:15:00,06:15:00,40023,31,1,0
5741348,06:16:00,06:16:00,40021,32,1,0
5741348,06:17:00,06:17:00,40083,33,1,0
5741348,06:19:00,06:19:00,42210,34,1,0
5741348,06:20:00,06:20:00,42200,35,1,0
5741348,06:22:00,06:22:00,42201,36,1,0
5741348,06:23:00,06:23:00,42202,37,1,0
5741348,06:24:00,06:24:00,41191,38,1,0
5741348,06:25:00,06:25:00,42203,39,1,0
5741348,06:27:00,06:27:00,42204,40,1,0
5741348,06:29:00,06:29:00,42225,41,0,0
5741349,05:59:00,05:59:00,41051,1,0,0
5741349,06:01:00,06:01:00,40694,2,0,0
5741349,06:03:00,06:03:00,40696,3,0,0
5741349,06:04:00,06:04:00,40698,4,0,0
5741349,06:04:00,06:04:00,41099,5,0,0
5741349,06:06:00,06:06:00,40779,6,0,0
5741349,06:10:00,06:10:00,42114,7,0,0
5741349,06:13:00,06:13:00,40773,8,0,0
5741349,06:15:00,06:15:00,42113,9,0,0
5741349,06:17:00,06:17:00,40606,10,0,0
5741349,06:19:00,06:19:00,42112,11,0,0
5741349,06:21:00,06:21:00,40581,12,0,0
5741349,06:25:00,06:30:00,44002,14,0,0
5741349,06:35:00,06:35:00,40267,15,0,0
5741349,06:37:00,06:37:00,40295,16,0,0
5741349,06:40:00,06:40:00,40164,17,0,0
5741349,06:42:00,06:42:00,40187,18,0,0
5741349,06:45:00,06:47:00,44113,20,0,0
5741349,06:53:00,06:53:00,40110,21,0,0
5741349,07:03:00,07:03:00,40037,22,0,0
5741349,07:08:00,07:08:00,40035,23,0,0
5741349,07:10:00,07:10:00,40033,24,1,0
5741349,07:12:00,07:12:00,40031,25,1,0
5741349,07:13:00,07:13:00,42246,26,1,0
5741349,07:14:00,07:14:00,40029,27,1,0
5741349,07:14:00,07:14:00,40027,28,1,0
5741349,07:15:00,07:15:00,40025,29,1,0
5741349,07:15:00,07:15:00,42245,30,1,0
5741349,07:16:00,07:16:00,40023,31,1,0
5741349,07:17:00,07:17:00,40021,32,1,0
5741349,07:18:00,07:18:00,40083,33,1,0
5741349,07:20:00,07:20:00,42210,34,1,0
5741349,07:21:00,07:21:00,42200,35,1,0
5741349,07:23:00,07:23:00,42201,36,1,0
5741349,07:24:00,07:24:00,42202,37,1,0
5741349,07:25:00,07:25:00,41191,38,1,0
5741349,07:26:00,07:26:00,42203,39,1,0
5741349,07:28:00,07:28:00,42204,40,1,0
5741349,07:30:00,07:30:00,42225,41,0,0
5741350,06:59:00,06:59:00,41051,1,0,0
5741350,07:01:00,07:01:00,40694,2,0,0
5741350,07:03:00,07:03:00,40696,3,0,0
5741350,07:04:00,07:04:00,40698,4,0,0
5741350,07:04:00,07:04:00,41099,5,0,0
5741350,07:06:00,07:06:00,40779,6,0,0
5741350,07:10:00,07:10:00,42114,7,0,0
5741350,07:13:00,07:13:00,40773,8,0,0
5741350,07:15:00,07:15:00,42113,9,0,0
5741350,07:17:00,07:17:00,40606,10,0,0
5741350,07:19:00,07:19:00,42112,11,0,0
5741350,07:21:00,07:21:00,40581,12,0,0
5741350,07:25:00,07:30:00,44002,14,0,0
5741350,07:35:00,07:35:00,40267,15,0,0
5741350,07:37:00,07:37:00,40295,16,0,0
5741350,07:40:00,07:40:00,40164,17,0,0
5741350,07:42:00,07:42:00,40187,18,0,0
5741350,07:45:00,07:47:00,44113,20,0,0
5741350,07:53:00,07:53:00,40110,21,0,0
5741350,08:04:00,08:04:00,40037,22,0,0
5741350,08:10:00,08:10:00,40035,23,0,0
5741350,08:12:00,08:12:00,40033,24,1,0
5741350,08:15:00,08:15:00,40031,25,1,0
5741350,08:16:00,08:16:00,42246,26,1,0
5741350,08:16:00,08:16:00,40029,27,1,0
5741350,08:17:00,08:17:00,40027,28,1,0
5741350,08:18:00,08:18:00,40025,29,1,0
5741350,08:18:00,08:18:00,42245,30,1,0
5741350,08:19:00,08:19:00,40023,31,1,0
5741350,08:20:00,08:20:00,40021,32,1,0
5741350,08:21:00,08:21:00,40083,33,1,0
5741350,08:23:00,08:23:00,42210,34,1,0
5741350,08:24:00,08:24:00,42200,35,1,0
5741350,08:26:00,08:26:00,42201,36,1,0
5741350,08:27:00,08:27:00,42202,37,1,0
5741350,08:28:00,08:28:00,41191,38,1,0
5741350,08:29:00,08:29:00,42203,39,1,0
5741350,08:31:00,08:31:00,42204,40,1,0
5741350,08:33:00,08:33:00,42225,41,0,0
5741351,07:44:00,07:44:00,40001,1,0,0
5741351,07:46:00,07:46:00,42206,2,0,1
5741351,07:47:00,07:47:00,42207,3,0,1
5741351,07:49:00,07:49:00,42208,4,0,1
5741351,07:51:00,07:51:00,42209,5,0,1
5741351,07:54:00,07:54:00,40019,6,0,1
5741351,07:55:00,07:55:00,40022,7,0,1
5741351,07:57:00,07:57:00,40024,8,0,1
5741351,07:58:00,07:58:00,42243,9,0,1
5741351,07:59:00,07:59:00,42244,10,0,1
5741351,08:00:00,08:00:00,40028,11,0,1
5741351,08:01:00,08:01:00,40030,12,0,1
5741351,08:03:00,08:03:00,40078,13,0,1
5741351,08:03:00,08:03:00,40032,14,0,1
5741351,08:07:00,08:07:00,40034,15,0,1
5741351,08:10:00,08:10:00,40036,16,0,0
5741351,08:19:00,08:19:00,40038,17,0,0
5741351,08:26:00,08:26:00,40111,18,0,0
5741351,08:27:00,08:27:00,40112,19,0,0
5741351,08:33:00,08:35:00,40113,21,0,0
5741351,08:40:00,08:40:00,40188,22,0,0
5741351,08:42:00,08:42:00,40170,23,0,0
5741351,08:46:00,08:46:00,40296,24,0,0
5741351,08:48:00,08:48:00,40268,25,0,0
5741351,08:55:00,09:00:00,44006,27,0,0
5741351,09:06:00,09:06:00,40582,28,0,0
5741351,09:08:00,09:08:00,42027,29,0,0
5741351,09:11:00,09:11:00,40607,30,0,0
5741351,09:13:00,09:13:00,42032,31,0,0
5741351,09:16:00,09:16:00,42011,32,0,0
5741351,09:20:00,09:20:00,40746,33,0,0
5741351,09:24:00,09:24:00,40780,34,0,0
5741351,09:26:00,09:26:00,41098,35,0,0
5741351,09:26:00,09:26:00,40699,36,0,0
5741351,09:27:00,09:27:00,40697,37,0,0
5741351,09:29:00,09:29:00,40695,38,0,0
5741351,09:30:00,09:30:00,41051,39,0,0
5741352,08:44:00,08:44:00,40001,1,0,0
5741352,08:46:00,08:46:00,42206,2,0,1
5741352,08:47:00,08:47:00,42207,3,0,1
5741352,08:49:00,08:49:00,42208,4,0,1
5741352,08:52:00,08:52:00,42209,5,0,1
5741352,08:55:00,08:55:00,40019,6,0,1
5741352,08:56:00,08:56:00,40022,7,0,1
5741352,08:58:00,08:58:00,40024,8,0,1
5741352,08:59:00,08:59:00,42243,9,0,1
5741352,09:00:00,09:00:00,42244,10,0,1
5741352,09:01:00,09:01:00,40028,11,0,1
5741352,09:02:00,09:02:00,40030,12,0,1
5741352,09:03:00,09:03:00,40078,13,0,1
5741352,09:04:00,09:04:00,40032,14,0,1
5741352,09:07:00,09:07:00,40034,15,0,1
5741352,09:10:00,09:10:00,40036,16,0,0
5741352,09:18:00,09:18:00,40038,17,0,0
5741352,09:25:00,09:25:00,40111,18,0,0
5741352,09:26:00,09:26:00,40112,19,0,0
5741352,09:33:00,09:35:00,40113,21,0,0
5741352,09:40:00,09:40:00,40188,22,0,0
5741352,09:42:00,09:42:00,40170,23,0,0
5741352,09:46:00,09:46:00,40296,24,0,0
5741352,09:48:00,09:48:00,40268,25,0,0
5741352,09:55:00,10:00:00,44006,27,0,0
5741352,10:05:00,10:05:00,40582,28,0,0
5741352,10:07:00,10:07:00,42027,29,0,0
5741352,10:10:00,10:10:00,40607,30,0,0
5741352,10:12:00,10:12:00,42032,31,0,0
5741352,10:15:00,10:15:00,42011,32,0,0
5741352,10:18:00,10:18:00,40746,33,0,0
5741352,10:23:00,10:23:00,40780,34,0,0
5741352,10:25:00,10:25:00,41098,35,0,0
5741352,10:26:00,10:26:00,40699,36,0,0
5741352,10:27:00,10:27:00,40697,37,0,0
5741352,10:29:00,10:29:00,40695,38,0,0
5741352,10:30:00,10:30:00,41051,39,0,0
5741353,06:54:00,06:54:00,40001,1,0,0
5741353,06:56:00,06:56:00,42206,2,0,1
5741353,06:57:00,06:57:00,42207,3,0,1
5741353,06:58:00,06:58:00,42208,4,0,1
5741353,07:00:00,07:00:00,42209,5,0,1
5741353,07:02:00,07:02:00,40019,6,0,1
5741353,07:03:00,07:03:00,40022,7,0,1
5741353,07:05:00,07:05:00,40024,8,0,1
5741353,07:06:00,07:06:00,42243,9,0,1
5741353,07:06:00,07:06:00,42244,10,0,1
5741353,07:07:00,07:07:00,40028,11,0,1
5741353,07:08:00,07:08:00,40030,12,0,1
5741353,07:09:00,07:09:00,40078,13,0,1
5741353,07:09:00,07:09:00,40032,14,0,1
5741353,07:12:00,07:12:00,40034,15,0,1
5741353,07:14:00,07:14:00,40036,16,0,0
5741353,07:20:00,07:20:00,40038,17,0,0
5741353,07:27:00,07:27:00,40111,18,0,0
5741353,07:28:00,07:28:00,40112,19,0,0
5741353,07:33:00,07:35:00,40113,21,0,0
5741353,07:40:00,07:40:00,40188,22,0,0
5741353,07:42:00,07:42:00,40170,23,0,0
5741353,07:46:00,07:46:00,40296,24,0,0
5741353,07:48:00,07:48:00,40268,25,0,0
5741353,07:55:00,08:00:00,44006,27,0,0
5741353,08:06:00,08:06:00,40582,28,0,0
5741353,08:08:00,08:08:00,42027,29,0,0
5741353,08:11:00,08:11:00,40607,30,0,0
5741353,08:13:00,08:13:00,42032,31,0,0
5741353,08:16:00,08:16:00,42011,32,0,0
5741353,08:20:00,08:20:00,40746,33,0,0
5741353,08:24:00,08:24:00,40780,34,0,0
5741353,08:26:00,08:26:00,41098,35,0,0
5741353,08:26:00,08:26:00,40699,36,0,0
5741353,08:27:00,08:27:00,40697,37,0,0
5741353,08:29:00,08:29:00,40695,38,0,0
