timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,2436127,1,Skyline & Union,12/Avenal
1,2436100,2,Milham & Becky Pease,12/Avenal
1,2436099,3,Milham @ Housing Authority,12/Avenal
1,2436098,4,3rd & Milham,12/Avenal
1,2436097,5,3rd & General Petroleum,12/Avenal
1,2436096,6,General Petroleum & 5th,12/Avenal
1,2436095,7,General Petroleum @ Elementary School,12/Avenal
1,2436094,8,Becky Pease & Standard Oil,12/Avenal
1,2436088,9,Main @ Grain Mill,12/Avenal
1,2436027,10,Main & Empire,12/Avenal
1,2436087,11,1st & Empire,12/Avenal
1,2436086,12,1st & Railroad,12/Avenal
1,2436107,13,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
1,2436083,14,West Hills College,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
1,2436106,15,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
1,2435945,16,Bush across  Kings River Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435849,17,Bush @ Davita Dialysis,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436085,18,19th & Bush,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435944,19,19th & Cypress,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436084,20,19th @ Lemoore Soccer Complex,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
1,2436007,21,Hanford Armona & Bennigton,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435943,22,Hanford Armona @ K Mart,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435937,23,Hanford Armona @ Country Club Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435936,24,Hanford Armona across Park Place Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435935,25,Hanford Armona & Cinnamon,"12/Avenal, 20/Hanford - Armona - Lemoore, 30/Lemoore - North"
1,2435934,26,Hanford Armona @ Westberry Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435933,27,Hanford Armona & 16th,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436082,28,Hanford Armona & 15th,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2435931,29,Front & Hanford Armona Rd,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436137,30,Front @ Club Armona,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436077,31,14th & Hanford Armona,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436026,32,14th & Highway 198,"12/Avenal, 20/Hanford - Armona - Lemoore"
1,2436081,33,Centennial @ Walmart,12/Avenal
1,2436036,34,Lacey & Centennial,"12/Avenal, 14/Laton, 7/Red Line"
1,2435930,35,Lacey @ Hanford Mall,"12/Avenal, 14/Laton, 7/Red Line"
1,2435929,36,Lacey @ Cancer Center,"12/Avenal, 14/Laton, 7/Red Line"
1,2436035,37,Lacey @ Chubby's,"12/Avenal, 14/Laton, 7/Red Line"
1,2436034,38,Lacey & Greenfield,"12/Avenal, 14/Laton, 7/Red Line"
1,2436128,39,KART Transit Center,"12/Avenal, 15/Visalia, 1/Green Line, 20/Hanford - Armona - Lemoore, 21/Lemoore NAS, 2/Orange Line, 3/Purple Line, 4/Brown Line, 5/Pink Line, 6/Blue Line, 7/Red Line, 8/Gray Line, 9/Yellow Line"
2,2436128,1,KART Transit Center,"12/Avenal, 15/Visalia, 1/Green Line, 20/Hanford - Armona - Lemoore, 21/Lemoore NAS, 2/Orange Line, 3/Purple Line, 4/Brown Line, 5/Pink Line, 6/Blue Line, 7/Red Line, 8/Gray Line, 9/Yellow Line"
2,2436125,2,Lacey @ Carl's Jr.,"12/Avenal, 14/Laton, 6/Blue Line"
2,2436124,3,Lacey @ Government Center,"12/Avenal, 14/Laton, 6/Blue Line"
2,2436123,4,Lacey & Mall Drive,"12/Avenal, 14/Laton, 6/Blue Line"
2,2436122,5,Lacey @ Centennial Plaza,"12/Avenal, 14/Laton, 6/Blue Line, 9/Yellow Line"
2,2436120,6,Centennial @ Walmart,"12/Avenal, 6/Blue Line"
2,2436119,7,14th @ Armona Fire Station,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436118,8,14th @ Armona Senior Center,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436136,9,Front @ Club Armona,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2435932,10,Hanford Armona & 15th,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436117,11,Hanford Armona & 16th,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436116,12,Hanford Armona across Westberry Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436115,13,Hanford Armona & Belinda,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2435910,14,Hanford Armona @ Park Place Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436114,15,Hanford Armona @ Pioneer Square,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436113,16,18th @ Pizza Hut,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436112,17,18th & D,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436111,18,Bush & Follett,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436110,19,Bush @ City Park,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436109,20,Bush & Olive,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436108,21,Bush @ Kings River Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
2,2436107,22,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
2,2436083,23,West Hills College,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
2,2436106,24,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
2,2436105,25,1st & Railroad,12/Avenal
2,2436104,26,1st & Cross,12/Avenal
2,2436103,27,Empire & Main,12/Avenal
2,2436102,28,Main @ Post Office,12/Avenal
2,2436101,29,Main @ Grain Mill,12/Avenal
2,2436100,30,Milham & Becky Pease,12/Avenal
2,2436099,31,Milham @ Housing Authority,12/Avenal
2,2436098,32,3rd & Milham,12/Avenal
2,2436097,33,3rd & General Petroleum,12/Avenal
2,2436096,34,General Petroleum & 5th,12/Avenal
2,2436095,35,General Petroleum @ Elementary School,12/Avenal
2,2436094,36,Becky Pease & Standard Oil,12/Avenal
2,2436126,37,San Joaquin & Union,12/Avenal
2,2436093,38,San Joaquin & 5th,12/Avenal
2,2436092,39,San Joaquin & 2nd,12/Avenal
2,2436091,40,San Joaquin & Thurston,12/Avenal
2,2436090,41,Skyline @ Circle K,12/Avenal
2,2436089,42,Skyline @ State Supermarket,12/Avenal
2,2436127,43,Skyline & Union,12/Avenal
3,2436127,1,Skyline & Union,12/Avenal
3,2436100,2,Milham & Becky Pease,12/Avenal
3,2436099,3,Milham @ Housing Authority,12/Avenal
3,2436098,4,3rd & Milham,12/Avenal
3,2436097,5,3rd & General Petroleum,12/Avenal
3,2436096,6,General Petroleum & 5th,12/Avenal
3,2436095,7,General Petroleum @ Elementary School,12/Avenal
3,2436094,8,Becky Pease & Standard Oil,12/Avenal
3,2436088,9,Main @ Grain Mill,12/Avenal
3,2436027,10,Main & Empire,12/Avenal
3,2436087,11,1st & Empire,12/Avenal
3,2436086,12,1st & Railroad,12/Avenal
3,2436107,13,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
3,2436083,14,West Hills College,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
3,2436106,15,Bush & Belle Haven,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
3,2435945,16,Bush across  Kings River Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435849,17,Bush @ Davita Dialysis,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436085,18,19th & Bush,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435944,19,19th & Cypress,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436084,20,19th @ Lemoore Soccer Complex,"12/Avenal, 20/Hanford - Armona - Lemoore, 31/Lemoore - South"
3,2436007,21,Hanford Armona & Bennigton,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435943,22,Hanford Armona @ K Mart,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435937,23,Hanford Armona @ Country Club Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435936,24,Hanford Armona across Park Place Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435935,25,Hanford Armona & Cinnamon,"12/Avenal, 20/Hanford - Armona - Lemoore, 30/Lemoore - North"
3,2435934,26,Hanford Armona @ Westberry Apartments,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435933,27,Hanford Armona & 16th,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436082,28,Hanford Armona & 15th,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2435931,29,Front & Hanford Armona Rd,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436137,30,Front @ Club Armona,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436077,31,14th & Hanford Armona,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436026,32,14th & Highway 198,"12/Avenal, 20/Hanford - Armona - Lemoore"
3,2436081,33,Centennial @ Walmart,12/Avenal
3,2436036,34,Lacey & Centennial,"12/Avenal, 14/Laton, 7/Red Line"
3,2435930,35,Lacey @ Hanford Mall,"12/Avenal, 14/Laton, 7/Red Line"
3,2435929,36,Lacey @ Cancer Center,"12/Avenal, 14/Laton, 7/Red Line"
3,2436035,37,Lacey @ Chubby's,"12/Avenal, 14/Laton, 7/Red Line"
3,2436034,38,Lacey & Greenfield,"12/Avenal, 14/Laton, 7/Red Line"
