trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
CSHTLiT,00:00:00,00:00:00,CBC,1,To Terminals,0,1,,0
CSHTLiT,,,T1USHTL,2,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,,,T2USHTL,3,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,,,T3USHTL,4,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,,,TBUSHTL,5,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,,,T4USHTL,6,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,,,T5USHTL,7,C Shuttle To LAX Terminals,1,0,,0
CSHTLiT,00:10:00,00:10:00,T6USHTL,8,C Shuttle To LAX Terminals,1,0,,0
CSHTLoT,00:00:00,00:00:00,T1LSHTL,1,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T2LSHTL,2,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T3LSHTL,3,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,TBLSHTL,4,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T4LSHTL,5,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T5LSHTL,6,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T6LSHTL,7,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,,,T7LSHTL,8,C Shuttle To City Bus Center,0,1,,0
CSHTLoT,00:10:00,00:10:00,CBC,9,C Shuttle To City Bus Center,1,0,,0
GSHTLiT,00:00:00,00:00:00,AVGL,1,G Shuttle To LAX Terminals,0,1,,0
GSHTLiT,,,T1USHTL,2,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T2USHTL,3,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T3USHTL,4,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,TBUSHTL,5,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T4USHTL,6,G Shuttle To LAX Terminals,1,0,,0
GSHTLiT,,,T5USHTL,7,G Shuttle To LAX Terminals,1,0,,0
