route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,540235,,,0,102143,34976,0,0
1,1,540236,,,0,102143,34976,0,0
1,1,540237,,,0,102143,34976,0,0
1,1,540238,,,0,102143,34976,0,0
1,1,540239,,,0,102143,34976,0,0
1,1,540240,,,0,102143,34976,0,0
1,1,540241,,,0,102143,34976,0,0
1,1,540242,,,0,102143,34976,0,0
1,1,540243,,,0,102143,34976,0,0
1,1,540244,,,0,102143,34976,0,0
1,1,540245,,,0,102143,34976,0,0
1,1,540220,,,0,102143,34976,0,0
1,1,540221,,,0,102143,34976,0,0
1,1,540222,,,0,102143,34976,0,0
1,1,540223,,,0,102143,34976,0,0
1,1,540224,,,0,102143,34976,0,0
1,1,540225,,,0,102143,34976,0,0
1,1,540226,,,0,102143,34976,0,0
1,1,540227,,,0,102143,34976,0,0
1,1,540228,,,0,102143,34976,0,0
1,1,540229,,,0,102143,34976,0,0
1,1,540230,,,0,102143,34976,0,0
1,1,540231,,,0,102143,34976,0,0
1,1,540232,,,0,102143,34976,0,0
1,1,540233,,,0,102143,34976,0,0
1,1,540219,,,0,102143,34976,0,0
1,1,540218,,,0,102143,34976,0,0
1,1,540217,,,0,102143,34976,0,0
1,1,540216,,,0,102143,34976,0,0
1,1,540234,,,0,102143,34976,0,0
10R,1,540347,,,0,102155,34978,0,0
10R,1,540348,,,0,102156,34978,0,0
10R,1,540349,,,0,102157,34978,0,0
10R,1,540319,,,0,102152,34978,0,0
10R,1,540320,,,0,102153,34978,0,0
10R,1,540321,,,0,102154,34978,0,0
10R,1,540322,,,0,102155,34978,0,0
10R,1,540323,,,0,102156,34978,0,0
10R,1,540324,,,0,102157,34978,0,0
10R,1,540325,,,0,102152,34978,0,0
10R,1,540326,,,0,102158,34978,0,0
10R,1,540327,,,0,102153,34978,0,0
10R,1,540328,,,0,102154,34978,0,0
10R,1,540329,,,0,102155,34978,0,0
10R,1,540330,,,0,102156,34978,0,0
10R,1,540331,,,0,102157,34978,0,0
10R,1,540332,,,0,102158,34978,0,0
10R,1,540333,,,0,102153,34978,0,0
10R,1,540334,,,0,102154,34978,0,0
10R,1,540335,,,0,102155,34978,0,0
10R,1,540336,,,0,102156,34978,0,0
10R,1,540337,,,0,102157,34978,0,0
10R,1,540338,,,0,102158,34978,0,0
10R,1,540339,,,0,102153,34978,0,0
10R,1,540340,,,0,102154,34978,0,0
10R,1,540341,,,0,102155,34978,0,0
10R,1,540342,,,0,102156,34978,0,0
10R,1,540374,,,0,102157,34978,0,0
10R,1,540375,,,0,102158,34978,0,0
10R,1,540376,,,0,102153,34978,0,0
10R,1,540377,,,0,102154,34978,0,0
10R,1,540378,,,0,102155,34978,0,0
10R,1,540379,,,0,102156,34978,0,0
10R,1,540380,,,0,102157,34978,0,0
10R,1,540381,,,0,102158,34978,0,0
10R,1,540382,,,0,102153,34978,0,0
10R,1,540373,,,0,102154,34978,0,0
10R,1,540372,,,0,102155,34978,0,0
10R,1,540371,,,0,102156,34978,0,0
10R,1,540370,,,0,102157,34978,0,0
10R,1,540369,,,0,102158,34978,0,0
10R,1,540368,,,0,102159,34978,0,0
10R,1,540367,,,0,102153,34978,0,0
10R,1,540366,,,0,102154,34978,0,0
10R,1,540365,,,0,102155,34978,0,0
10R,1,540364,,,0,102156,34978,0,0
10R,1,540363,,,0,102157,34978,0,0
10R,1,540362,,,0,102158,34978,0,0
10R,1,540361,,,0,102159,34978,0,0
10R,1,540360,,,0,102153,34978,0,0
10R,1,540359,,,0,102154,34978,0,0
10R,1,540358,,,0,102155,34978,0,0
10R,1,540357,,,0,102156,34978,0,0
10R,1,540356,,,0,102157,34978,0,0
10R,1,540355,,,0,102158,34978,0,0
10R,1,540354,,,0,102159,34978,0,0
10R,1,540353,,,0,102153,34978,0,0
10R,1,540352,,,0,102155,34978,0,0
10R,1,540351,,,0,102157,34978,0,0
10R,1,540350,,,0,102159,34978,0,0
10R,1,540318,,,0,102151,34978,0,0
10R,1,540343,,,0,102157,34978,0,0
10R,1,540344,,,0,102151,34978,0,0
10R,1,540345,,,0,102157,34978,0,0
10R,1,540346,,,0,102151,34978,0,0
10R,1,540412,,,1,102155,34980,0,0
10R,1,540413,,,1,102156,34980,0,0
10R,1,540414,,,1,102157,34980,0,0
10R,1,540415,,,1,102152,34981,0,0
10R,1,540406,,,1,102153,34982,0,0
10R,1,540405,,,1,102154,34982,0,0
10R,1,540404,,,1,102155,34980,0,0
10R,1,540403,,,1,102156,34980,0,0
10R,1,540402,,,1,102157,34980,0,0
10R,1,540401,,,1,102152,34980,0,0
10R,1,540400,,,1,102158,34980,0,0
10R,1,540399,,,1,102153,34980,0,0
10R,1,540398,,,1,102154,34980,0,0
10R,1,540397,,,1,102155,34980,0,0
10R,1,540396,,,1,102156,34980,0,0
10R,1,540395,,,1,102157,34980,0,0
10R,1,540394,,,1,102158,34981,0,0
10R,1,540393,,,1,102153,34981,0,0
10R,1,540392,,,1,102154,34981,0,0
10R,1,540391,,,1,102155,34981,0,0
10R,1,540390,,,1,102156,34981,0,0
10R,1,540389,,,1,102157,34981,0,0
10R,1,540388,,,1,102158,34980,0,0
10R,1,540387,,,1,102153,34980,0,0
10R,1,540386,,,1,102154,34980,0,0
10R,1,540385,,,1,102155,34980,0,0
10R,1,540384,,,1,102156,34980,0,0
10R,1,540383,,,1,102157,34980,0,0
10R,1,540416,,,1,102158,34980,0,0
10R,1,540417,,,1,102153,34980,0,0
10R,1,540418,,,1,102154,34980,0,0
10R,1,540419,,,1,102155,34980,0,0
10R,1,540420,,,1,102156,34980,0,0
10R,1,540421,,,1,102157,34980,0,0
10R,1,540422,,,1,102158,34980,0,0
10R,1,540423,,,1,102153,34980,0,0
10R,1,540424,,,1,102154,34980,0,0
10R,1,540425,,,1,102155,34980,0,0
10R,1,540426,,,1,102156,34980,0,0
10R,1,540427,,,1,102157,34980,0,0
10R,1,540428,,,1,102158,34980,0,0
10R,1,540429,,,1,102159,34980,0,0
10R,1,540430,,,1,102153,34980,0,0
10R,1,540431,,,1,102154,34980,0,0
10R,1,540432,,,1,102155,34980,0,0
10R,1,540433,,,1,102156,34980,0,0
10R,1,540434,,,1,102157,34980,0,0
10R,1,540435,,,1,102158,34980,0,0
10R,1,540436,,,1,102159,34980,0,0
10R,1,540437,,,1,102153,34980,0,0
10R,1,540438,,,1,102154,34980,0,0
10R,1,540439,,,1,102155,34980,0,0
10R,1,540440,,,1,102156,34980,0,0
10R,1,540441,,,1,102157,34980,0,0
10R,1,540407,,,1,102158,34980,0,0
10R,1,540442,,,1,102159,34980,0,0
10R,1,540443,,,1,102153,34980,0,0
10R,1,540444,,,1,102155,34980,0,0
10R,1,540445,,,1,102157,34980,0,0
10R,1,540446,,,1,102159,34980,0,0
10R,1,540408,,,1,102157,34980,0,0
10R,1,540409,,,1,102151,34980,0,0
10R,1,540410,,,1,102157,34980,0,0
10R,1,540411,,,1,102151,34980,0,0
11,1,540837,,,0,102182,34983,0,0
11,1,540836,,,0,102182,34983,0,0
11,1,540835,,,0,102182,34983,0,0
11,1,540832,,,0,102181,34983,0,0
11,1,540834,,,0,102181,34983,0,0
11,1,540833,,,0,102181,34983,0,0
11,1,540838,,,1,102182,34984,0,0
11,1,540839,,,1,102182,34984,0,0
11,1,540843,,,1,102182,34984,0,0
11,1,540840,,,1,102181,34984,0,0
11,1,540841,,,1,102181,34984,0,0
11,1,540842,,,1,102181,34984,0,0
14,1,540856,,,0,102185,34985,0,0
14,1,540857,,,0,102186,34985,0,0
14,1,540858,,,0,102187,34985,0,0
14,1,540859,,,0,102185,34985,0,0
14,1,540860,,,0,102186,34985,0,0
14,1,540861,,,0,102185,34985,0,0
14,1,540862,,,0,102186,34985,0,0
14,1,540863,,,0,102185,34985,0,0
14,1,540864,,,0,102186,34985,0,0
14,1,540865,,,0,102185,34985,0,0
14,1,540866,,,0,102186,34985,0,0
14,1,540867,,,0,102185,34985,0,0
14,1,540868,,,0,102186,34985,0,0
14,1,540869,,,0,102188,34985,0,0
14,1,540870,,,0,102185,34985,0,0
14,1,540871,,,0,102186,34985,0,0
14,1,540872,,,0,102188,34985,0,0
14,1,540873,,,0,102185,34985,0,0
14,1,540874,,,0,102186,34985,0,0
14,1,540875,,,0,102185,34985,0,0
14,1,540876,,,0,102186,34985,0,0
14,1,540877,,,1,102185,34988,0,0
14,1,540878,,,1,102186,34989,0,0
14,1,540879,,,1,102187,34989,0,0
14,1,540880,,,1,102185,34989,0,0
14,1,540881,,,1,102186,34989,0,0
14,1,540882,,,1,102187,34989,0,0
14,1,540883,,,1,102185,34989,0,0
14,1,540884,,,1,102186,34989,0,0
14,1,540885,,,1,102185,34989,0,0
14,1,540886,,,1,102186,34989,0,0
14,1,540887,,,1,102185,34989,0,0
14,1,540898,,,1,102186,34989,0,0
14,1,540897,,,1,102185,34989,0,0
14,1,540896,,,1,102186,34989,0,0
14,1,540895,,,1,102185,34989,0,0
14,1,540894,,,1,102186,34989,0,0
14,1,540893,,,1,102188,34989,0,0
14,1,540892,,,1,102185,34989,0,0
14,1,540891,,,1,102186,34989,0,0
14,1,540890,,,1,102185,34989,0,0
14,1,540889,,,1,102186,34989,0,0
14,1,540888,,,1,102185,34989,0,0
15,1,541078,,,0,102196,34992,0,0
15,1,541079,,,0,102195,34992,0,0
15,1,541080,,,0,102196,34992,0,0
15,1,541081,,,0,102195,34992,0,0
15,1,541082,,,0,102196,34992,0,0
15,1,541083,,,0,102195,34992,0,0
15,1,541084,,,0,102196,34992,0,0
15,1,541085,,,0,102195,34992,0,0
15,1,541086,,,0,102196,34992,0,0
15,1,541077,,,0,102195,34992,0,0
15,1,541076,,,0,102196,34992,0,0
15,1,541075,,,0,102195,34992,0,0
15,1,541074,,,0,102196,34992,0,0
15,1,541073,,,0,102195,34992,0,0
15,1,541072,,,0,102196,34992,0,0
15,1,541071,,,0,102195,34992,0,0
15,1,541070,,,0,102196,34992,0,0
15,1,541069,,,0,102195,34992,0,0
15,1,541068,,,0,102196,34992,0,0
15,1,541067,,,0,102195,34992,0,0
15,1,541066,,,0,102196,34992,0,0
15,1,541065,,,0,102195,34992,0,0
15,1,541064,,,0,102196,34992,0,0
15,1,541063,,,0,102195,34992,0,0
15,1,541062,,,0,102196,34992,0,0
15,1,541061,,,0,102195,34992,0,0
15,1,541060,,,0,102196,34992,0,0
15,1,541059,,,0,102195,34992,0,0
15,1,541057,,,0,102196,34992,0,0
15,1,541058,,,0,102195,34992,0,0
15,1,541056,,,0,102195,34992,0,0
15,1,541055,,,0,102195,34992,0,0
15,1,541054,,,0,102195,34992,0,0
2,1,541185,,,0,102204,34997,0,0
2,1,541186,,,0,102204,34997,0,0
2,1,541187,,,0,102204,34997,0,0
2,1,541190,,,0,102203,34995,0,0
2,1,541188,,,0,102203,34997,0,0
2,1,541189,,,0,102203,34997,0,0
2,1,541191,,,0,102203,34997,0,0
2,1,541184,,,0,102203,34996,0,0
20X,1,541201,,,0,102207,34998,0,0
20X,1,541202,,,0,102208,34998,0,0
20X,1,541203,,,1,102209,34999,0,0
20X,1,541204,,,1,102210,34999,0,0
3,1,541210,,,0,102151,35000,0,0
3,1,541211,,,0,102216,35000,0,0
3,1,541212,,,0,102217,35000,0,0
3,1,541213,,,0,102218,35000,0,0
3,1,541214,,,0,102151,35000,0,0
3,1,541215,,,0,102216,35001,0,0
3,1,541216,,,0,102217,35001,0,0
3,1,541217,,,0,102151,35001,0,0
3,1,541218,,,0,102217,35001,0,0
3,1,541219,,,0,102151,35000,0,0
3,1,541220,,,0,102217,35000,0,0
3,1,541221,,,0,102151,35000,0,0
3,1,541209,,,0,102215,35000,0,0
3,1,541222,,,0,102217,35000,0,0
3,1,541223,,,0,102219,35000,0,0
3,1,541224,,,0,102151,35000,0,0
3,1,541225,,,0,102215,35000,0,0
3,1,541226,,,0,102217,35000,0,0
3,1,541227,,,0,102219,35000,0,0
3,1,541228,,,0,102151,35001,0,0
3,1,541229,,,0,102215,35001,0,0
3,1,541230,,,0,102217,35001,0,0
3,1,541231,,,0,102151,35001,0,0
3,1,541232,,,0,102157,35001,0,0
3,1,541233,,,0,102151,35001,0,0
3,1,541234,,,0,102157,35001,0,0
3,1,541235,,,0,102151,35001,0,0
3,1,541236,,,1,102151,35003,0,0
3,1,541237,,,1,102216,35003,0,0
3,1,541238,,,1,102217,35003,0,0
3,1,541239,,,1,102218,35003,0,0
3,1,541240,,,1,102151,35003,0,0
3,1,541241,,,1,102216,35004,0,0
3,1,541242,,,1,102217,35004,0,0
3,1,541243,,,1,102151,35004,0,0
3,1,541244,,,1,102217,35004,0,0
3,1,541245,,,1,102151,35003,0,0
3,1,541246,,,1,102217,35003,0,0
3,1,541247,,,1,102151,35003,0,0
3,1,541248,,,1,102215,35003,0,0
3,1,541260,,,1,102217,35003,0,0
3,1,541249,,,1,102219,35003,0,0
3,1,541261,,,1,102151,35003,0,0
3,1,541250,,,1,102215,35003,0,0
3,1,541262,,,1,102217,35003,0,0
3,1,541251,,,1,102219,35003,0,0
3,1,541252,,,1,102151,35004,0,0
3,1,541253,,,1,102215,35004,0,0
3,1,541254,,,1,102217,35004,0,0
3,1,541255,,,1,102151,35004,0,0
3,1,541256,,,1,102157,35004,0,0
3,1,541257,,,1,102151,35004,0,0
3,1,541258,,,1,102157,35004,0,0
3,1,541259,,,1,102151,35004,0,0
30R,1,541514,,,0,102239,35006,0,0
30R,1,541457,,,0,102233,35006,0,0
30R,1,541458,,,0,102234,35006,0,0
