service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AUG17-AUG17-Sunday-81,0,0,0,0,0,0,1,20170820,20180204
AUG17-AUG17-Weekday-81,1,1,1,1,1,0,0,20170821,20170825
AUG17-AUG17-Saturday-81,0,0,0,0,0,1,0,20170826,20180203
AUG17-AUG17-Sunday-82,0,0,0,0,0,0,1,20170827,20170827
AUG17-AUG17-Weekday-84,1,1,1,1,1,0,0,20170828,20170829
AUG17-AUG17-Weekday-85,1,1,1,1,1,0,0,20170830,20180129
AUG17-AUG17-Weekday-82,1,1,1,1,1,0,0,20170831,20180208
AUG17-AUG17-Weekday-83,1,1,1,1,1,0,0,20170901,20180209
AUG17-AUG17-Saturday-83,0,0,0,0,0,1,0,20170902,20170902
AUG17-AUG17-Saturday-82,0,0,0,0,0,1,0,20170916,20170916
AUG17-AUG17-Sunday-84,0,0,0,0,0,0,1,20170917,20171001
AUG17-AUG17-Sunday-85,0,0,0,0,0,0,1,20170924,20171022
AUG17-AUG17-Sunday-83,0,0,0,0,0,0,1,20171015,20171015
AUG17-AUG17-Weekday-86,1,1,1,1,1,0,0,20171103,20171117
AUG17-AUG17-Saturday-61,0,0,0,0,0,1,0,20171118,20180106
AUG17-AUG17-Sunday-61,0,0,0,0,0,0,1,20171119,20180107
AUG17-AUG17-Weekday-61,1,1,1,1,1,0,0,20171120,20180105
AUG17-AUG17-Sunday-69,0,0,0,0,0,0,1,20171123,20180101
AUG17-AUG17-Weekday-62,1,1,1,1,1,0,0,20171127,20171221
AUG17-AUG17-Weekday-63,1,1,1,1,1,0,0,20171201,20171215
AUG17-AUG17-Sunday-64,0,0,0,0,0,0,1,20171203,20171210
AUG17-AUG17-Weekday-66,1,1,1,1,1,0,0,20171222,20171222
AUG17-AUG17-Sunday-60,0,0,0,0,0,0,1,20171231,20171231
AUG17-AUG17-Saturday-85,0,0,0,0,0,1,0,20180210,20180210
