shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10029,33.8669166678,-118.254834461,10001
10029,33.8669456801,-118.253847337,10002
10029,33.8670418397,-118.253854216,10003
10029,33.867000001,-118.255448387,10004
10029,33.8669816184,-118.256341006,10005
10029,33.8669462146,-118.257480623,10006
10029,33.8671083567,-118.257471239,10007
10029,33.8671715493,-118.257474727,10008
10029,33.8673006543,-118.257494887,10009
10029,33.867291572,-118.25775871,10010
10029,33.867291572,-118.25775871,20001
10029,33.8672419901,-118.259224065,20002
10029,33.8671883971,-118.26113772,20003
10029,33.8671798556,-118.261401873,20004
10029,33.8671798556,-118.261401873,30001
10029,33.8670294022,-118.265989296,30002
10029,33.8670319246,-118.266091418,30003
10029,33.8670371656,-118.266206725,30004
10029,33.8670397314,-118.266289083,30005
10029,33.8669188277,-118.266288699,30006
10029,33.8666989714,-118.266302165,30007
10029,33.8666989714,-118.266302165,40001
10029,33.8666110291,-118.266307486,40002
10029,33.8652509204,-118.266276815,40003
10029,33.8630471684,-118.26627311,40004
10029,33.8628278917,-118.266273073,40005
10029,33.8628278917,-118.266273073,50001
10029,33.8616760036,-118.26627205,50002
10029,33.8610082856,-118.26626993,50003
10029,33.860219664,-118.266267426,50004
10029,33.8598597009,-118.266266283,50005
10029,33.859351356,-118.266264669,50006
10029,33.8590436304,-118.266250517,50007
10029,33.858697421,-118.26624283,50008
10029,33.8586531798,-118.266243349,50009
10029,33.8586531798,-118.266243349,60001
10029,33.8582220353,-118.266247908,60002
10029,33.8578429031,-118.266217062,60003
10029,33.8569226562,-118.266092277,60004
10029,33.8568045295,-118.266078728,60005
10029,33.8567468473,-118.266068664,60006
10029,33.8541343935,-118.265737612,60007
10029,33.8534330668,-118.26564976,60008
10029,33.8534330668,-118.26564976,70001
10029,33.8533240079,-118.265636241,70002
10029,33.8522004956,-118.265477891,70003
10029,33.8499396665,-118.265190801,70004
10029,33.8492638944,-118.265103038,70005
10029,33.8485001635,-118.265028172,70006
10029,33.8475716728,-118.264903388,70007
10029,33.8475252569,-118.264768218,70008
10029,33.8474761003,-118.264629747,70009
10029,33.8474746809,-118.264400204,70010
10029,33.8474746809,-118.264400204,80001
10029,33.8474740972,-118.264290537,80002
10029,33.8474484369,-118.263460561,80003
10029,33.8474188948,-118.263147611,80004
10029,33.8473540686,-118.262633663,80005
10029,33.8472943702,-118.262287687,80006
10029,33.8472154863,-118.261918598,80007
10029,33.8471446659,-118.261631867,80008
10029,33.847008326,-118.261147338,80009
10029,33.8469592936,-118.260949592,80010
10029,33.8468940093,-118.26064312,80011
10029,33.8468153693,-118.260158774,80012
10029,33.8467749482,-118.259789809,80013
10029,33.8467455243,-118.259417585,80014
10029,33.8467167503,-118.258742388,80015
10029,33.8467052248,-118.258479225,80016
10029,33.8467052248,-118.258479225,90001
10029,33.8466957925,-118.258264809,90002
10029,33.8466691135,-118.256604951,90003
10029,33.8466478375,-118.254978042,90004
10029,33.8466491533,-118.254355631,90005
10029,33.8467059836,-118.253466637,90006
10029,33.8467156067,-118.253202551,90007
10029,33.8467156067,-118.253202551,100001
10029,33.8467322084,-118.252755383,100002
10029,33.8467325465,-118.249959451,100003
10029,33.84674893,-118.248681735,100004
10029,33.846743781,-118.248513766,100005
10029,33.8467446003,-118.248249653,100006
10029,33.8467446003,-118.248249653,110001
10029,33.8467507572,-118.246455531,110002
10029,33.8467343357,-118.243722121,110003
10029,33.8467367926,-118.243458342,110004
10029,33.8467367926,-118.243458342,120001
10029,33.8467447729,-118.242635392,120002
10029,33.8467416959,-118.238673655,120003
10029,33.8467413939,-118.238409868,120004
10029,33.8467413939,-118.238409868,130001
10029,33.8467389272,-118.23589418,130002
10029,33.8467450157,-118.235591222,130003
10029,33.8467428343,-118.235301414,130004
10029,33.846716814,-118.234553783,130005
10029,33.8466971184,-118.234367003,130006
10029,33.8466971184,-118.234367003,140001
10029,33.846662857,-118.234039893,140002
10029,33.8466521856,-118.233875203,140003
10029,33.8466174476,-118.233367953,140004
10029,33.8466048299,-118.232788314,140005
10029,33.8466098858,-118.23015706,140006
10029,33.8466015554,-118.227308418,140007
10029,33.8465786765,-118.223972674,140008
10029,33.8465786765,-118.223972674,150001
10029,33.8465778229,-118.223840614,150002
10029,33.8466017467,-118.22279344,150003
10029,33.8465995207,-118.221018399,150004
10029,33.8465971594,-118.220807628,150005
10029,33.8465972741,-118.220745058,150006
10029,33.8465946651,-118.220669307,150007
10029,33.8465923996,-118.220405845,150008
10029,33.8465872111,-118.220237879,150009
10029,33.8465967859,-118.217995234,150010
10029,33.8465943002,-118.217850327,150011
10029,33.84658582,-118.216457282,150012
10029,33.8465888508,-118.215533218,150013
10029,33.8465888508,-118.215533218,160001
10029,33.846591797,-118.214652624,160002
10029,33.8465893405,-118.212940154,160003
10029,33.8465997374,-118.211718403,160004
10029,33.8467233888,-118.211718715,160005
10029,33.8474077497,-118.211631525,160006
10029,33.8478227211,-118.211602933,160007
10029,33.8480049898,-118.210611794,160008
10029,33.8480991413,-118.210668345,160009
10029,33.8483121634,-118.210787767,160010
10029,33.8483121634,-118.210787767,170001
10029,33.8486182445,-118.210959787,170002
10029,33.848487882,-118.211652364,170003
10029,33.8481496815,-118.211620225,170004
10029,33.8478227211,-118.211602933,170005
10029,33.8474077497,-118.211631525,170006
10029,33.8467233888,-118.211718715,170007
10029,33.8465997374,-118.211718403,170008
10029,33.8465093269,-118.211722456,170009
10029,33.8465093269,-118.211722456,180001
10029,33.8460418857,-118.21174334,180002
10029,33.8458879563,-118.21177259,180003
10029,33.8458027742,-118.211772375,180004
10029,33.8457202936,-118.211798512,180005
10029,33.8456268217,-118.211824621,180006
10029,33.845503095,-118.21186712,180007
10029,33.844268517,-118.212325036,180008
10029,33.842816686,-118.21288118,180009
10029,33.8416426612,-118.213279947,180010
10029,33.8413014372,-118.213403884,180011
10029,33.8413014372,-118.213403884,190001
10029,33.840383348,-118.213737758,190002
10029,33.8394813478,-118.214140489,190003
10029,33.8392008899,-118.214241853,190004
10029,33.8389845057,-118.214315391,190005
10029,33.8389845057,-118.214315391,200001
10029,33.8384612786,-118.214493516,200002
10029,33.8376694173,-118.21476809,200003
10029,33.8371745067,-118.21493805,200004
10029,33.8370535092,-118.214990426,200005
10029,33.8369627552,-118.215033,200006
10029,33.8367559825,-118.215109521,200007
10029,33.8367559825,-118.215109521,210001
10029,33.8361956054,-118.215317506,210002
10029,33.8354860942,-118.215638375,210003
10029,33.8348547603,-118.215881074,210004
10029,33.8348547603,-118.215881074,220001
10029,33.8348399115,-118.215886962,220002
10029,33.8347326703,-118.215929492,220003
10029,33.8343807209,-118.216057002,220004
10029,33.8339902785,-118.216197583,220005
10029,33.8332892156,-118.216403214,220006
10029,33.8332452152,-118.216422857,220007
10029,33.8331132377,-118.216468614,220008
10029,33.8324945434,-118.216710673,220009
10029,33.832400964,-118.21679604,220010
10029,33.8321782198,-118.216890951,220011
10029,33.8318867509,-118.217002146,220012
10029,33.8318669519,-118.217010327,220013
10029,33.8318669519,-118.217010327,230001
10029,33.8317987559,-118.217038138,230002
10029,33.8317080368,-118.217060951,230003
10029,33.8315623556,-118.217086915,230004
10029,33.8313424719,-118.217119272,230005
10029,33.8312078058,-118.217132094,230006
10029,33.8310869024,-118.217131781,230007
10029,33.8303422533,-118.217126561,230008
10029,33.8302653148,-118.217126362,230009
10029,33.830147177,-118.217116178,230010
10029,33.8300235614,-118.217096103,230011
10029,33.829910937,-118.217076056,230012
10029,33.8298093217,-118.217046161,230013
