stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
0002, "0002","L.B. BLVD. & EIGHTH NE",,  33.776894,-118.189240,
0004, "0004","L.B. BLVD. & TENTH NE",,  33.779320,-118.189240,
0005, "0005","L.B. BLVD. & ANAHEIM NE",,  33.783123,-118.189278,
0006, "0006","L.B. BLVD. & 15TH NE",,  33.785999,-118.189247,
0007, "0007","L.B. BLVD. & 17TH NE",,  33.788303,-118.189255,
0008, "0008","PCH & LOCUST NE",,  33.789932,-118.190941,
0009, "0009","PCH & PACIFIC NW",,  33.789909,-118.194298,
0010, "0010","PCH & CHESTNUT NW",,  33.789917,-118.196899,
0011, "0011","PCH & MAGNOLIA NW",,  33.789955,-118.198486,
0012, "0012","PCH & MAINE NW",,  33.789948,-118.200996,
0013, "0013","HARBOR & PCH NE",,  33.790253,-118.210403,
0014, "0014","HARBOR & 19TH NE",,  33.791847,-118.210419,
0015, "0015","EASY & 20TH NE",,  33.793659,-118.209946,
0016, "0016","EASY & 21ST NE",,  33.795483,-118.209991,
0017, "0017","EASY & HILL NE",,  33.797215,-118.209938,
0018, "0018","EASY & 23RD NE",,  33.799076,-118.209991,
0019, "0019","EASY & BURNETT NE",,  33.800842,-118.209930,
0020, "0020","EASY & 25TH NE",,  33.802670,-118.209938,
0021, "0021","EASY & WILLOW NE",,  33.804653,-118.209976,
0022, "0022","EASY & 27TH NE",,  33.806290,-118.209938,
0023, "0023","EASY & 28TH NE",,  33.808113,-118.209930,
0024, "0024","EASY & 29TH NE",,  33.809921,-118.209923,
0025, "0025","EASY & SPRING NE",,  33.811852,-118.209991,
0026, "0026","EASY & 32ND NE",,  33.815510,-118.209999,
0027, "0027","EASY & 33RD NE",,  33.817299,-118.209984,
0028, "0028","EASY & 34TH SE",,  33.818684,-118.209999,
0029, "0029","DELTA & TAPER NE",,  33.819832,-118.211075,
0030, "0030","DELTA & CAMERON NE",,  33.823128,-118.211052,
0031, "0031","WARDLOW & SANTA FE NW",,  33.824482,-118.215935,
0032, "0032","DELTA & WARDLOW SW",,  33.823441,-118.211159,
0033, "0033","DELTA & ARLINGTON SW",,  33.821201,-118.211151,
0034, "0034","DELTA & 34TH NW",,  33.819092,-118.211159,
0035, "0035","EASY & 34TH SW",,  33.818714,-118.210075,
0036, "0036","EASY & 33RD SW",,  33.816868,-118.210075,
0037, "0037","EASY & 32ND SW",,  33.815041,-118.210060,
0038, "0038","EASY & SPRING SW",,  33.811428,-118.210075,
0039, "0039","EASY & 29TH SW",,  33.809643,-118.210091,
0040, "0040","EASY & 28TH SW",,  33.807808,-118.210098,
0041, "0041","EASY & 27TH SW",,  33.806000,-118.210075,
0042, "0042","EASY & WILLOW SW",,  33.804024,-118.210052,
0043, "0043","EASY & 25TH SW",,  33.802395,-118.210060,
0044, "0044","EASY & BURNETT SW",,  33.800625,-118.210052,
0045, "0045","EASY & 23RD SW",,  33.798759,-118.210083,
0046, "0046","EASY & HILL SW",,  33.796848,-118.210068,
0047, "0047","EASY & 21ST SW",,  33.795105,-118.210083,
0048, "0048","HARBOR & 20TH SW",,  33.793274,-118.210579,
0049, "0049","HARBOR & 19TH SW",,  33.791428,-118.210579,
0050, "0050","PCH & HARBOR SE",,  33.789787,-118.210350,
0051, "0051","PCH & OREGON SE",,  33.789776,-118.200714,
0052, "0052","PCH & HENDERSON SE",,  33.789764,-118.197426,
0053, "0053","PCH & CHESTNUT SE",,  33.789764,-118.195969,
0054, "0054","PCH & PACIFIC SE",,  33.789757,-118.193352,
0055, "0055","PCH & PINE SE",,  33.789753,-118.192078,
0057, "0057","L.B. BLVD. & PCH SW",,  33.789528,-118.189590,
0058, "0058","L.B. BLVD. & 16TH SW",,  33.786785,-118.189575,
0059, "0059","L.B. BLVD. & 15TH SW",,  33.785034,-118.189552,
0060, "0060","L.B. BLVD. & ANAHEIM SW",,  33.782169,-118.189568,
0062, "0062","L.B. BLVD. & TENTH SW",,  33.778503,-118.189529,
0063, "0063","L.B. BLVD. & EIGHTH SW",,  33.776104,-118.189575,
0065, "0065","THIRD & PACIFIC NW",,  33.770557,-118.193909,
0067, "0067","THIRD & CHESTNUT NW",,  33.770569,-118.196655,
0068, "0068","MAGNOLIA & THIRD NE",,  33.770798,-118.197990,
0070, "0070","MAGNOLIA & FIFTH NE",,  33.773090,-118.197990,
0072, "0072","MAGNOLIA & SEVENTH NE",,  33.775585,-118.198013,
0074, "0074","MAGNOLIA & NINTH NE",,  33.778011,-118.198006,
0076, "0076","MAGNOLIA & 11TH NE",,  33.780422,-118.198013,
0077, "0077","ANAHEIM & CHESTNUT NW",,  33.782722,-118.196732,
0078, "0078","ANAHEIM & OREGON NE",,  33.782684,-118.200829,
0079, "0079","ANAHEIM & CASPIAN NW",,  33.782864,-118.212471,
0081, "0081","SANTA FE & COWLES NE",,  33.784966,-118.215385,
0082, "0082","SANTA FE & 16TH NE",,  33.787567,-118.215378,
0083, "0083","SANTA FE & PCH NE",,  33.790176,-118.215370,
0084, "0084","SANTA FE & 19TH NE",,  33.791939,-118.215355,
0085, "0085","SANTA FE & 20TH NE",,  33.793732,-118.215370,
0086, "0086","SANTA FE & HILL NE",,  33.797672,-118.215347,
