trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:00:00,09:00:00,10442,0,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:00:00,09:00:00,10421,10,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:03:00,09:03:00,10444,56,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:04:00,09:04:00,10450,65,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:06:00,09:06:00,10444,73,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:07:00,09:07:00,10441,75,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:09:00,09:09:00,10421,89,0,0,
1348.1-10-0-100-0900-0911-2517-0-0-0-0_CO_5LB,09:11:00,09:11:00,10442,100,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:15:00,09:15:00,10442,0,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:15:00,09:15:00,10421,10,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:18:00,09:18:00,10444,56,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:19:00,09:19:00,10450,65,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:21:00,09:21:00,10444,73,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:22:00,09:22:00,10441,75,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:24:00,09:24:00,10421,89,0,0,
1348.1-10-0-100-0915-0926-2517-0-0-0-0_CO_5LB,09:26:00,09:26:00,10442,100,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:35:00,09:35:00,10442,0,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:35:00,09:35:00,10421,10,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:38:00,09:38:00,10444,56,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:39:00,09:39:00,10450,65,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:41:00,09:41:00,10444,73,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:42:00,09:42:00,10441,75,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:46:00,09:46:00,10421,89,0,0,
1348.1-10-0-100-0935-0950-2517-0-0-0-0_CO_5LB,09:50:00,09:50:00,10442,100,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:50:00,09:50:00,10442,0,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:50:00,09:50:00,10421,10,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:53:00,09:53:00,10444,56,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:54:00,09:54:00,10450,65,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:57:00,09:57:00,10444,73,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,09:58:00,09:58:00,10441,75,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,10:04:00,10:04:00,10421,89,0,0,
1348.1-10-0-100-0950-1010-2517-0-0-0-0_CO_5LB,10:10:00,10:10:00,10442,100,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:10:00,10:10:00,10442,0,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:10:00,10:10:00,10421,10,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:13:00,10:13:00,10444,56,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:14:00,10:14:00,10450,65,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:15:00,10:15:00,10444,73,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:15:00,10:15:00,10441,75,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:17:00,10:17:00,10421,89,0,0,
1348.1-11-0-100-1010-1019-2517-0-0-0-0_CO_5LB,10:19:00,10:19:00,10442,100,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:25:00,10:25:00,10442,0,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:25:00,10:25:00,10421,10,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:28:00,10:28:00,10444,56,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:29:00,10:29:00,10450,65,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:30:00,10:30:00,10444,73,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:30:00,10:30:00,10441,75,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:32:00,10:32:00,10421,89,0,0,
1348.1-11-0-100-1025-1034-2517-0-0-0-0_CO_5LB,10:34:00,10:34:00,10442,100,0,0,
1348.1-11-0-100-1040-1049-2517-0-0-0-0_CO_5LB,10:40:00,10:40:00,10442,0,0,0,
