service_id,date,exception_type
DEC17-D01CAR-3_Sunday-99,20171225,1
DEC17-D01CAR-3_Sunday-99,20180101,1
DEC17-D01CAR-3_Sunday-99,20180528,1
DEC17-D01CAR-1_Weekday-99,20171225,2
DEC17-D01CAR-1_Weekday-99,20180101,2
DEC17-D01CAR-1_Weekday-99,20180528,2
DEC17-D02CAR-3_Sunday-99,20171225,1
DEC17-D02CAR-3_Sunday-99,20180101,1
DEC17-D02CAR-3_Sunday-99,20180528,1
DEC17-D02CAR-1_Weekday-99,20171225,2
DEC17-D02CAR-1_Weekday-99,20180101,2
DEC17-D02CAR-1_Weekday-99,20180528,2
DEC17-D03CAR-3_Sunday-99,20171225,1
DEC17-D03CAR-3_Sunday-99,20180101,1
DEC17-D03CAR-3_Sunday-99,20180528,1
DEC17-D03CAR-1_Weekday-99,20171225,2
DEC17-D03CAR-1_Weekday-99,20180101,2
DEC17-D03CAR-1_Weekday-99,20180528,2
DEC17-D05CAR-3_Sunday-99,20171225,1
DEC17-D05CAR-3_Sunday-99,20180101,1
DEC17-D05CAR-3_Sunday-99,20180528,1
DEC17-D05CAR-1_Weekday-99,20171225,2
DEC17-D05CAR-1_Weekday-99,20180101,2
DEC17-D05CAR-1_Weekday-99,20180528,2
DEC17-D07CAR-3_Sunday-99,20171225,1
DEC17-D07CAR-3_Sunday-99,20180101,1
DEC17-D07CAR-3_Sunday-99,20180528,1
DEC17-D07CAR-1_Weekday-99,20171225,2
DEC17-D07CAR-1_Weekday-99,20180101,2
DEC17-D07CAR-1_Weekday-99,20180528,2
DEC17-D08CAR-3_Sunday-99,20171225,1
DEC17-D08CAR-3_Sunday-99,20180101,1
DEC17-D08CAR-3_Sunday-99,20180528,1
DEC17-D08CAR-1_Weekday-99,20171225,2
DEC17-D08CAR-1_Weekday-99-1111100,20171225,2
DEC17-D08CAR-1_Weekday-99-0000100,20171225,2
DEC17-D08CAR-1_Weekday-99-1111000,20171225,2
DEC17-D08CAR-1_Weekday-99,20180101,2
DEC17-D08CAR-1_Weekday-99-1111100,20180101,2
DEC17-D08CAR-1_Weekday-99-0000100,20180101,2
DEC17-D08CAR-1_Weekday-99-1111000,20180101,2
DEC17-D08CAR-1_Weekday-99,20180528,2
DEC17-D08CAR-1_Weekday-99-1111100,20180528,2
DEC17-D08CAR-1_Weekday-99-0000100,20180528,2
DEC17-D08CAR-1_Weekday-99-1111000,20180528,2
DEC17-D09CAR-3_Sunday-99,20171225,1
DEC17-D09CAR-3_Sunday-99,20180101,1
DEC17-D09CAR-3_Sunday-99,20180528,1
DEC17-D09CAR-1_Weekday-99,20171225,2
DEC17-D09CAR-1_Weekday-99,20180101,2
DEC17-D09CAR-1_Weekday-99,20180528,2
DEC17-D10CAR-1_Weekday-99,20171225,2
DEC17-D10CAR-1_Weekday-99,20180101,2
DEC17-D10CAR-1_Weekday-99,20180528,2
DEC17-D13CAR-3_Sunday-99,20171225,1
DEC17-D13CAR-3_Sunday-99,20180101,1
DEC17-D13CAR-3_Sunday-99,20180528,1
DEC17-D13CAR-1_Weekday-99,20171225,2
DEC17-D13CAR-1_Weekday-99,20180101,2
DEC17-D13CAR-1_Weekday-99,20180528,2
DEC17-D15CAR-3_Sunday-99,20171225,1
DEC17-D15CAR-3_Sunday-99,20180101,1
DEC17-D15CAR-3_Sunday-99,20180528,1
DEC17-D15CAR-1_Weekday-99,20171225,2
DEC17-D15CAR-1_Weekday-99,20180101,2
DEC17-D15CAR-1_Weekday-99,20180528,2
DEC17-D18CAR-3_Sunday-99,20171225,1
DEC17-D18CAR-3_Sunday-99,20180101,1
DEC17-D18CAR-3_Sunday-99,20180528,1
DEC17-D18CAR-1_Weekday-99,20171225,2
DEC17-D18CAR-1_Weekday-99,20180101,2
DEC17-D18CAR-1_Weekday-99,20180528,2
DEC17-D95-3_Sunday-99,20171225,1
DEC17-D95-3_Sunday-99,20180101,1
DEC17-D95-3_Sunday-99,20180528,1
DEC17-D95-1_Weekday-99,20171225,2
DEC17-D95-1_Weekday-99,20180101,2
DEC17-D95-1_Weekday-99,20180528,2
DEC17-D97-3_Sunday-99,20171225,1
DEC17-D97-3_Sunday-99,20180101,1
DEC17-D97-3_Sunday-99,20180528,1
DEC17-D97-1_Weekday-99,20171225,2
DEC17-D97-1_Weekday-99,20180101,2
DEC17-D97-1_Weekday-99,20180528,2
DEC17-D98-3_Sunday-99,20171225,1
DEC17-D98-3_Sunday-99,20180101,1
DEC17-D98-3_Sunday-99,20180528,1
DEC17-D98-1_Weekday-99,20171225,2
DEC17-D98-1_Weekday-99,20180101,2
DEC17-D98-1_Weekday-99,20180528,2
