route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
2-13108,2/302,Metro Local Line,,3,,,
4-13108,4,Metro Local Line,,3,,,
10-13108,10/48,Metro Local Line,,3,,,
14-13108,14/37,Metro Local Line,,3,,,
16-13108,16/17/316,Metro Local Line,,3,,,
18-13108,18,Metro Local Line,,3,,,
20-13108,20,Metro Local Line,,3,,,
28-13108,28,Metro Local Line,,3,,,
30-13108,30/330,Metro Local Line,,3,,,
33-13108,33,Metro Local Line,,3,,,
35-13108,35/38,Metro Local Line,,3,,,
40-13108,40,Metro Local Line,,3,,,
45-13108,45,Metro Local Line,,3,,,
51-13108,51/52/351,Metro Local Line,,3,,,
53-13108,53,Metro Local Line,,3,,,
55-13108,55/355,Metro Local Line,,3,,,
60-13108,60,Metro Local Line,,3,,,
62-13108,62,Metro Local Line,,3,,,
66-13108,66,Metro Local Line,,3,,,
68-13108,68,Metro Local Line,,3,,,
70-13108,70,Metro Local Line,,3,,,
71-13108,71,Metro Local Line,,3,,,
76-13108,76,Metro Local Line,,3,,,
78-13108,78/79/378,Metro Local Line,,3,,,
81-13108,81,Metro Local Line,,3,,,
83-13108,83,Metro Local Line,,3,,,
90-13108,90/91,Metro Local Line,,3,,,
92-13108,92,Metro Local Line,,3,,,
94-13108,94,Metro Local Line,,3,,,
96-13108,96,Metro Local Line,,3,,,
102-13108,102,Metro Local Line,,3,,,
105-13108,105,Metro Local Line,,3,,,
106-13108,106,Metro Local Line,,3,,,
108-13108,108/358,Metro Local Line,,3,,,
110-13108,110,Metro Local Line,,3,,,
111-13108,111,Metro Local Line,,3,,,
115-13108,115,Metro Local Line,,3,,,
117-13108,117,Metro Local Line,,3,,,
120-13108,120,Metro Local Line,,3,,,
125-13108,125,Metro Local Line,,3,,,
126-13108,126,Metro Local Line,,3,,,
127-13108,127,Metro Local Line,,3,,,
128-13108,128,Metro Local Line,,3,,,
130-13108,130,Metro Local Line,,3,,,
150-13108,150/240,Metro Local Line,,3,,,
152-13108,152/353,Metro Local Line,,3,,,
154-13108,154,Metro Local Line,,3,,,
155-13108,155,Metro Local Line,,3,,,
158-13108,158,Metro Local Line,,3,,,
161-13108,161,Metro Local Line,,3,,,
163-13108,163/162,Metro Local Line,,3,,,
164-13108,164,Metro Local Line,,3,,,
165-13108,165,Metro Local Line,,3,,,
166-13108,166/364,Metro Local Line,,3,,,
167-13108,167,Metro Local Line,,3,,,
169-13108,169,Metro Local Line,,3,,,
175-13108,175,Metro Local Line,,3,,,
176-13108,176,Metro Local Line,,3,,,
177-13108,177,Metro Local Line,,3,,,
180-13108,180/181,Metro Local Line,,3,,,
183-13108,183,Metro Local Line,,3,,,
200-13108,200,Metro Local Line,,3,,,
201-13108,201,Metro Local Line,,3,,,
202-13108,202,Metro Local Line,,3,,,
204-13108,204,Metro Local Line,,3,,,
205-13108,205,Metro Local Line,,3,,,
206-13108,206,Metro Local Line,,3,,,
207-13108,207,Metro Local Line,,3,,,
209-13108,209,Metro Local Line,,3,,,
210-13108,210,Metro Local Line,,3,,,
211-13108,211/215,Metro Local Line,,3,,,
212-13108,212/312,Metro Local Line,,3,,,
217-13108,217,Metro Local Line,,3,,,
218-13108,218,Metro Local Line,,3,,,
222-13108,222,Metro Local Line,,3,,,
224-13108,224,Metro Local Line,,3,,,
230-13108,230,Metro Local Line,,3,,,
232-13108,232,Metro Local Line,,3,,,
233-13108,233,Metro Local Line,,3,,,
234-13108,234,Metro Local Line,,3,,,
236-13108,236,Metro Local Line,,3,,,
237-13108,237,Metro Local Line,,3,,,
239-13108,239,Metro Local Line,,3,,,
243-13108,243/242,Metro Local Line,,3,,,
245-13108,245/244,Metro Local Line,,3,,,
246-13108,246,Metro Local Line,,3,,,
251-13108,251,Metro Local Line,,3,,,
252-13108,252,Metro Local Line,,3,,,
254-13108,254,Metro Local Line,,3,,,
256-13108,256,Metro Local Line,,3,,,
258-13108,258,Metro Local Line,,3,,,
260-13108,260,Metro Local Line,,3,,,
265-13108,265,Metro Local Line,,3,,,
266-13108,266,Metro Local Line,,3,,,
267-13108,267/264,Metro Local Line,,3,,,
268-13108,268,Metro Local Line,,3,,,
344-13108,344,Metro Limited Line,,3,,,
442-13108,442,Metro Express Line,,3,,,
460-13108,460,Metro Express Line,,3,,,
487-13108,487/489,Metro Express Line,,3,,,
501-13108,501,Metro Express Line,,3,,,
534-13108,534,Metro Express Line,,3,,,
550-13108,550,Metro Express Line,,3,,,
577-13108,577,Metro Express Line,,3,,,
602-13108,602,Metro Local Line,,3,,,
603-13108,603,Metro Local Line,,3,,,
605-13108,605,Metro Local Line,,3,,,
607-13108,607,Metro Local Line,,3,,,
611-13108,611,Metro Local Line,,3,,,
612-13108,612,Metro Local Line,,3,,,
625-13108,625,Metro Local Line,,3,,,
665-13108,665,Metro Local Line,,3,,,
685-13108,685,Metro Local Line,,3,,,
687-13108,687/686,Metro Local Line,,3,,,
704-13108,704,Metro Rapid Line,,3,000000,FFFFFF,
705-13108,705,Metro Rapid Line,,3,000000,FFFFFF,
710-13108,710,Metro Rapid Line,,3,000000,FFFFFF,
720-13108,720,Metro Rapid Line,,3,000000,FFFFFF,
728-13108,728,Metro Rapid Line,,3,000000,FFFFFF,
733-13108,733,Metro Rapid Line,,3,000000,FFFFFF,
734-13108,734,Metro Rapid Line,,3,000000,FFFFFF,
740-13108,740,Metro Rapid Line,,3,000000,FFFFFF,
744-13108,744,Metro Rapid Line,,3,000000,FFFFFF,
745-13108,745,Metro Rapid Line,,3,000000,FFFFFF,
750-13108,750,Metro Rapid Line,,3,000000,FFFFFF,
751-13108,751,Metro Rapid Line,,3,000000,FFFFFF,
754-13108,754,Metro Rapid Line,,3,000000,FFFFFF,
757-13108,757,Metro Rapid Line,,3,000000,FFFFFF,
760-13108,760,Metro Rapid Line,,3,000000,FFFFFF,
762-13108,762,Metro Rapid Line,,3,000000,FFFFFF,
770-13108,770,Metro Rapid Line,,3,000000,FFFFFF,
780-13108,780,Metro Rapid Line,,3,000000,FFFFFF,
788-13108,788,Metro Rapid Line,,3,000000,FFFFFF,
794-13108,794,Metro Rapid Line,,3,000000,FFFFFF,
901-13108,901,Metro Orange Line  (901),,3,FF5A00,FFFFFF,http://www.metro.net/around/rail/orange-line/
910-13108,910/950,Metro Silver Line  (910/950),,3,656D74,FFFFFF,http://www.metro.net/around/rail/silver-line/
